GENE	BFH12_S130	BH09_S83	BFH35_S153	CP1	SWESTP30	CP5	BSE93_S121	BH47_S108	BH52_S112	BH36_S101	SWE41a	IRL69_2	SWE41a_1	BFH33_S151	BFH9_S127	FH6_S167	BH10_S84	ESP75	SWESTP53	BFH15_S133	AHMA4	BFH22_S140	BFH31_S149	BH50_S111	BH30_S94	BFH32_S150	FIN25_1	BFH6_S125	ESP75_2	SWESTP33	BFH8_S126	BSE100_S122	BFH20_S138	BFH21_S139	BFH14_S132	BFH24_S142	FH1_S162	BH06_S81	BSE79_S120	SWESTP31	BH34A_S98	ASMA1	DEU27_1	BH20_S88	BFH17_S135	BH31_S95	DEU27	BH11_S85	BFH36_S154	ESP75_1	BH22_S89	BH45_S106	BH61_S116	FH5_S166	BFH25_S143	BFH41_S160	IRL69	BFH18_S136	BH59_S114	BH13_S86	BH03_S78	BH38_S103	BFH40_S159	AHMA5	BFH38B_S157	BH33_S97	BH32_S96	BFH13_S131	AHMA2	BFH4_S124	AHMA3	BFH10_S128	BFH39_S158	CP7	JTH	BFH19_S137	CP6	BH37_S102	FH8_S169	Seafield	SWE41a_2	BH04_S79	CP8	BH25_S91	SWE41	BH01_S76	BFH23_S141	BH58_S113	SWESTP49	ASMA3	CP4	FIN25	BH14_S87	BSE74_S119	BH05_S80	BFH1_S123	SWESTP57	FH3_S164	BH63_S118	BH48_S109	BFH34_S152	BFH28_S146	BH07_S82	BFH11_S129	BH44_S105	FH10_S171	FH9_S170	BFH27_S145	BFH29_S147	IRL69_1	FH7_S168	BFH16_S134	DEU27_2	FH4_S165	SWESTP35	BH02_S77	BH29_S93	SWESTP37	BH39_S104	BH60_S115	BH62_S117	BH27_S92	BFH26_S144	BH35_S100	ASMA2	BFH37_S155	FH2_S163	BFH42_S161	BH46_S107	CP3	BH24_S90	FIN25_2	BH34B_S99	AHMA1	BFH38A_S156	BH49_S110	BFH30_S148
aac(6')-Ib_2_M23634	2	21	176	27	2	170	2	9	4	88	2	0	0	84	2	11	42	0	0	9	675	28	73	40	47	12	0	5	4	0	2	0	21	1	1	1	170	3	1	0	2	2	0	1	3	6	1	1	38	7	0	18	2	0	46	48	3	6	162	29	2	42	21	202	61	3	15	6	695	1	1280	13	95	55	301	165	13	25	15	0	0	2	147	0	0	7	28	258	0	7	11	1	2	0	26	5	0	13	0	104	18	28	2	15	15	0	6	1	49	2	18	1	1	31	2	53	41	1	4	272	0	32	50	24	10	53	58	1	3	539	0	0	2	483	63	52	67
aac(6')-Ib11_1_AY136758	6	7	79	26	0	140	0	12	3	64	0	0	0	57	1	8	16	0	0	6	608	23	54	36	26	12	0	0	2	2	0	0	17	2	4	0	119	0	0	1	7	0	0	0	3	3	1	2	33	1	0	11	4	0	40	38	5	6	141	15	0	43	28	206	29	0	9	3	575	0	1006	13	47	36	244	84	9	14	5	1	0	0	151	0	0	10	24	182	0	8	9	1	0	0	25	1	0	11	1	85	14	14	2	11	11	0	5	1	41	3	12	3	0	31	1	32	45	0	4	225	1	26	28	24	15	38	37	0	1	476	0	0	3	383	45	58	31
aac(6')-30-aac(6')-Ib'_1_AJ584652	9	18	273	102	4	580	7	33	8	232	0	2	0	150	2	32	50	0	0	25	1652	108	144	86	130	55	0	17	7	3	6	0	71	9	14	0	410	2	0	2	11	1	0	0	7	26	1	0	126	8	0	58	11	1	132	97	17	23	617	50	12	136	59	565	126	8	31	12	1486	4	3093	29	171	169	462	168	41	57	49	0	1	1	521	2	1	41	62	776	0	19	59	3	0	1	95	11	0	49	0	240	79	76	6	36	54	1	29	0	159	9	62	11	0	92	1	154	147	0	14	876	11	126	114	106	28	120	291	6	6	1779	2	1	18	1110	141	151	96
aac(6')-Iaj_1_AB709942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ian_1_AP014611	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iak_1_AB894482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ib-Hangzhou_1_FJ503047	16	11	154	59	7	377	3	22	4	174	0	0	1	101	1	21	29	4	0	18	967	72	96	71	84	31	1	8	2	0	3	1	40	1	12	1	277	2	0	1	8	1	0	1	3	21	1	2	84	9	2	34	9	1	79	81	4	19	393	53	8	86	39	346	81	4	18	4	882	2	1807	22	90	88	316	88	15	46	17	1	0	1	373	0	0	16	42	447	0	17	20	3	4	0	55	9	0	45	0	162	44	58	8	27	42	0	13	0	87	6	31	13	0	51	0	100	96	1	7	508	3	70	61	64	24	87	120	3	6	1278	1	1	14	823	101	113	69
aac(6')-Ib-Suzhou_1_EU085533	3	12	89	10	1	67	1	5	2	38	0	0	0	41	1	3	23	0	0	2	437	17	40	13	29	14	0	4	0	2	0	0	10	3	1	1	95	1	0	1	6	1	0	0	2	2	0	0	23	1	1	7	1	0	21	26	0	4	101	19	1	23	9	158	19	1	11	1	467	0	741	2	49	21	184	84	6	9	4	0	0	0	67	0	1	7	16	106	0	8	3	0	0	0	18	4	0	10	0	70	8	18	4	11	6	0	8	0	38	1	17	3	0	12	1	33	26	0	2	136	3	32	29	19	8	23	25	0	1	236	0	0	5	266	24	37	41
aac(6')-Iid_1_AJ584700	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
aac(6')-Iih_1_AJ584701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iz_2_AB971834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
aac(6')-29b_1_AF263519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-29a_1_AF263519	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iaa_1_NC_003197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ih_2_KT778788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ix_1_AF031332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Il_1_U13880	5	0	16	0	0	0	0	1	0	15	0	0	0	5	0	0	0	0	0	3	5	0	1	4	108	4	0	0	0	0	2	1	2	6	0	0	1	0	0	0	2	0	0	0	0	19	0	0	103	0	0	1	0	0	11	6	0	3	0	0	2	2	1	18	3	5	3	0	15	0	62	1	5	1	4	425	0	5	46	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	4	0	0	0	1	21	43	0	2	5	0	1	0	53	0	70	1	0	0	0	1	128	0	95	0	0	1	4	1	0	2	0	1	4	0	0	0	7	5	7	2	4
aac(6')-Ia_2_M86913	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0
aac(6')-Iag_1_AB472901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(2')-IIa_1_AB669090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kamB_1_AJ629123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grmO_1_AY524043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fmrO_1_Q08325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grmB_1_M55521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grmA_1_M55520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kgmB_1_S60108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgm_1_M87057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-VI_2_APPJ01000012	0	0	0	1	0	0	0	1	0	0	3	0	0	5	0	14	0	0	0	0	50	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	1	7	1	0	0	0	0	1	5	3	0	0	0	43	0	5	0	1	4	47	0	0	0	0	2	0	0	3	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	11	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	19	2	1	6
aph(3')-IX_1_APPN01000061	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ant(6)-Ia_5_AB247327	0	0	0	2	13	33	0	9	1	7	6	0	4	2	4	1	1	2	0	0	17	3	1	24	3	3	0	3	0	17	7	0	1	0	0	0	10	7	0	13	12	0	0	0	0	6	2	1	0	1	0	1	11	0	0	16	1	4	0	0	0	10	21	0	13	1	3	0	18	1	73	3	39	2	13	1	1	0	2	1	1	0	1	1	2	0	0	1	0	0	1	8	1	0	3	0	0	21	0	6	0	2	0	2	2	0	3	0	10	2	0	5	0	134	12	0	1	15	6	3	14	1	1	5	5	1	47	4	7	0	0	7	13	48	13	9	18
aadA13_2_NC010643	20	0	7	1	3	1	2	169	105	25	1	0	0	14	9	0	0	0	0	51	6	7	1	18	44	13	0	7	11	7	95	7	19	0	4	0	3	6	0	1	23	0	3	0	0	50	1	1	1	8	0	6	23	2	37	17	1	19	8	7	16	18	14	0	8	10	35	36	5	7	27	54	24	3	16	7	0	13	2	3	1	1	2	0	1	442	14	8	0	1	1	1	4	0	4	31	1	6	0	34	4	15	5	6	10	1	2	0	14	2	6	14	0	6	2	14	43	0	7	5	12	70	8	37	2	4	3	5	81	4	0	0	16	2	21	22	10
aadA11_2_AJ567827	0	0	0	0	5	36	0	3	0	1	0	1	2	0	1	0	0	0	11	1	11	1	0	0	1	0	1	1	24	6	0	0	1	0	0	0	100	0	0	8	0	0	3	0	0	0	1	0	0	16	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	7	0	2	1	1	3	5	0	0	0	2	1	0	0	0	0	1	5	0	0	0	0	15	1	0	0	3	0	10	37	0	3	0	0	0	0	1	0	23	0	0	0	0	2	2	0	6	1	0	2	0	0	0	1	1	1	2	0	65	0	0	3	0	1	0	1	1	0	0
aadA10_2_AM087405	0	0	52	54	22	35	1	3	38	7	20	12	11	19	0	3	1	14	0	51	63	6	1	8	0	12	4	1	63	43	12	0	95	7	3	0	32	4	0	23	4	0	6	0	0	7	11	0	0	71	0	4	1	0	35	10	28	17	1	21	9	1	11	41	11	2	75	0	56	0	101	0	6	26	5	53	27	8	29	21	3	0	30	0	49	2	6	0	0	1	33	25	0	0	2	0	1	10	0	9	14	14	3	1	14	1	1	0	9	26	38	2	8	5	36	2	3	24	1	0	1	9	15	6	0	7	81	5	7	47	0	24	4	56	16	3	4
aadA7_2_AB114632	1	0	17	1	2	12	0	0	0	3	1	0	1	4	1	0	0	2	0	1	1	6	4	7	3	17	1	4	17	3	6	0	13	1	0	0	3	0	0	5	3	0	0	0	4	0	1	0	2	13	0	9	16	0	2	22	2	49	5	2	31	4	27	0	10	1	26	0	0	0	0	24	11	1	5	2	0	7	2	1	0	0	0	0	2	0	1	10	0	0	3	4	10	0	0	6	1	1	0	8	4	2	0	5	9	0	0	0	9	2	0	15	0	2	3	2	9	4	9	2	13	3	8	10	0	1	24	40	3	0	0	3	7	1	10	6	8
aadA2_1_NC_010870	175	1	136	50	11	17	67	158	43	173	5	0	6	158	70	5	7	0	0	91	199	220	282	214	288	58	4	178	18	3	23	2	152	5	48	1	241	11	2	7	134	0	5	0	21	133	3	3	67	13	1	181	122	2	113	106	4	12	123	85	64	98	73	3	159	75	99	21	210	61	216	84	133	7	20	124	7	99	7	3	2	3	16	0	9	1439	86	145	0	4	8	12	14	1	111	49	0	31	1	183	106	148	30	159	170	0	14	0	95	0	10	53	0	24	4	245	295	9	88	194	59	222	196	172	5	71	57	28	73	1	1	9	145	60	242	207	103
aadD_2_M19465	0	0	0	1	0	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	126	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	5	0	22	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	3	0	0	0	0	0	3	2	2
aph(2'')-Ib_2_AF207840	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	1	0	1	0	0	2	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	9	0	0	0	0	4	0	0	0	0	0	4	3	0	0	0	0	0	3	0	2	4	0	0	0	2	1	0	1	0	0	0	0	1	12	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	4	0	0	0	0	12	0	0	0	0	8	0	0	0	2	0	0	0	0	0	1	0	2	0	17	2	0	1	0	3	0	0	0	0	36	0	0	1	10	2	0	19	1
aph(7'')-Ia_1_X03615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(9)-Ia_2_CR628337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(6)-Ia_2_Y00459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(6)-Id_1_M28829	94	9	352	177	30	733	50	890	169	992	12	15	5	517	617	360	126	10	0	300	426	100	172	283	224	272	11	133	60	47	36	4	415	40	45	2	309	38	4	40	135	6	5	1	44	179	8	6	147	58	1	101	156	48	320	241	52	57	1124	171	261	693	159	471	258	68	187	29	429	48	342	137	362	145	146	927	134	604	53	90	10	1	222	179	30	112	231	1248	12	23	50	17	22	4	32	57	5	34	1	322	163	262	57	72	133	1	85	5	239	34	49	52	6	43	20	367	300	30	66	1151	104	406	245	1189	75	591	74	49	112	114	7	21	149	267	390	372	340
aph(6)-Id_3_AB109805	44	10	210	181	20	401	21	396	69	488	7	10	5	326	302	164	47	7	1	155	276	52	157	140	144	141	1	74	16	34	23	2	355	30	25	2	168	17	1	33	110	5	2	2	14	101	3	1	84	18	1	70	74	21	230	165	25	33	721	145	107	410	89	343	170	58	120	15	222	22	221	78	210	110	79	436	132	725	30	41	2	0	161	85	18	56	171	682	6	9	37	8	15	1	15	21	2	21	4	206	75	130	38	31	85	1	32	0	150	16	24	25	1	24	26	341	189	13	48	797	47	167	213	1554	63	331	28	16	49	98	2	7	117	232	201	185	189
