"BFH12_S130"	"BH09_S83"	"BFH35_S153"	"BSE93_S121"	"BH47_S108"	"BH52_S112"	"BH36_S101"	"BFH33_S151"	"BFH9_S127"	"FH6_S167"	"BH10_S84"	"BFH15_S133"	"BFH22_S140"	"BFH31_S149"	"BH50_S111"	"BH30_S94"	"BFH32_S150"	"BFH6_S125"	"BFH8_S126"	"BSE100_S122"	"BFH20_S138"	"BFH21_S139"	"BFH14_S132"	"BFH24_S142"	"FH1_S162"	"BH34.B_S99"	"BH34.A_S98"	"BH06_S81"	"BSE79_S120"	"BH20_S88"	"BFH17_S135"	"BH31_S95"	"BH11_S85"	"BFH36_S154"	"BH22_S89"	"BFH38.B_S157"	"BH45_S106"	"BH61_S116"	"FH5_S166"	"BFH25_S143"	"BFH41_S160"	"BFH18_S136"	"BH59_S114"	"BH13_S86"	"BH03_S78"	"BH38_S103"	"BFH40_S159"	"BH33_S97"	"BH32_S96"	"BFH13_S131"	"BFH4_S124"	"BFH10_S128"	"BFH39_S158"	"BFH19_S137"	"BH37_S102"	"FH8_S169"	"BH04_S79"	"BH25_S91"	"BH01_S76"	"BFH23_S141"	"BH58_S113"	"BFH38.A_S156"	"BH14_S87"	"BSE74_S119"	"BH05_S80"	"BFH1_S123"	"FH3_S164"	"BH63_S118"	"BH48_S109"	"BFH34_S152"	"BFH28_S146"	"BH07_S82"	"BFH11_S129"	"BH44_S105"	"FH10_S171"	"FH9_S170"	"BFH27_S145"	"BFH29_S147"	"FH7_S168"	"BFH16_S134"	"FH4_S165"	"BH02_S77"	"BH29_S93"	"BH39_S104"	"BH60_S115"	"BH62_S117"	"BH27_S92"	"BFH26_S144"	"BH35_S100"	"BFH37_S155"	"FH2_S163"	"BFH42_S161"	"BH46_S107"	"BH24_S90"	"BH49_S110"	"BFH30_S148"
"aac(6')-Ib_2_M23634"	5.24260137880416e-05	0.000526645768025078	0.00591099916036944	4.05367059872715e-05	0.000238328522627969	9.52562392836731e-05	0.00202015564380983	0.0039882252397683	5.11993446483885e-05	0.000112912000492707	0.00113747156321092	0.000154196720749739	0.000824596536694546	0.00148697370297191	0.000665934139113642	0.0647382920110193	0.000255612831764155	7.23003065532998e-05	8.36470096194061e-05	0	0.00033633364297383	1.11711872737835e-05	1.12326736009705e-05	1.51146445791327e-05	0.00196103311838872	3.52671486510316e-05	2.64798951396152e-05	4.36903808344863e-05	1.09755026780227e-05	1.02998279928725e-05	3.63623140976692e-05	5.51029966846364e-05	1.12618953769919e-05	0.000373072051994463	0	0.00117449987484837	0.000426217086569426	4.83558994197292e-05	0	0.00146520146520147	0.000677621548365238	0.000225123818099955	0.01221443112418	0.000786462005749309	5.66620392667932e-05	0.000921578092772195	0.000696933492632417	8.79069358572391e-05	0.000608297173445801	9.55855410938172e-05	5.17759138448794e-05	0.000204254784275524	0.00151026183170914	0.00380350844839907	0.000615233173372708	0.000317527519051651	3.22924403397165e-05	0	0.000155787505842031	0.000640585678334477	0.0160647571606476	0.00166183065154313	4.83711031030063e-05	0	0.000516262261228704	0.000176878449129758	0.000263520635692857	0	0.0030926608778399	0.000492193267889858	0.000806428386279197	4.25468547237645e-05	0.000262004157132626	0.000232421209210078	0	0.000231133710851728	1.85825249934961e-05	0.000993531904539833	0.000324388617563841	1.79025385799706e-05	0.000804693178278476	0.0769230769230769	0.00129137925603956	0.000156635470102205	0.0101754517227189	0	0.0547008547008547	0.000999940003599784	0.000330410121563391	0.000760238112314423	0.000746989503509563	1.19032031519682e-05	4.40483357070492e-05	0	0.000707165490324072	0.00117100111856823
"aac(6')-Ib11_1_AY136758"	0.000157278041364125	0.000175548589341693	0.00265323257766583	0	0.000317771363503959	7.14421794627548e-05	0.00146920410458897	0.00270629569841421	2.55996723241942e-05	8.21178185401505e-05	0.000433322500270827	0.000102797813833159	0.000677347155141948	0.00109995315014361	0.000599340725202278	0.0358126721763085	0.000255612831764155	0	0	0	0.000272270091931196	2.23423745475669e-05	4.4930694403882e-05	0	0.00137272318287211	5.29007229765473e-05	9.26796329886534e-05	0	0	0	3.63623140976692e-05	2.75514983423182e-05	2.25237907539839e-05	0.000323983624100455	0	0.000558368792960702	0.000260465997347983	9.67117988394584e-05	0	0.00127408823060997	0.000536450392455813	0.000225123818099955	0.010631078941416	0.000406790692628953	0	0.00094352042831439	0.000929244656843223	0	0.00036497830406748	4.77927705469086e-05	0	0.000204254784275524	0.00074718216937189	0.00193633157373044	0.000344530577088717	0.00010584250635055	0	0	0.000222553579774331	0.000549073438572409	0.011332503113325	0.00118702189395938	0	0	0.000496406020412216	3.53756898259516e-05	0.000222978999432417	3.22092311656521e-05	0.00252765552515761	0.000382816986136556	0.000403214193139598	4.25468547237645e-05	0.000192136381897259	0.00017044222008739	0	0.000192611425709773	1.85825249934961e-05	0.000831322614002717	0.000216259078375894	5.37076157399119e-05	0.000804693178278476	0.04644412191582	0.00141736747614098	0.000156635470102205	0.00841719352063148	2.47353319481547e-05	0.0444444444444444	0.000559966402015879	0.000330410121563391	0.000545076382414115	0.000476527786721618	0	1.46827785690164e-05	0	0.000788761508438388	0.000541806487695749
"aac(6')-30-aac(6')-Ib'_1_AJ584652"	0.000235917062046187	0.00045141065830721	0.00916876574307305	0.00014187847095545	0.000873871249635887	0.000190512478567346	0.00532586487913501	0.00712183078530054	5.11993446483885e-05	0.000328471274160602	0.00135413281334633	0.00042832422430483	0.00318058664153611	0.00293320840038295	0.00143175839909433	0.179063360881543	0.00117155881225238	0.000245821042281219	0.000250941028858218	0	0.00113712803100676	0.000100540685464051	0.000157257430413587	0	0.00472955046199633	0.000317404337859284	0.000145639423267884	2.91269205563242e-05	0	0	8.48453995612281e-05	0.000238779652300091	0	0.00123702838292901	0	0.00242601613493271	0.00137336616783482	0.000265957446808511	2.28916765863932e-05	0.0042044911610129	0.00136936021232142	0.000862974636049827	0.0465203950840685	0.00135596897542984	0.000339972235600759	0.00298415763373854	0.00195805124120536	0.000234418495619304	0.00125714749178799	0.000191171082187634	0.000207103655379517	0.000455645287999246	0.00271847129707645	0.00387266314746087	0.00140273163528977	0.00103725656223539	1.61462201698582e-05	3.3689317117542e-05	0.000912469677074756	0.00141843971631206	0.048318804483188	0.00371933526773938	0	2.29621125143513e-05	0.00188634287756642	0.000389132588085468	0.000993270088380767	0	0.00713690971809207	0.00216018156462771	0.00218887704847211	0.000127640564171294	0.000628809977118304	0.00083671635315628	2.0555829633284e-05	0.00111714626911668	0	0.00322390964942517	0.00111733857160879	0.000196927924379677	0.00238812169037483	0.223512336719884	0.0046300670887272	0.000548224145357716	0.0327709401069919	0.000272088651429702	0.215384615384615	0.00227986320820751	0.00145931137023831	0.00172129383920247	0.00374782664691867	7.14192189118092e-05	8.80966714140984e-05	3.2932652725177e-05	0.00205349978921029	0.00167785234899329
"aac(6')-Iaj_1_AB709942"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-Ian_1_AP014611"	0	0	0.000134340890008396	0	0	0	0	0	0	1.02647273175188e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9302311952413e-05	0	0	0	0	0	0	0	2.11685012701101e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80215898646579e-05	0	0	0	0	0	0	0	0.00170940170940171	0	0	0	0	0	0	0	0	0
"aac(6')-Iak_1_AB894482"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73440704383254e-05	0	0	0	0	0	0	0	0	0	0	2.5957844460596e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-Ib-Hangzhou_1_FJ503047"	0.000419408110304333	0.000275862068965517	0.00517212426532326	6.08050589809072e-05	0.000582580833090591	9.52562392836731e-05	0.00399439865935125	0.00479536606210236	2.55996723241942e-05	0.000215559273667895	0.000785397031740873	0.000308393441499477	0.0021203910943574	0.00195547226692196	0.00118203309692671	0.115702479338843	0.000660333148724066	0.00011568049048528	0.000125470514429109	1.79733275818685e-05	0.000640635510426343	1.11711872737835e-05	0.000134792083211646	1.51146445791327e-05	0.00319533043408045	0.000246870040557221	0.000105919580558461	2.91269205563242e-05	0	1.02998279928725e-05	3.63623140976692e-05	0.000192860488396227	2.25237907539839e-05	0.000824685588619339	4.87258198119183e-05	0.00155958180102817	0.000805076719075582	0.000217601547388781	2.28916765863932e-05	0.00251632425545469	0.00114348636286634	0.000712892090649857	0.0296313051345849	0.00143732711395563	0.000226648157067173	0.00188704085662878	0.00129430505774592	0.000117209247809652	0.000729956608134961	6.37236940625448e-05	0.000103551827689759	0.000345661942620118	0.00143077436688234	0.00202853783914617	0.00113202903900578	0.000359864521591871	1.61462201698582e-05	0	0.000356085727638929	0.000960878517501716	0.0278331257783313	0.00266420469533105	9.67422062060125e-05	0	0.00109209324490687	0.000318381208433564	0.000912186815859888	0	0.00481741405971214	0.00120313909928632	0.00167045880014977	0.000170187418895058	0.000471607482838728	0.000650779385788218	0	0.00050078970684541	0	0.00176402603459113	0.000558669285804394	0.000232733001539618	0.0013238500674904	0.145137880986938	0.00302371728243409	0.000274112072678858	0.0190041524821368	7.42059958444642e-05	0.11965811965812	0.00121992680439174	0.000881093657502375	0.00124793803342179	0.00154549552450254	3.57096094559046e-05	8.80966714140984e-05	1.64663263625885e-05	0.00153672500781962	0.00120595637583893
"aac(6')-Ib-Suzhou_1_EU085533"	7.86390206820624e-05	0.000300940438871473	0.00298908480268682	2.02683529936357e-05	0.000132404734793316	4.76281196418365e-05	0.000872339937099699	0.00194663374798215	2.55996723241942e-05	3.07941819525564e-05	0.000622901094139313	3.42659379443864e-05	0.000500647897278831	0.000814780111217485	0.000216428595211934	0.0399449035812672	0.000298214970391514	5.78402452426398e-05	0	0	0.000160158877606586	3.35135618213504e-05	1.12326736009705e-05	1.51146445791327e-05	0.00109587144851135	8.81678716275789e-05	7.94396854188457e-05	1.45634602781621e-05	0	0	2.42415427317795e-05	1.83676655615455e-05	0	0.000225806768312438	2.43629099059592e-05	0.000365827829870805	0.000165751089221443	2.41779497098646e-05	0	0.000668896321070234	0.000367045005364504	0.00015008254539997	0.00761517002186534	0.00051526821066334	2.83310196333966e-05	0.000504673717470488	0.00029868578255675	2.9302311952413e-05	0.000446084593860254	1.59309235156362e-05	0	3.14238129654652e-05	0.000778977155302609	0.00193633157373044	0.000221483942414175	8.46740050804403e-05	0	0	0.000155787505842031	0.000366048959048273	0.00660024906600249	0.000633078343445001	0	0	0.000357412334696795	0.000141502759303806	0.000202708181302197	0	0.00208159866777685	0.000218752563506604	0.000518418248322341	8.50937094475291e-05	0.000192136381897259	9.29684836840311e-05	0	0.000308178281135637	0	0.000770494130051299	0.000306367027699184	5.37076157399119e-05	0.000311494133527152	0.0478955007256894	0.000818923430659233	7.83177350511023e-05	0.00508772586135947	7.42059958444642e-05	0.0547008547008547	0.000579965202087875	0.000261574679571018	0.000329914652513806	0.000321978234271363	0	1.46827785690164e-05	0	0.000503175445038282	0.000716582774049217
"aac(6')-Iid_1_AJ584700"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76335743255158e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41171155909425e-05	0	0	0	0	0	6.63746183459445e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74776286353468e-05
"aac(6')-Iih_1_AJ584701"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11685012701101e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.60431797293157e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
