"BFH12_S130"	"BH09_S83"	"BFH35_S153"	"BSE93_S121"	"BH47_S108"	"BH52_S112"	"BH36_S101"	"BFH33_S151"	"BFH9_S127"	"FH6_S167"	"BH10_S84"	"BFH15_S133"	"BFH22_S140"	"BFH31_S149"	"BH50_S111"	"BH30_S94"	"BFH32_S150"	"BFH6_S125"	"BFH8_S126"	"BSE100_S122"	"BFH20_S138"	"BFH21_S139"	"BFH14_S132"	"BFH24_S142"	"FH1_S162"	"BH34.B_S99"	"BH34.A_S98"	"BH06_S81"	"BSE79_S120"	"BH20_S88"	"BFH17_S135"	"BH31_S95"	"BH11_S85"	"BFH36_S154"	"BH22_S89"	"BFH38.B_S157"	"BH45_S106"	"BH61_S116"	"FH5_S166"	"BFH25_S143"	"BFH41_S160"	"BFH18_S136"	"BH59_S114"	"BH13_S86"	"BH03_S78"	"BH38_S103"	"BFH40_S159"	"BH33_S97"	"BH32_S96"	"BFH13_S131"	"BFH4_S124"	"BFH10_S128"	"BFH39_S158"	"BFH19_S137"	"BH37_S102"	"FH8_S169"	"BH04_S79"	"BH25_S91"	"BH01_S76"	"BFH23_S141"	"BH58_S113"	"BFH38.A_S156"	"BH14_S87"	"BSE74_S119"	"BH05_S80"	"BFH1_S123"	"FH3_S164"	"BH63_S118"	"BH48_S109"	"BFH34_S152"	"BFH28_S146"	"BH07_S82"	"BFH11_S129"	"BH44_S105"	"FH10_S171"	"FH9_S170"	"BFH27_S145"	"BFH29_S147"	"FH7_S168"	"BFH16_S134"	"FH4_S165"	"BH02_S77"	"BH29_S93"	"BH39_S104"	"BH60_S115"	"BH62_S117"	"BH27_S92"	"BFH26_S144"	"BH35_S100"	"BFH37_S155"	"FH2_S163"	"BFH42_S161"	"BH46_S107"	"BH24_S90"	"BH49_S110"	"BFH30_S148"
"aac(6')-Ib_2_M23634"	8.17818665803268e-08	8.47521789785215e-07	5.84829774826913e-06	5.31089529638965e-08	2.4434260666919e-07	1.08630957715508e-07	3.05015646089514e-06	2.49322599401804e-06	5.85779636964242e-08	4.36757824377455e-07	1.48513580612217e-06	2.91575792211427e-07	8.98174098667055e-07	2.3770346928539e-06	1.07568729426136e-06	1.38765705620661e-06	3.45370204480747e-07	1.57102432891418e-07	5.82866884394648e-08	0	5.91173991880141e-07	2.68067925624447e-08	2.96740140415654e-08	2.63463651237357e-06	8.00314250452036e-06	6.59671858108277e-08	7.37100175673085e-08	9.51090066517337e-08	3.52447724777237e-08	3.49947584850741e-08	1.44189058386331e-07	1.78215665549076e-07	3.29931214620651e-08	1.20397416664314e-06	0	2.08145114132961e-06	6.89860227419323e-07	5.23734879119371e-08	0	1.52092285631296e-06	1.31287107069997e-06	2.35059970262563e-07	5.25310769960318e-06	1.00659266128001e-06	6.3376348339733e-08	1.512230106982e-06	6.26301514194259e-07	2.53212314727714e-07	4.57518576626767e-07	1.88744178028542e-07	3.21939321263056e-08	4.06620634708537e-07	2.54792895751835e-06	4.05504599601809e-06	1.14133122865768e-06	5.30300073478378e-07	6.45983147591646e-08	0	2.55406751122868e-07	8.70111550165256e-07	7.12662709804932e-06	1.86560026191843e-06	7.87071221799386e-08	0	9.22316246845457e-07	1.59760119541468e-07	4.21959814429864e-07	0	2.53719218796574e-06	6.03762000776035e-07	8.44077866786124e-07	7.73853681835244e-08	4.78869897689127e-07	5.20396417174747e-07	0	2.53625266723955e-07	2.67891523863964e-08	1.37193107418283e-06	6.82091638556912e-07	3.29601758016673e-08	1.27992273560611e-06	1.72208716834835e-06	1.18617396780371e-06	1.69419443193682e-07	7.80572066344723e-06	0	9.76564496759683e-07	1.49050999737223e-06	7.38501462986784e-07	1.66589700129739e-06	1.5298552706798e-06	2.70448612856894e-08	1.04959915808153e-07	0	1.47164139948003e-06	2.06222457951933e-06
"aac(6')-Ib11_1_AY136758"	2.4534559974098e-07	2.82507263261738e-07	2.62508819382535e-06	0	3.25790142225587e-07	8.14732182866313e-08	2.21829560792374e-06	1.69183192451224e-06	2.92889818482121e-08	3.17642054092695e-07	5.65766021379874e-07	1.94383861474285e-07	7.37785866762224e-07	1.75835443033029e-06	9.68118564835223e-07	7.67640073646208e-07	3.45370204480747e-07	0	0	0	4.78569421998209e-07	5.36135851248894e-08	1.18696056166262e-07	0	5.60219975316425e-06	9.89507787162416e-08	2.5798506148558e-07	0	0	0	1.44189058386331e-07	8.91078327745381e-08	6.59862429241302e-08	1.04555651313747e-06	0	9.89542345878012e-07	4.21581250089586e-07	1.04746975823874e-07	0	1.32254161418518e-06	1.03935626430414e-06	2.35059970262563e-07	4.57214929409906e-06	5.20651376524142e-07	0	1.54823558571967e-06	8.35068685592345e-07	0	2.7451114597606e-07	9.43720890142709e-08	0	4.06620634708537e-07	1.26055432635119e-06	2.0643870525183e-06	6.39145488048299e-07	1.76766691159459e-07	0	0	3.64866787318383e-07	7.45809900141648e-07	5.02731058854642e-06	1.33257161565602e-06	0	0	8.86842545043708e-07	3.19520239082936e-08	3.57042919902192e-07	2.46708294579572e-06	2.07366669208738e-06	4.6959266727025e-07	4.22038933393062e-07	7.73853681835244e-08	3.5117125830536e-07	3.81624039261481e-07	0	2.11354388936629e-07	2.67891523863964e-08	1.14794232737747e-06	4.54727759037942e-07	9.88805274050019e-08	1.27992273560611e-06	1.03975074315372e-06	1.30189825734553e-06	1.69419443193682e-07	6.45693804880745e-06	4.63212647446955e-08	7.93458653617242e-07	8.34685598528449e-07	7.38501462986784e-07	1.19441671791133e-06	9.75942155433665e-07	0	3.49866386027176e-08	0	1.64144617634311e-06	9.54163611419393e-07
"aac(6')-30-aac(6')-Ib'_1_AJ584652"	3.68018399611471e-07	7.26447248387327e-07	9.07150730271291e-06	1.85881335373638e-07	8.95922891120364e-07	2.17261915431017e-07	8.04132157872355e-06	4.45218927503221e-06	5.85779636964242e-08	1.27056821637078e-06	1.76801881681211e-06	8.09932756142854e-07	3.46438580914436e-06	4.68894514754743e-06	2.31272768266192e-06	3.83820036823104e-06	1.58294677053676e-06	5.34148271830821e-07	1.74860065318395e-07	0	1.99873111540429e-06	2.41261133062002e-07	4.15436196581916e-07	0	1.93016966285491e-05	5.9370467229745e-07	4.05405096620197e-07	6.34060044344891e-08	0	0	3.36441136234773e-07	7.72267884045997e-07	0	3.99212486834305e-06	0	4.29939088209067e-06	2.22288295501782e-06	2.88054183515654e-07	3.71101426435952e-08	4.36438732681111e-06	2.65309362203952e-06	9.01063219339825e-07	2.00072064855257e-05	1.73550458841381e-06	3.80258090038398e-07	4.89674510832266e-06	1.75960901606958e-06	6.75232839273905e-07	9.45538391695318e-07	3.77488356057084e-07	1.28775728505222e-07	9.07076800503659e-07	4.58627212353304e-06	4.1287741050366e-06	2.6022352013395e-06	1.7323135733627e-06	3.22991573795823e-08	7.76763402450518e-08	1.49595382800537e-06	1.92667557536592e-06	2.14351264654507e-05	4.17539106238887e-06	0	2.51774779302411e-08	3.37000167116609e-06	3.5147226299123e-07	1.59046391592795e-06	0	5.85505889530555e-06	2.64984433673927e-06	2.29106849556234e-06	2.32156104550573e-07	1.14928775445391e-06	1.87342710182909e-06	3.61543356279285e-06	1.22585545583245e-06	0	4.45177634275654e-06	2.34942675502937e-06	3.6256193381834e-07	3.7984803766375e-06	5.00380045142728e-06	4.25286764066208e-06	5.92968051177887e-07	2.51390121366903e-05	5.0953391219165e-07	3.84522270599125e-06	3.39836279400869e-06	3.26171479485829e-06	3.77184226708843e-06	7.67565316841072e-06	1.62269167714137e-07	2.09919831616306e-07	8.20864099832835e-08	4.27342021772086e-06	2.95482924826651e-06
"aac(6')-Iaj_1_AB709942"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-Ian_1_AP014611"	0	0	1.32915857915207e-07	0	0	0	0	0	0	3.97052567615869e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.44041049092382e-08	0	0	0	0	0	0	0	3.53533382318919e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.78939799198285e-08	0	0	0	0	0	0	0	3.05176405237401e-08	0	0	0	0	0	0	0	0	0
"aac(6')-Iak_1_AB894482"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.35423333764464e-08	0	0	0	0	0	0	0	0	0	0	4.12878301808423e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-Ib-Hangzhou_1_FJ503047"	6.54254932642615e-07	4.43939985125589e-07	5.11726052973549e-06	7.96634294458447e-08	5.97281927413576e-07	1.08630957715508e-07	6.03099118404266e-06	2.99780744518836e-06	2.92889818482121e-08	8.33810391993324e-07	1.02545091375102e-06	5.83151584422855e-07	2.30959053942957e-06	3.12596343169829e-06	1.90934494731391e-06	2.48006793024159e-06	8.92206361575262e-07	2.51363892626269e-07	8.74300326591973e-08	2.82567397198519e-08	1.12604569881932e-06	2.68067925624447e-08	3.56088168498785e-07	2.63463651237357e-06	1.30404145514832e-05	4.61770300675794e-07	2.94840070269234e-07	6.34060044344891e-08	0	3.49947584850741e-08	1.44189058386331e-07	6.23754829421767e-07	6.59862429241302e-08	2.66141657889537e-06	6.82049520614674e-08	2.76389413848686e-06	1.30306931845872e-06	2.35680695603717e-07	3.71101426435952e-08	2.61201968801574e-06	2.21546993180619e-06	7.44356572498117e-07	1.27436501601484e-05	1.83963486371863e-06	2.53505393358932e-07	3.09647117143933e-06	1.16313138350362e-06	3.37616419636953e-07	5.4902229195212e-07	1.25829452019028e-07	6.43878642526111e-08	6.88127227968293e-07	2.41382743343844e-06	2.16269119787632e-06	2.10004946073013e-06	6.01006749942162e-07	3.22991573795823e-08	0	5.83786859709413e-07	1.30516732524788e-06	1.23472957861552e-05	2.99088295958352e-06	1.57414244359877e-07	0	1.95105359909616e-06	2.87568215174642e-07	1.4606301268726e-06	0	3.95216475433124e-06	1.47586266856364e-06	1.74844700977126e-06	3.09541472734097e-07	8.61965815840429e-07	1.45710996808929e-06	0	5.49521411235236e-07	0	2.4358776215083e-06	1.17471337751468e-06	4.28482285421675e-07	2.10567933922296e-06	3.24922107235538e-06	2.77738294900381e-06	2.96484025588943e-07	1.45783312390853e-05	1.38963794234086e-07	2.13623483666181e-06	1.81842219679412e-06	1.96933723463142e-06	2.73458564363911e-06	3.16521780140648e-06	8.11345838570683e-08	2.09919831616306e-07	4.10432049916418e-08	3.19798996425468e-06	2.12378352219155e-06
"aac(6')-Ib-Suzhou_1_EU085533"	1.2267279987049e-07	4.84298165591552e-07	2.95737783861337e-06	2.65544764819482e-08	1.35745892593995e-07	5.43154788577542e-08	1.31711301720472e-06	1.21693173517547e-06	2.92889818482121e-08	1.19115770284761e-07	8.13288655733568e-07	6.47946204914283e-08	5.45319988476426e-07	1.30248476320762e-06	3.49598370634942e-07	8.56213928297693e-07	4.02931905227538e-07	1.25681946313134e-07	0	0	2.81511424704829e-07	8.0420377687334e-08	2.96740140415654e-08	2.63463651237357e-06	4.47234434076138e-06	1.64917964527069e-07	2.21130052701925e-07	3.17030022172446e-08	0	0	9.61260389242208e-08	5.94052218496921e-08	0	7.28721206126112e-07	3.41024760307337e-08	6.48320847299387e-07	2.68278977329737e-07	2.61867439559686e-08	0	6.94334347447222e-07	7.11138496629149e-07	1.56706646841709e-07	3.27508566456741e-06	6.59491743597246e-07	3.16881741698665e-08	8.28126010966333e-07	2.68414934654682e-07	8.44041049092382e-08	3.35513622859629e-07	3.1457363004757e-08	0	6.25570207243903e-08	1.31419493598315e-06	2.0643870525183e-06	4.10879242316764e-07	1.41413352927568e-07	0	0	2.55406751122868e-07	4.97206600094432e-07	2.92799407904352e-06	7.10704861683212e-07	0	0	6.3852663243147e-07	1.27808095633174e-07	3.24584472638357e-07	0	1.70772551113078e-06	2.68338667011571e-07	5.4262148579108e-07	1.54770736367049e-07	3.5117125830536e-07	2.08158566869899e-07	0	3.38167022298607e-07	0	1.06394654732546e-06	6.44197658637084e-07	9.88805274050019e-08	4.95453962170108e-07	1.07224295387727e-06	7.52207882021864e-07	8.47097215968409e-08	3.90286033172361e-06	1.38963794234086e-07	9.76564496759683e-07	8.64495798475894e-07	5.84646991531204e-07	7.22936434525282e-07	6.59420375293017e-07	0	3.49866386027176e-08	0	1.04712945732233e-06	1.26195832478049e-06
"aac(6')-Iid_1_AJ584700"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.29835929054139e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73514806395826e-08	0	0	0	0	0	5.96477632565961e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07794713361095e-08
"aac(6')-Iih_1_AJ584701"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53533382318919e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57879598396569e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
