gene	log2FoldChange
dfrB5_1_AY943084	-6.68802252583158
blaCMY-4_1_LNHZ01000079	-6.36587708080225
sul4_1_MG649393	-5.76166439389073
dfrA15_2_AF221900	-5.53966888004579
blaOXA-46_1_AF317511	-5.50461612861468
blaOXA-101_1_AM412777	-5.41175052840022
dfrA15_1_AF156486	-5.37955320650061
blaOXA-7_1_X75562	-5.27916603587361
qnrVC1_1_EU436855	-5.22354996502108
lnu(F)_3_AJ561197	-5.12388506024167
nimA_1_X71444	-4.97720481902117
blaVIM-5_1_DQ023222	-4.76371726579648
dfrA15_4_AJ867237	-4.7575483810586
blaOXA-56_1_AY445080	-4.60709236890374
catQ_1_M55620	-4.54609660466093
blaVIM-38_1_KC469971	-4.44751559156897
blaCMY-130_1_KP207589	-4.38666054390985
blaCMY-59_1_NG_048854	-4.37769840742439
qnrVC4_1_GQ891757	-4.36850166102604
blaVIM-25_1_HM750249	-4.36688244893814
blaCMY-15_1_AJ555823	-4.36298542812819
lnu(B)_1_AJ238249	-4.35604902454084
blaCMY-32_1_EU496815	-4.3209407861468
blaAER-1_1_U14748	-4.30599170101778
blaCMY-138_1_KT997883	-4.30046887233484
blaCMY-17_1_AY513266	-4.27771514512067
blaVIM-49_1_KU663374	-4.26319018936852
blaCMY-121_1_KM507172	-4.26289804581263
qnrVC5_1_JN408080	-4.25019127731168
qnrVC3_1_HM015626	-4.24524273125296
blaOXA-28_1_AF231133	-4.22817833067536
lsa(E)_1_JX560992	-4.22290871798749
blaCMY-69_1_JX049132	-4.216731112039
blaCMY-107_1_GQ162215	-4.20130010187026
blaCMY-61_1_JF460795	-4.19786535043155
blaCMY-45_1_FN546177	-4.19561882638363
blaVEB-1_3_DQ393569	-4.19388817489803
blaCMY-27_1_EU515250	-4.19255011321341
blaCMY-111_1_KJ155695	-4.1853252925384
cmlA1_1_M64556	-4.17751938654776
blaCMY-57_1_HQ285243	-4.17368150647695
blaCMY-18_1_AY743434	-4.162365113983
blaCMY-14_1_AJ555825	-4.16027485781693
blaCARB-2_1_M69058	-4.15614853813055
blaCMY-22_1_DQ256079	-4.15401778602842
blaCMY-148_1_KY624573	-4.1401217988877
blaCMY-43_1_FJ360626	-4.13677417633053
blaCMY-153_1_MF042206	-4.13070001223458
blaCMY-31_1_EF622224	-4.12962138960767
blaCMY-2_1_X91840	-4.1249845928551
blaCMY-133_1_KP862819	-4.12252229268126
blaCMY-58_1_HQ185697	-4.12047033830552
blaCMY-143_1_KY009534	-4.11649411135099
blaCMY-134_1_KP860987	-4.11428738610657
blaCMY-23_1_DQ438952	-4.10668479532034
blaTLA-1_1_AF148067	-4.07878444311552
blaCMY-60_1_JF460794	-4.07425603537625
blaOXA-19_1_AF043381	-4.073267423267
blaCMY-54_1_HM544039	-4.07129736142615
blaOXA-183_1_HQ111474	-4.07124297166122
blaCMY-147_1_KY563765	-4.06048073681675
blaVEB-1_1_HM370393	-4.04081185677988
blaCMY-7_1_DQ173300	-4.02208776323447
blaCMY-24_1_EF415650	-4.00251357066282
blaCMY-56_1_HQ322613	-4.00177261640255
blaVEB-7_1_FJ825622	-3.99081463557317
blaCMY-38_1_AM931008	-3.96099058937172
blaCMY-55_1_HM544040	-3.95272780513957
blaCMY-146_1_KX034085	-3.9353945353647
blaCMY-95_1_JX514369	-3.92764423445608
blaCMY-94_1_JX514368	-3.91268557996511
blaVEB-5_1_EF420108	-3.90944025308425
blaCMY-149_1_KY624574	-3.90925120128277
blaVEB-6_1_EU259884	-3.87993292602553
blaCMY-142_1_KX881969	-3.85595226119556
blaCMY-44_1_FJ437066	-3.84292706898519
blaCMY-2b_1_U77414	-3.79820186123255
blaCMY-141_1_KX537750	-3.77518947423889
blaCMY-30_1_LMYO01000054	-3.77371400869277
blaCMY-20_1_AY960293	-3.76774190665036
blaCMY-12_1_Y16785	-3.74043598638626
dfrA15_3_DQ647028	-3.72620038600671
blaCMY-29_1_EF685371	-3.70637918273786
blaVEB-4_1_EF136375	-3.68869318756988
blaOXA-13_1_AF043558	-3.68262327261202
blaVEB-2_1_AY027870	-3.65681927637775
blaCMY-140_1_KX354367	-3.62508795227549
blaCMY-33_1_EU496816	-3.61873083701792
ARR-2_1_HQ141279	-3.61383088702112
blaOXA-147_1_FJ848783	-3.61369203664057
