gene	log2FoldChange
aph(2'')-Ib_1_AF337947	-6.03601229030188
aac(6')-Im_1_AF337947	-5.95728612903233
blaOXA-129_1_FJWZ01000025	-5.83393102567264
aph(2'')-Ib_3_KF652098	-4.86715789400962
aph(2'')-Ib_2_AF207840	-4.79379443899622
aac(6')-IIc_1_NC_012555	-4.497579657066
blaOXA-256_1_HE616889	-3.90804954874435
dfrA22_4_AJ628423	-3.89076324311084
dfrA22_5_AJ968952	-3.74206956371549
dfrA31_1_AB200915	-3.71334979803898
ant(6)-Ib_1_FN594949	-3.35059485539845
sul3_2_AJ459418	-3.21712607468378
blaOXA-20_1_AY307114	-3.00851569921595
lnu(C)_1_AY928180	-2.964243937739
blaSCO-1_1_EF063111	-2.95030859144898
blaOXA-392_1_AB901044	-2.91198289796515
blaOXA-47_1_AY237830	-2.82713882998066
qnrVC4_1_GQ891757	-2.69653159003998
cat_2_M35190	-2.68150068810993
cat_3_S48276	-2.60494677735645
qnrVC5_1_JN408080	-2.59227550857046
ant(2'')-Ia_11_HM367620	-2.54950219424955
ant(2'')-Ia_2_JF826500	-2.50460138183601
blaCMY-41_1_AB429270	-2.50122896065726
ant(2'')-Ia_6_AJ871915	-2.49903790295942
ant(2'')-Ia_9_HM367610	-2.4970999942902
blaSHV-2a_1_X98102	-2.49453142311886
blaCMY-112_1_KM087837	-2.46520031520871
tet(44)_1_NZ_ABDU01000081	-2.4585821466042
lnu(D)_1_EF452177	-2.45296176000144
ant(2'')-Ia_10_HM367617	-2.44488146401305
ant(2'')-Ia_13_DQ176450	-2.42502312053603
ant(2'')-Ia_19_GQ466184	-2.404376710787
aph(3')-IIIa_3_AB247327	-2.36517742479193
blaCARB-1_1_AF313471	-2.34134583453645
blaCARB-6_1_AF030945	-2.32998115230628
blaLCR-1_1_X56809	-2.31272807318233
blaNPS_1_AY027589	-2.30042220229097
blaCARB-50_1_NG_052478	-2.28527858602257
blaCMY-152_1_KY978224	-2.27191465435879
dfrB2_2_AY553333	-2.24487407994894
aph(3')-IIIa_1_AF330699	-2.22804230830933
dfrA7_2_AJ884724	-2.22365973241332
blaCARB-2_1_M69058	-2.21163810601651
lnu(F)_3_AJ561197	-2.2014013059065
qnrVC7_1_KM555152	-2.19898816629487
blaCMY-118_1_KM087838	-2.18282452215526
nimE_1_AM042593	-2.16692116314425
blaCMY-48_1_HM569226	-2.1439249644381
blaOXA-20_2_AF024602	-2.12172492852815
blaCARB-3_1_S46063	-2.11269032860765
ant(2'')-Ia_17_JTTZ01000034	-2.09786605730275
dfrA7_1_AB161450	-2.0789005186509
tet(44)_2_FN594949	-2.07473105099833
blaCARB-12_1_D13210	-2.07013585703311
blaCARB-11_1_AY008290	-2.06945909442956
aph(2'')-Ia_3_AJ536195	-2.0361083672269
lnu(A)_1_M14039	-2.03505188531868
aac(6')-aph(2'')_1_M13771	-2.03327530765822
dfrA7_5_AJ419170	-2.02856988208099
ere(A)_6_DQ157752	-2.02653307387152
aph(2'')-Ia_2_AP009486	-2.00507172856347
aph(2'')-Id_1_AF016483	-1.99669207637774
ant(2'')-Ia_7_DQ018384	-1.9819917462156
blaCMY-75_1_JQ733572	-1.97852037691665
aph(3')-XV_2_GQ626879	-1.97374932651356
nimE_1_AJ244018	-1.95329600056766
blaOXA-347_1_ACWG01000053	-1.94786887177136
ant(6)-Ia_1_AF330699	-1.94757721974714
blaCMY-76_1_JQ733573	-1.94674562218013
blaCMY-103_1_KF526116	-1.93755681888048
dfrA7_4_FN563072	-1.91404024981223
ant(2'')-Ia_14_DQ266447	-1.90963217063259
ant(2'')-Ia_3_X74412	-1.90906335489262
aph(3')-IIIa_2_AJ490186	-1.90136809203583
ant(2'')-Ia_16_HQ386848	-1.88253542566255
aph(3')-XV_1_Y18050	-1.87806067081736
ant(2'')-Ia_4_AF458082	-1.83902246536311
ant(2'')-Ia_12_HQ880250	-1.83302994572484
tet(A)_5_AJ419171	-1.83299301220133
dfrA7_3_EU339235	-1.83044787525569
tet(36)_1_AJ514254	-1.8248095932907
dfrA14_1_KF921535	-1.82227561206139
tet(32)_1_EU722333	-1.7981037273299
aac(3)-Ib-aac(6')-Ib'_1_AF355189	-1.75621811757758
dfrA14_5_DQ388123	-1.7561617156901
ant(2'')-Ia_8_AY920928	-1.74811396715533
tet(A)_1_AJ313332	-1.74429390464261
tet(A)_4_AJ517790	-1.73983214502861
ant(2'')-Ia_15_EF205594	-1.72617110714813
aac(6')-30-aac(6')-Ib'_1_AJ584652	-1.72293118270504
blaOXA-118_1_AF371964	-1.69504326500925
lnu(F)_1_EU118119	-1.68204291589996
ant(2'')-Ia_1_X04555	-1.68062181523454
tet(C)_3_AF055345	-1.67131221903737
tet(C)_2_AY046276	-1.66812552126965
tet(A)_6_AF534183	-1.66378358151337
blaOXA-209_1_JF268688	-1.65452146546549
blaCMY-110_1_AB872957	-1.64798705276966
blaVEB-1_3_DQ393569	-1.64796700351069
ant(2'')-Ia_5_AY139594	-1.63927119041241
aac(6')-Ib-Hangzhou_1_FJ503047	-1.63787347324259
blaVEB-2_1_AY027870	-1.62925542889529
blaVEB-5_1_EF420108	-1.62895904786286
blaCMY-97_1_KC007363	-1.6224381298694
tet(C)_1_NC_003123	-1.62136524532002
blaCMY-105_1_KJ207205	-1.6014510055755
mef(B)_1_FJ196385	-1.59951104087744
dfrA14_2_Z50805	-1.59571992158826
blaVEB-1_1_HM370393	-1.57817473322897
blaOXA-454_1_LC037981	-1.57159551167238
blaVEB-8_1_JX679208	-1.5696328533507
blaVEB-4_1_EF136375	-1.56549745468616
aac(6')-Ib11_1_AY136758	-1.54792972200777
blaOXA-11_1_Z22590	-1.54702748215208
dfrA14_4_AF393510	-1.54106399619432
aph(3')-III_1_M26832	-1.52252345783727
blaVEB-1_4_AF324834	-1.52179029827205
aac(6')-Ib_2_M23634	-1.50827171572932
dfrA14_3_Z50804	-1.50759040390411
blaVEB-3_1_AY536519	-1.50066986492002
dfrA32_1_GU067642	-1.49893388680114
fosX_1_AP010904	-1.49859321250298
blaAER-1_1_U14748	-1.49522624511585
catB8_1_AF227506	-1.46677267436491
aac(6')-Ib-Suzhou_1_EU085533	-1.46286358638685
aac(6')-Ib3_1_X60321	-1.46258963309545
blaVEB-6_1_EU259884	-1.46065802367052
aph(6)-Id_3_AB109805	-1.45558284233233
blaSHV-101_1_EU155018	-1.45426596310661
blaOXA-14_1_KJ420612	-1.44626188817522
blaOXA-251_1_JN118546	-1.4422645259531
erm(G)_1_M15332	-1.40515919204381
blaOXA-368_1_KT736121	-1.40493314307939
blaOXA-541_1_FM179467	-1.39747063080622
blaOXA-240_1_JX089628	-1.39645670983997
blaOXA-520_1_KX388630	-1.39255934205093
aac(6')-Ib_1_M21682	-1.39075272022684
blaOXA-10_1_J03427	-1.38675034647412
blaOXA-36_1_AF300985	-1.38614489564067
blaOXA-226_1_FJ617207	-1.38526487764817
blaOXA-16_1_AF043100	-1.38278047188688
blaVEB-7_1_FJ825622	-1.37478138682999
blaOXA-142_1_LC169567	-1.37465134622031
erm(G)_2_L42817	-1.3687934161801
blaOXA-32_1_AF315351	-1.36081904470086
aph(3'')-Ib_3_AF321550	-1.35242851931108
tetA(P)_3_AB001076	-1.35103381023732
blaOXA-161_1_GQ202693	-1.34235164514958
tet(A)_3_AY196695	-1.34064664708207
ant(3'')-Ii-aac(6')-IId_1_AF453998	-1.32878281955658
blaOXA-2_2_GQ466184	-1.32354402022105
blaCMH-3_1_KX192165	-1.32295809622037
blaOXA-9_1_KQ089875	-1.31858755940225
aac(3)-IIe_1_EU022315	-1.31472627117017
blaOXA-15_1_U63835	-1.30812260197921
lnu(F)_2_DQ836009	-1.30678889762779
ant(6)-Ia_2_KF421157	-1.30068951482101
aph(3'')-Ib_4_AF313472	-1.28765141769113
aac(3)-IIa_5_FJ012882	-1.28483867576694
blaOXA-210_1_JF795487	-1.27931599409863
tet(M)_13_AM990992	-1.27517830178045
catB3_2_U13880	-1.27382051082263
cmlA1_1_M64556	-1.27042555921749
aac(3)-IIa_1_X51534	-1.26957530760246
blaOXA-31_1_AF294653	-1.26353917978677
aph(3'')-Ib_2_AF024602	-1.2628976224185
blaOXA-415_1_KJ865754	-1.26197343722691
tet(M)_5_U58985	-1.25373590000711
erm(47)_1_KU612222	-1.24775499264337
blaOXA-540_1_KJ138219	-1.24572128176853
blaOXA-17_1_DQ902344	-1.24498495996704
blaOXA-2_1_DQ112222	-1.23645410959738
blaOXA-233_1_KJ657570	-1.22445594609653
tet(M)_4_X75073	-1.21853872212453
tet(Q)_1_L33696	-1.2007925346654
blaCMY-68_1_JN714480	-1.19893386703826
blaOXA-119_1_DQ767903	-1.18556653886543
blaGES-16_1_HM173356	-1.18245557945966
blaOXA-246_1_EU886980	-1.18102887654975
blaOXA-74_1_EU161636	-1.18049303951865
ant(6)-Ia_5_AB247327	-1.17579915711762
aph(6)-Id_2_AF024602	-1.17321295848076
tet(K)_1_U38656	-1.17289180263333
tetA(P)_1_AB054980	-1.17104016980348
tet(X)_1_GU014535	-1.16682831964543
tet(A)_2_X00006	-1.16004478155826
catB3_1_AJ009818	-1.14984805616725
tet(M)_12_FR671418	-1.14274056158554
tet(S/M)_1_HM367711	-1.14199584672693
blaOXA-34_1_AF350424	-1.13998929044817
fosA2_1_EU487198	-1.13116132821691
tet(S)_2_L09756	-1.12249666643875
aph(6)-Id_1_M28829	-1.11906855702804
blaGES-20_1_JN596280	-1.11760697392393
tet(Q)_2_X58717	-1.11729843086365
aph(6)-Id_4_CP000971	-1.11674784898149
aph(6)-Id_5_18676889	-1.10767728745094
tet(M)_3_U08812	-1.10337074607726
blaOXA-141_1_EF552405	-1.09830889849101
cml_1_M22614	-1.09663424628613
blaOXA-539_1_KY094077	-1.0863495533359
tet(X3)_1_MK134375	-1.06974015390798
blaGES-14_1_GU207844	-1.06696355331273
blaOXA-212_1_JN861780	-1.06081059569226
aac(3)-IIa_3_X13543	-1.05754273513777
tet(M)_9_X56353	-1.0505253507697
tet(M)_2_X90939	-1.0476357675899
tet(M)_1_X92947	-1.03570734320458
blaOXA-53_1_AY289608	-1.02827918592692
lsa(E)_1_JX560992	-1.01275980385539
tet(X)_2_M37699	-1.00197679699305
aac(3)-Ia_1_X15852	-0.993335159904151
blaCMY-47_1_HM046998	-0.978396850211142
catQ_1_M55620	-0.970265680937199
aac(3)-Ib_1_L06157	-0.955008520821254
blaGES-22_1_JX023441	-0.952619197428403
blaGES-1_1_HQ170511	-0.950376930377809
blaOXA-211_1_JN861779	-0.946895534039934
sul1_8_JN581942	-0.92272126464279
aph(3'')-Ib_5_AF321551	-0.89219707349813
tet(X4)_1_MK134376	-0.89183555066071
sul1_5_EU780013	-0.890432571207439
sul1_19_DQ125241	-0.889859243735878
sul1_23_AJ621187	-0.88527372585114
sul1_22_AY115475	-0.884868333347117
sul1_14_AJ517791	-0.881460633566951
sul1_7_FJ715937	-0.847706362898733
sul1_36_X15024	-0.842827542498644
sul1_27_GU562437	-0.841846548887824
sul1_31_AM040449	-0.834853751050202
sul1_11_DQ914960	-0.823062453608474
blaGES-11_1_FJ854362	-0.820849165118102
sul1_3_EU855787	-0.820085838032976
sul1_28_JN790946	-0.813785314717196
aadA12_1_AY665771	-0.813009596425436
sul1_26_AY524415	-0.812631940495955
sul1_32_EF592571	-0.808435011681666
sul1_21_AJ971344	-0.806565903129176
sul1_15_EF667294	-0.793505329235316
sul1_18_AY260546	-0.791540836915561
sul1_2_U12338	-0.790742492238793
sul1_30_JF262178	-0.789477817338235
