gene	log2FoldChange
lnu(F)_3_AJ561197	-6.8730137002985
qnrVC4_1_GQ891757	-6.8330830243941
qnrVC5_1_JN408080	-6.65444621677421
aac(6')-IIc_1_NC_012555	-6.01592170662136
blaCARB-2_1_M69058	-6.00151334521341
ant(2'')-Ia_6_AJ871915	-5.82798369397342
blaOXA-129_1_FJWZ01000025	-5.69294599730745
dfrA22_4_AJ628423	-5.58097173739772
blaVEB-1_3_DQ393569	-5.57278349738677
blaAER-1_1_U14748	-5.50106596374887
ant(2'')-Ia_10_HM367617	-5.45702925783206
aph(2'')-Id_1_AF016483	-5.44524912188107
blaVEB-1_1_HM370393	-5.26994066117675
catQ_1_M55620	-5.21073231279098
blaVEB-5_1_EF420108	-5.18647153564446
blaCARB-11_1_AY008290	-5.18060864891679
blaCARB-1_1_AF313471	-5.14013855205514
sul3_2_AJ459418	-5.13639390505502
dfrA15_2_AF221900	-5.12491257724429
cmlA1_1_M64556	-5.0891384736464
blaCARB-4_1_FJ785525	-5.08464500784345
blaVEB-7_1_FJ825622	-5.04687380166419
aac(6')-Im_1_AF337947	-5.01622497425092
blaVEB-6_1_EU259884	-4.99484066913949
ant(2'')-Ia_17_JTTZ01000034	-4.97495204508587
lnu(B)_1_AJ238249	-4.95968827979588
lsa(E)_1_JX560992	-4.93915992816678
blaVEB-2_1_AY027870	-4.92958496484299
qnrVC1_1_EU436855	-4.91821636804502
ant(2'')-Ia_9_HM367610	-4.91720493960248
blaVEB-4_1_EF136375	-4.89993975981823
blaCMY-4_1_LNHZ01000079	-4.86446206921825
ant(2'')-Ia_19_GQ466184	-4.85083854873973
blaVEB-1_4_AF324834	-4.76961719036833
blaVEB-3_1_AY536519	-4.71937027069195
dfrA7_5_AJ419170	-4.71299078651895
ant(2'')-Ia_11_HM367620	-4.60190915355573
aph(2'')-Ib_1_AF337947	-4.57708160426795
blaCARB-3_1_S46063	-4.52352549138873
dfrA7_2_AJ884724	-4.49448940612664
blaCARB-6_1_AF030945	-4.45307263926563
blaCMY-103_1_KF526116	-4.411638996598
dfrA22_5_AJ968952	-4.40070854370252
blaVEB-8_1_JX679208	-4.39093082982396
blaCARB-50_1_NG_052478	-4.35931804262507
lnu(D)_1_EF452177	-4.26562507437044
lnu(B)_2_JQ861959	-4.20235745897034
catB8_1_AF227506	-4.19627169412687
dfrA7_1_AB161450	-4.18193349963657
tet(A)_1_AJ313332	-4.16741295230066
dfrA7_3_EU339235	-4.13815822742685
blaOXA-256_1_HE616889	-4.10225600670376
dfrA15_4_AJ867237	-4.02737320144071
dfrB5_1_AY943084	-4.02070922348892
qnrVC3_1_HM015626	-4.01462399053859
dfrA14_5_DQ388123	-4.01327758451341
dfrA14_2_Z50805	-4.01063414745722
dfrA15_1_AF156486	-3.9980232432929
tet(C)_3_AF055345	-3.97154345622121
tet(C)_2_AY046276	-3.95488963790574
lnu(F)_2_DQ836009	-3.94789941767589
ant(2'')-Ia_2_JF826500	-3.94262145347387
tet(C)_1_NC_003123	-3.90235530653076
dfrA14_1_KF921535	-3.89768125260279
nimA_1_X71444	-3.76073483235916
dfrA14_3_Z50804	-3.71008867265713
blaOXA-347_1_ACWG01000053	-3.65637768231133
aadA4_1_Z50802	-3.65330562827604
blaCMY-152_1_KY978224	-3.59400729629669
cmlA1_2_AB212941	-3.56945389672595
tet(A)_6_AF534183	-3.56565955739254
blaCMY-112_1_KM087837	-3.56561808871651
sul4_1_MG649393	-3.5508718886674
dfrA31_1_AB200915	-3.5235337178205
mef(B)_1_FJ196385	-3.51568058188579
tet(A)_4_AJ517790	-3.51562364205451
lnu(A)_1_M14039	-3.47961902902725
dfrA15_3_DQ647028	-3.4663487485745
blaCMY-41_1_AB429270	-3.46141244765925
ant(2'')-Ia_13_DQ176450	-3.45915568638303
tet(36)_1_AJ514254	-3.40945447066589
cml_1_M22614	-3.38930276487527
blaNPS_1_AY027589	-3.38030243915679
tet(A)_5_AJ419171	-3.37566433921567
blaOXA-46_1_AF317511	-3.25107646363312
blaOXA-209_1_JF268688	-3.24185225841013
lnu(F)_1_EU118119	-3.22468158491663
qnrVC7_1_KM555152	-3.21686485569436
dfrA14_4_AF393510	-3.21067831788928
nimE_1_AM042593	-3.19630080836661
