"BFH12_S130"	"BH09_S83"	"BFH35_S153"	"BSE93_S121"	"BH47_S108"	"BH52_S112"	"BH36_S101"	"BFH33_S151"	"BFH9_S127"	"FH6_S167"	"BH10_S84"	"BFH15_S133"	"BFH22_S140"	"BFH31_S149"	"BH50_S111"	"BH30_S94"	"BFH32_S150"	"BFH6_S125"	"BFH8_S126"	"BSE100_S122"	"BFH20_S138"	"BFH21_S139"	"BFH14_S132"	"BFH24_S142"	"FH1_S162"	"BH34.B_S99"	"BH34.A_S98"	"BH06_S81"	"BSE79_S120"	"BH20_S88"	"BFH17_S135"	"BH31_S95"	"BH11_S85"	"BFH36_S154"	"BH22_S89"	"BFH38.B_S157"	"BH45_S106"	"BH61_S116"	"FH5_S166"	"BFH25_S143"	"BFH41_S160"	"BFH18_S136"	"BH59_S114"	"BH13_S86"	"BH03_S78"	"BH38_S103"	"BFH40_S159"	"BH33_S97"	"BH32_S96"	"BFH13_S131"	"BFH4_S124"	"BFH10_S128"	"BFH39_S158"	"BFH19_S137"	"BH37_S102"	"FH8_S169"	"BH04_S79"	"BH25_S91"	"BH01_S76"	"BFH23_S141"	"BH58_S113"	"BFH38.A_S156"	"BH14_S87"	"BSE74_S119"	"BH05_S80"	"BFH1_S123"	"FH3_S164"	"BH63_S118"	"BH48_S109"	"BFH34_S152"	"BFH28_S146"	"BH07_S82"	"BFH11_S129"	"BH44_S105"	"FH10_S171"	"FH9_S170"	"BFH27_S145"	"BFH29_S147"	"FH7_S168"	"BFH16_S134"	"FH4_S165"	"BH02_S77"	"BH29_S93"	"BH39_S104"	"BH60_S115"	"BH62_S117"	"BH27_S92"	"BFH26_S144"	"BH35_S100"	"BFH37_S155"	"FH2_S163"	"BFH42_S161"	"BH46_S107"	"BH24_S90"	"BH49_S110"	"BFH30_S148"
"CGB-1_ARO:3000841_ABS29619.1"	0	0	0	0	0	0	0	0	0	1.4830414213469e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20124448929091e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44187790177928e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000130328819611881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TUS-1_ARO:3000844_AAN63648.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01930455151246e-05	0	0	0	0	0	0	0	0	0	0	9.82547500030705e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000124760874989603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61773032435493e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"farA_ARO:3003961_AAF40763.1"	0.000101784623736174	3.34526477770716e-05	1.34050054290272e-05	2.50928435210278e-05	0	0	4.00889975746156e-05	3.49731872231289e-05	0	1.4830414213469e-05	0.000177598863367274	0	0	7.96513546419672e-05	2.06688437848787e-05	3.38833734286586e-05	1.52807065798723e-05	0	0	9.56785201722213e-05	6.92748653469805e-05	0.000119217930376729	2.6763729793384e-05	0.00140845070422535	2.01930455151246e-05	0	0	0	0	0	0	0	4.12762620217113e-05	2.94594196494329e-05	0	2.45636875007676e-05	0	1.80485867956539e-05	0	4.2961785491805e-05	9.93216332449371e-06	0	2.04398659144796e-05	4.85460459245594e-05	3.81126610259928e-05	0	1.13809664716728e-05	0	0	0	0	0	0	0	0	4.10812587297675e-05	0	0	0.000192808252193194	3.34941050375134e-05	0.000112695103397757	0	0	0	0	0	0	0	0	0	1.80851448620103e-05	0	5.06970849176172e-05	0	0	1.75842726265628e-05	0	3.23546064870986e-05	1.6606330333123e-05	0	0	5.67528837559058e-05	3.24849351113421e-05	0	3.64876945250214e-05	0	0	5.83975706610605e-05	0	3.32259029139117e-05	1.38692407977587e-05	0	0	0	1.56125587422523e-05	2.24729201312419e-05
"lmrD_ARO:3002882_AYV52072.1"	0	0	0	0	0	0	0	0.000198181394264397	0	0.000177964970561628	0	0	2.05069313427939e-05	0.000671347131982295	2.06688437848787e-05	0	3.05614131597445e-05	0	2.43439310579872e-05	0	1.73187163367451e-05	0	0	0	0.000100965227575623	0	0	2.87993548944504e-05	0	0	0	0	0	0	0	0	0	0	0.00511730152437926	0	0.000119185959893924	0	2.04398659144796e-05	3.2364030616373e-05	0	0	1.13809664716728e-05	0	0	0	0	0	3.711539175296e-05	0	0	0.000260181305288527	0	0	0	0	0	0	0	0	0	2.73194186427713e-05	0.00067768261383626	0	0	0	0	0	0	0	0	0.0027431465297438	0	0	0.000215882294330599	4.63027272306339e-05	0.000443117986680395	0	0	0	0	0	0	0	2.31272693633063e-05	0	2.77384815955175e-05	0	0	2.34400637569734e-05	1.56125587422523e-05	7.86552204593465e-05
"tet(43)_ARO:3000573_ACS83748.1"	0	0	0	2.50928435210278e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.52807065798723e-05	2.38521168753727e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38692407977587e-05	0	0	0	0	0
"cphA5_ARO:3003101_AAP69913.1"	0	0	0	2.50928435210278e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05791365453738e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000228236452965272	0	9.93216332449371e-06	0	0	0	0	0	1.13809664716728e-05	0	0	0	0	0	0	4.13458059848054e-05	0	1.36937529099225e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80851448620103e-05	0	0	0	0	0	0	0	1.6606330333123e-05	0	0.000156394583534257	0	0	0	0	0	0	2.91987853305302e-05	0	4.43012038852156e-05	0	0	0	0	1.56125587422523e-05	0
"CMY-104_ARO:3002116_AGR82311.1"	3.39282079120581e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80485867956539e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.783654381472e-05	0	0	1.36937529099225e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3212660666246e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CMY-29_ARO:3002040_ABS12248.1"	0	0	0	0	0	0	0	1.16577290743763e-05	0	0	0	0	0	1.13787649488525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OXA-246_ARO:3001807_AHC31001.1"	3.39282079120581e-05	0	0	0	0	0.00296759078484967	0.00018040048908577	1.16577290743763e-05	0	0	0	7.19942404607631e-05	0.000512673283569847	0	4.13376875697573e-05	6.77667468573171e-05	1.52807065798723e-05	4.77042337507454e-05	0.000608598276449681	0.000127571360229628	0.000432967908418628	2.98044825941822e-05	2.6763729793384e-05	0	2.01930455151246e-05	2.44444987655528e-05	0	0	0	0	0.00014352693522151	2.24024373851875e-05	0	1.47297098247165e-05	0	3.68455312511514e-05	0	0	0	0.0025777071295083	9.93216332449371e-06	2.58237785352753e-05	0	4.85460459245594e-05	0	4.08763897972531e-05	2.27619329433455e-05	0	0.000138309398123603	0.000122581567818252	0	0	0	1.03364514962014e-05	0.000608490228362803	0	7.61846716440652e-05	0	0	0.00010048231511254	1.87825172329596e-05	1.03967395824669e-05	0	0	2.74220528148737e-05	0	1.44187790177928e-05	0	7.0871722182849e-05	0.000107043459644616	0.000144681158896083	0	0	3.01659125188537e-05	0	0	0	1.61773032435493e-05	0	4.63027272306339e-05	1.30328819611881e-05	1.41882209389765e-05	0.000129939740445368	0	0	0	0.000277309669574863	0.000175192711983181	9.25090774532251e-05	0	0	0	0.00163274826520497	0	0	1.12364600656209e-05
"vanRI_ARO:3003728_BAE85478.1"	0	0	0	0	6.44662197008767e-05	0	6.01334963619235e-05	2.33154581487526e-05	2.31123026787159e-05	1.4830414213469e-05	0	7.19942404607631e-05	0	0.000204817769079344	0.000330701500558059	0	6.1122826319489e-05	0	2.43439310579872e-05	0	3.46374326734902e-05	0	0	0	0.000100965227575623	7.33334962966584e-05	0	0	3.80069172589411e-05	1.59296546450873e-05	0	0	0	1.47297098247165e-05	3.21905681635281e-05	0	0.000165394051327287	0.000288777388730462	0	0	6.9525143271456e-05	2.58237785352753e-05	0	1.61820153081865e-05	7.62253220519857e-05	4.08763897972531e-05	5.69048323583639e-05	0	2.30515663539337e-05	0.000265593396939547	5.84612986203134e-05	7.9482831708351e-05	2.783654381472e-05	1.03364514962014e-05	0	1.36937529099225e-05	0	7.4882060754312e-05	0	0	0	1.03967395824669e-05	0.000157397691500525	0	0.000164532316889242	2.73194186427713e-05	4.32563370533783e-05	0	1.77179305457123e-05	0	9.04257243100517e-05	0	0.000278833967046895	0.000211161387631976	0	3.51685452531256e-05	0	1.61773032435493e-05	0	6.94540908459508e-05	0	0	3.24849351113421e-05	3.25309043591412e-05	1.82438472625107e-05	5.22684507631194e-05	2.13315130442202e-05	0	2.31272693633063e-05	0	0	0	2.91562190215173e-05	0	1.56125587422523e-05	3.37093801968628e-05
"lmrP_ARO:3003969_ABF33001.1"	0	3.34526477770716e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98044825941822e-05	0	0	0	0	0	0	3.80069172589411e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23011844331641e-05	0.000808865162177465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12364600656209e-05
"vanHB_ARO:3002943_AAB05626.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73187163367451e-05	0	0	0	0.000928880093695731	0	0	2.87993548944504e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36937529099225e-05	0	0	0	0	0	0	0	0	0	0	1.44187790177928e-05	0	0	0	0	0	0	0	0	0.000351685452531256	0	0	1.6606330333123e-05	0	0	0	0	0	0	0	0	0	0	0	0.000540900391112591	0	0	0	0	0
