ID	alias	R1	R2	SUM
BFH1_S123	BFH1	2287	2102	4389
BFH10_S128	BFH10	2112	2098	4210
BFH11_S129	BFH11	3245	3203	6448
BFH12_S130	BFH12	2170	2088	4258
BFH13_S131	BFH13	3350	3364	6714
BFH14_S132	BFH14	2958	2986	5944
BFH15_S133	BFH15	2501	2469	4970
BFH16_S134	BFH16	2014	1948	3962
BFH17_S135	BFH17	2135	2260	4395
BFH18_S136	BFH18	1914	1844	3758
BFH19_S137	BFH19	4321	4291	8612
BFH20_S138	BFH20	2859	2818	5677
BFH21_S139	BFH21	3313	3269	6582
BFH22_S140	BFH22	2033	2157	4190
BFH23_S141	BFH23	2587	2553	5140
BFH24_S142	BFH24	37	33	70
BFH25_S143	BFH25	2213	2342	4555
BFH26_S144	BFH26	3241	3240	6481
BFH27_S145	BFH27	2781	2817	5598
BFH28_S146	BFH28	3241	3187	6428
BFH29_S147	BFH29	3362	3303	6665
BFH30_S148	BFH30	3320	3342	6662
BFH31_S149	BFH31	3354	3287	6641
BFH32_S150	BFH32	2732	2828	5560
BFH33_S151	BFH33	3054	3001	6055
BFH34_S152	BFH34	2632	2522	5154
BFH35_S153	BFH35	2874	2838	5712
BFH36_S154	BFH36	2542	2543	5085
BFH37_S155	BFH37	3447	3452	6899
BFH38A_S156	BFH38A	2846	2915	5761
BFH38B_S157	BFH38B	2549	2488	5037
BFH39_S158	BFH39	3323	3297	6620
BFH4_S124	BFH4	2514	2547	5061
BFH40_S159	BFH40	2562	2713	5275
BFH41_S160	BFH41	3154	3088	6242
BFH42_S161	BFH42	2489	2416	4905
BFH6_S125	BFH6	2724	2713	5437
BFH8_S126	BFH8	2507	2434	4941
BFH9_S127	BFH9	2965	2995	5960
BH01_S76	BH01	2144	2038	4182
BH02_S77	BH02	3301	3245	6546
BH03_S78	BH03	1902	1853	3755
BH04_S79	BH04	1736	1756	3492
BH05_S80	BH05	3103	3053	6156
BH06_S81	BH06	1790	1739	3529
BH07_S82	BH07	1433	1404	2837
BH09_S83	BH09	2059	1925	3984
BH10_S84	BH10	2136	2057	4193
BH11_S85	BH11	2771	2692	5463
BH13_S86	BH13	2857	2725	5582
BH14_S87	BH14	1611	1634	3245
BH20_S88	BH20	2157	2074	4231
BH22_S89	BH22	1787	1819	3606
BH24_S90	BH24	1863	1886	3749
BH25_S91	BH25	956	916	1872
BH27_S92	BH27	2367	2406	4773
BH29_S93	BH29	2721	2589	5310
BH30_S94	BH30	2476	2323	4799
BH31_S95	BH31	2991	2947	5938
BH32_S96	BH32	3215	3102	6317
BH33_S97	BH33	1006	990	1996
BH34A_S98	BH34A	2089	2134	4223
BH34B_S99	BH34B	2360	2373	4733
BH35_S100	BH35	1762	1734	3496
BH36_S101	BH36	2290	2256	4546
BH37_S102	BH37	1336	1343	2679
BH38_S103	BH38	2393	2306	4699
BH39_S104	BH39	1728	1575	3303
BH44_S105	BH44	2202	2226	4428
BH45_S106	BH45	2198	2233	4431
BH46_S107	BH46	2172	2100	4272
BH47_S108	BH47	3090	3045	6135
BH48_S109	BH48	3072	2936	6008
BH49_S110	BH49	2649	2559	5208
BH50_S111	BH50	2642	2863	5505
BH52_S112	BH52	2639	2503	5142
BH58_S113	BH58	3070	3089	6159
BH59_S114	BH59	2663	2623	5286
BH60_S115	BH60	2852	2877	5729
BH61_S116	BH61	2537	2478	5015
BH62_S117	BH62	1711	1686	3397
BH63_S118	BH63	31	32	63
BSE100_S122	BSE100	3535	3580	7115
BSE74_S119	BSE74	3527	3649	7176
BSE79_S120	BSE79	2607	2518	5125
BSE93_S121	BSE93	3330	3243	6573
FH1_S162	FH1	1916	1967	3883
FH10_S171	FH10	30	27	57
FH2_S163	FH2	3017	3048	6065
FH3_S164	FH3	2627	2612	5239
FH4_S165	FH4	2504	2420	4924
FH5_S166	FH5	3002	2930	5932
FH6_S167	FH6	2247	2222	4469
FH7_S168	FH7	2501	2377	4878
FH8_S169	FH8	2586	2564	5150
FH9_S170	FH9	2213	2055	4268
