"BFH1_S123"	"BFH10_S128"	"BFH11_S129"	"BFH12_S130"	"BFH13_S131"	"BFH14_S132"	"BFH15_S133"	"BFH16_S134"	"BFH17_S135"	"BFH18_S136"	"BFH19_S137"	"BFH20_S138"	"BFH21_S139"	"BFH22_S140"	"BFH23_S141"	"BFH25_S143"	"BFH28_S146"	"BFH29_S147"	"BFH30_S148"	"BFH31_S149"	"BFH32_S150"	"BFH33_S151"	"BFH34_S152"	"BFH35_S153"	"BFH36_S154"	"BFH37_S155"	"BFH38A_S156"	"BFH39_S158"	"BFH4_S124"	"BFH40_S159"	"BFH41_S160"	"BFH6_S125"	"BFH8_S126"	"BFH9_S127"	"BH01_S76"	"BH02_S77"	"BH03_S78"	"BH05_S80"	"BH06_S81"	"BH07_S82"	"BH09_S83"	"BH27_S92"	"BH29_S93"	"BH30_S94"	"BH34A_S98"	"BH35_S100"	"BH36_S101"	"BH37_S102"	"BH38_S103"	"BH39_S104"	"BH44_S105"	"BH46_S107"	"BH47_S108"	"BH48_S109"	"BH49_S110"	"BH50_S111"	"BH58_S113"	"BH60_S115"	"BH61_S116"	"FH1_S162"	"FH2_S163"	"FH3_S164"	"FH4_S165"	"FH5_S166"	"FH6_S167"	"FH7_S168"	"FH9_S170"
"CGB-1_ARO:3000841_ABS29619.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45089447644473e-05	0.000130401898651644	1.20189418523593e-05	1.48533234311177e-05	0	0
"TUS-1_ARO:3000844_AAN63648.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65620497192733e-05	0	0	0	0	0	0	0	0	0.000124945336415318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07000765902834e-05	0	0	0	0	0	0	0
"farA_ARO:3003961_AAF40763.1"	0	0	5.32821824381927e-05	0.000106655290102389	0	2.83832879200727e-05	0	0	0	0	0	7.04585087456624e-05	0.000137211855104281	0	3.35469153611325e-05	4.32245515452777e-05	1.8418580664174e-05	3.31240994385465e-05	2.25807544230053e-05	7.98940832724617e-05	1.54688611824398e-05	3.51926799225761e-05	0	1.34260626728606e-05	2.99931015866351e-05	3.3258686060176e-05	0	0	0	1.14402077541728e-05	9.97904400758407e-06	0	0	0	0.00019343606937907	5.69249160357488e-05	4.03307118370639e-05	0	0	0	3.35514175473914e-05	0	3.31488049855803e-05	3.47312668229574e-05	0	0	4.11294137002077e-05	0	0	0	0	0	0	0	1.63156091432674e-05	2.20084952791778e-05	0.000113425838405989	3.68039453829451e-05	1.87532818243193e-05	2.07000765902834e-05	1.39580977904331e-05	0	0	0	1.48533234311177e-05	1.66245511371193e-05	1.76497581983127e-05
"lmrD_ARO:3002882_AYV52072.1"	2.87125301481567e-05	0	0	0	0	0	0	4.67814371257485e-05	0	0	0	1.76146271864156e-05	0	2.06308926987271e-05	0	0	0	0	7.90326404805185e-05	0.000673392987582177	3.09377223648795e-05	0.000199425186227931	0	0	0	0	0	3.72512316188454e-05	0	1.14402077541728e-05	0.000119748528091009	0	2.55356094073185e-05	0	0	0	0	0	3.01868566426178e-05	0	0	0	0	0	0	2.46202329074033e-05	0	0	0	0	0	0	0	0	1.63156091432674e-05	2.20084952791778e-05	0	0	0	0.000103500382951417	2.79161955808662e-05	0.000681920403929022	0.000443366455415591	0.00512006922910507	0.000178239881173413	0.000216119164782551	0.00275336227893678
"tet(43)_ARO:3000573_ACS83748.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54688611824398e-05	0	0	0	0	0	0	0	0	0	0	2.45688172571372e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39580977904331e-05	0	0	0	0	0	0
"cphA5_ARO:3003101_AAP69913.1"	0	0	0	0	0	0	0	0	0	0	4.18528245424963e-05	0	0	0	0	0	1.8418580664174e-05	0	0	0	0	0	0	0	0	4.43449147469014e-05	0	0	0	1.14402077541728e-05	9.97904400758407e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63156091432674e-05	0	0	0	0	6.21002297708502e-05	0	0	0.000156482278381973	0.000228359895194827	0	1.66245511371193e-05	0
"CMY-104_ARO:3002116_AGR82311.1"	0	0	0	3.5551763367463e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.79384237141341e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87532818243193e-05	0	0	0	0	0	0	3.32491022742386e-05	0
"CMY-29_ARO:3002040_ABS12248.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14134404674945e-05	0	1.17308933075254e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OXA-246_ARO:3001807_AHC31001.1"	0	0	0	3.5551763367463e-05	0.000123530501739721	2.83832879200727e-05	7.70475383311503e-05	4.67814371257485e-05	0.00016674077367719	2.67651624645362e-05	1.04632061356241e-05	0.00044036567966039	3.43029637760703e-05	0.000515772317468177	0.000100640746083398	0.00259347309271666	0.000147348645313392	1.65620497192733e-05	1.12903772115026e-05	0	1.54688611824398e-05	1.17308933075254e-05	0.000108721256817729	0	1.49965507933175e-05	0	1.04121113679432e-05	0	0	2.28804155083456e-05	9.97904400758407e-06	4.91376345142745e-05	0.000638390235182963	0	0	1.42312290089372e-05	0	2.75315235945157e-05	0	0	0	0.000278617201397372	0.000132595219942321	6.94625336459147e-05	0	9.84809316296132e-05	0.000185082361650935	0.000636298985664558	4.1743195859075e-05	0	3.61141206211629e-05	0.00170924518511736	0	7.43370068204204e-05	0	4.40169905583555e-05	1.89043064009981e-05	0	0	2.07000765902834e-05	0	1.45089447644473e-05	1.30401898651644e-05	0	0	0	0
"vanRI_ARO:3003728_BAE85478.1"	2.87125301481567e-05	8.18509221870566e-05	0.00029305200341006	0	0.000267649420436063	0	7.70475383311503e-05	7.01721556886228e-05	0	2.67651624645362e-05	1.04632061356241e-05	3.52292543728312e-05	0	0	0	0	9.20929033208701e-05	1.65620497192733e-05	3.38711316345079e-05	0.000205441928414901	6.1875444729759e-05	2.34617866150507e-05	0	0	1.49965507933175e-05	0	1.04121113679432e-05	2.79384237141341e-05	5.92873658623347e-05	5.72010387708641e-05	6.98533080530885e-05	0	2.55356094073185e-05	2.46590881069218e-05	0	0	8.06614236741279e-05	0.000165189141567094	0	0	0	2.14320924151825e-05	3.31488049855803e-05	0	0	2.46202329074033e-05	6.16941205503116e-05	0	4.1743195859075e-05	3.38914119162204e-05	0.00025279884434814	3.05222354485242e-05	7.04175762270263e-05	1.85842517051051e-05	1.63156091432674e-05	0.000352135924466844	0	1.84019726914725e-05	0.000300052509189108	0.000103500382951417	0	4.35268342933418e-05	0	0	1.48533234311177e-05	0	3.52995163966254e-05
