"AHMA1"	"AHMA2"	"AHMA3"	"AHMA4"	"AHMA5"	"ASMA1"	"ASMA2"	"ASMA3"	"BFH1_S123"	"BFH10_S128"	"BFH11_S129"	"BFH12_S130"	"BFH13_S131"	"BFH14_S132"	"BFH15_S133"	"BFH16_S134"	"BFH17_S135"	"BFH18_S136"	"BFH19_S137"	"BFH20_S138"	"BFH21_S139"	"BFH22_S140"	"BFH23_S141"	"BFH24_S142"	"BFH25_S143"	"BFH26_S144"	"BFH27_S145"	"BFH28_S146"	"BFH29_S147"	"BFH30_S148"	"BFH31_S149"	"BFH32_S150"	"BFH33_S151"	"BFH34_S152"	"BFH35_S153"	"BFH36_S154"	"BFH37_S155"	"BFH38A_S156"	"BFH38B_S157"	"BFH39_S158"	"BFH4_S124"	"BFH40_S159"	"BFH41_S160"	"BFH42_S161"	"BFH6_S125"	"BFH8_S126"	"BFH9_S127"	"BH01_S76"	"BH02_S77"	"BH03_S78"	"BH04_S79"	"BH05_S80"	"BH06_S81"	"BH07_S82"	"BH09_S83"	"BH10_S84"	"BH11_S85"	"BH13_S86"	"BH14_S87"	"BH20_S88"	"BH22_S89"	"BH24_S90"	"BH25_S91"	"BH27_S92"	"BH29_S93"	"BH30_S94"	"BH31_S95"	"BH32_S96"	"BH33_S97"	"BH34A_S98"	"BH34B_S99"	"BH35_S100"	"BH36_S101"	"BH37_S102"	"BH38_S103"	"BH39_S104"	"BH44_S105"	"BH45_S106"	"BH46_S107"	"BH47_S108"	"BH48_S109"	"BH49_S110"	"BH50_S111"	"BH52_S112"	"BH58_S113"	"BH59_S114"	"BH60_S115"	"BH61_S116"	"BH62_S117"	"BH63_S118"	"BSE100_S122"	"BSE74_S119"	"BSE79_S120"	"BSE93_S121"	"CP1"	"CP3"	"CP4"	"CP5"	"CP6"	"CP7"	"CP8"	"DEU27"	"DEU27_1"	"DEU27_2"	"ESP75"	"ESP75_1"	"ESP75_2"	"FH1_S162"	"FH10_S171"	"FH2_S163"	"FH3_S164"	"FH4_S165"	"FH5_S166"	"FH6_S167"	"FH7_S168"	"FH8_S169"	"FH9_S170"	"FIN25"	"FIN25_1"	"FIN25_2"	"IRL69"	"IRL69_1"	"IRL69_2"	"JTH"	"Seafield"	"SWE41"	"SWE41a"	"SWE41a_1"	"SWE41a_2"	"SWESTP30"	"SWESTP31"	"SWESTP33"	"SWESTP35"	"SWESTP37"	"SWESTP49"	"SWESTP53"	"SWESTP57"
"aac(6')-Ib_2_M23634"	0.0382852695749924	0.0428131679432215	0.0335510235121665	0.0508537112642218	0.0180477914894116	0.0010408577208325	0.000656569984604713	0.00074651806109731	0.000364829178450175	0.000901350639265607	0.00101552674449031	0.000180692130646512	0.000313922397160348	7.21291475196566e-05	0.00058739212391075	5.94417600442679e-05	0.000423730678981638	0.000408102477182036	0.00438729484993742	0.000940028124106734	8.71725482098155e-05	0.00146799355308434	0.00119351731878881	0.00364598870217007	0.00252642510847151	0.00187217590167274	0.000232886191844991	0.00131057623471812	0.00206233048154515	0.00192234508363505	0.00211732504514148	0.000471723687543707	0.00250413920505195	0.000828865027224269	0.00600495053935994	0.00144818176967812	0.00149316499242661	0.00166696872098655	0.001906417198359	0.00224829009316711	5.02214210275003e-05	0.000610521978168232	0.00121724576409342	7.10323715734722e-05	0.000312178041056034	0.000129784945502543	0.000125330018761253	0.000573498577532007	0.00191675397971857	0.000204981175673526	0.000418520112880853	0.00181907954574985	0.000230137421928868	0.000132047499371917	0.00179051624337069	0.00318395899013563	0.000113565452268514	0.0012056074080121	0.000296823468482455	4.14668449417881e-05	0	0	0	0.00174286058452177	0.00172691051715308	0.00207413291472414	0.000348212404139838	0.000910365205416224	0.00048583752079006	0.000139181976910072	0.000127582605387581	0.00150159044266935	0.00459889285862388	0.00237793738575864	0.00222768144238034	0.000344506761392604	0.00137662737021264	0.00140383544860747	0.000232694270251125	0.000536846868265448	0.00491163985658355	0.00215602967028523	0.00223716717689332	0.000420859375715239	0.0123944868304366	0.00855303364254943	0.0127198322128779	9.53137096021507e-05	0	0	0	0	9.96765689512666e-05	0.000130150527536429	0.00112081187536572	0.0205857701403312	0.000256708836927424	0.00633924490924492	0.000734613498262503	0.0017660085021946	0.00574396267352918	0.000193324771807725	0	0.000430283461803681	0	0.000508905131680383	0.000316076383757779	0.00894270635534025	0	0.00205732226838529	0.000479321904594446	0.00102729152502137	0	0.000415206763899561	0.000760449764886051	0.000522605043613766	0.000269115125003976	6.37241185940606e-05	0	0	0.000111590661108003	0.000112841816363426	0	0.0215816237832343	0	0	7.23869974338809e-05	0	0	9.46551494706226e-05	0	0	8.88410608614918e-05	4.99548686955739e-05	0	0	0
"aac(6')-Ib11_1_AY136758"	0.0322761051099364	0.0376580799439998	0.0280344185442203	0.0486990206832488	0.0195676055095725	0	0.00104705634386962	0.000907047508821994	7.7574204259932e-05	0.00095827804806133	0.000791754535528933	0.00057631279564098	0.000166874537437869	0.000306738690504645	0.00041632704922797	0.000189587929404349	0.00045049261660153	0.000433877370477744	0.0023745970977269	0.000809036736386597	0.000185356365667187	0.00128201091120862	0.0010876263085504	0	0.00233564243437641	0.00111463441051168	0.000247594793435201	0.00069667473529753	0.00183461020925423	0.000945618610661642	0.00166516089346815	0.000501516762546468	0.00180655756935891	0.000685388975728138	0.00286563997329862	0.00133706089704631	0.00113818614517047	0.0012658935399973	0.0009635713501283	0.00118256322130352	0	0.000865441681333214	0.00102451518477863	0	0	0	6.66227994467712e-05	0.00087102791474786	0.00123037713256215	0	0	0.00185958536559448	0	0.000140387341437512	0.000634533826598033	0.0012895432902404	0.000241476014297262	0.000662974672645493	0	0	0	0	0	0.00150551049176124	0.00201509840833396	0.00121985958209756	0.000185102383253283	0.000580717173139191	0	0.000517903461449582	0.000203460681223354	0.00159642773378531	0.00355589036341445	0.00141574882672114	0.00242476704367364	0.000366265083164768	0.00107328632161842	0.000912082563393507	8.24635834925041e-05	0.000761003981681547	0.00426785710210221	0.00255668457662569	0.00214061575136424	0.000335579975899256	0.00929561227731888	0.00791447382089321	0.0111864623466583	0.000202667045680362	7.22452171555181e-05	0.00415016034710432	0	0	0	0	0.0011474666607058	0.0193278290258093	0.000223299839968448	0.00555027387100453	0.000540699327870944	0.00122893912229274	0.0062729090393121	0.000205534757395581	0	0	0	7.72923583454416e-05	0.000168019551365977	0.00665525620339532	0	0.0013953200212261	0.000431195656683749	0.00109217309502272	0	0.000321040253809421	0.00053898544739292	0.000185203892649089	0.000238426558117557	6.77487997684223e-05	0	0	0.000197730820559794	0.000179953001884832	0	0.0185996690510239	3.81345187720883e-05	0	0	0	0	0	5.92945108299114e-05	0.000108761901129782	4.72260376158456e-05	0	0	0	0
"aac(6')-30-aac(6')-Ib'_1_AJ584652"	0.0540210509549913	0.0562039502650398	0.0497772838527556	0.0764160164976511	0.0309939276337919	0.000319533829191739	0.00112874159055449	0.00124408871840707	0.000492796616727228	0.00123453636773858	0.00149643576209392	0.000499237528138842	0.000385485253655868	0.00062000373612641	0.00100180014378564	0.000401457722852168	0.000607046788328304	0.000960508667167042	0.00274269573597635	0.0019513508982398	0.000481701193451199	0.00347652489731741	0.00162262384938244	0	0.00445120913785413	0.00262081864217142	0	0.00218410403336872	0.00410879786652609	0.00169115437380805	0.00256438151780302	0.00132746964757107	0.00274552822091019	0.00223354071334767	0.00571893137682273	0.00294825807085647	0.00207571941368475	0.0022906645009475	0.00241776523656551	0.0024847364069166	0.000123340146474834	0.00105314820318555	0.00151030353987123	0.000261675484337533	0.000651683521572293	0.000239056768919578	7.69503458655716e-05	0.00206240348203217	0.00341953219023257	0.000755128221630133	0.000128481858361599	0.00408091378103105	9.42001200195166e-05	0.000243224269359823	0.000942295131118226	0.00232725327835938	0	0.00127624303751412	0	0	0	7.39821568488982e-05	7.80141843971631e-05	0.00421345816843162	0.00380153316749527	0.00352239089055525	0.000926449618309236	0.00115515844302257	0.000795454340016958	0.000470003575523068	0.000705000536761772	0.00407194206667124	0.00744413218176809	0.00332882322913373	0.00442892347554441	0.000740323040439425	0.00304280675871925	0.00277732794932204	0.000285740076539376	0.00120858535084683	0.00695920914914574	0.0038440037995698	0.00295319667150385	0.000516799962884366	0.0228889587856624	0.0200007278885794	0.0251519728872382	0.00032186483698477	0.000458943780714386	0	0	6.46991079757531e-05	0	0.000279685176195304	0.00259970819318195	0.0417166834117506	0.000845387100995036	0.0132792049627594	0.00142250853229134	0.00333174900513509	0.0124993511504158	0.000118697884210214	0	0	0	0.000357095394179548	0.000339613986803571	0.0132421766556281	0.00273254586329818	0.00633757035846474	0.00110926542241661	0.00187186838915552	1.87529589185748e-05	0.000741612744362189	0.0016082189894348	0.00104817522222676	0.000798620264576134	0.000117376340024318	0	4.13572159976479e-05	0.000388249574716191	0.000311772678037552	0.000180254585021172	0.0203383196633972	0	1.92542041554773e-05	0	0	7.54452728564026e-05	0.000116233071082467	6.84860611409311e-05	9.42162365409965e-05	2.72733955836191e-05	0	0	0	0
"aac(6')-Iaj_1_AB709942"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-Ian_1_AP014611"	0	0	0	7.96777170864673e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000144336031526738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.76010860722182e-05	0	0	0	0	0.000171272564048154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.99199268480302e-05	4.46802945046487e-05	3.68468477521748e-05	0	0	0	0	0	0	0	0.000151658103154001	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-Iak_1_AB894482"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.04006982320716e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34672995505481e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-Ib-Hangzhou_1_FJ503047"	0.0761710040302564	0.0634404728526312	0.0553043411139358	0.0850649440041576	0.0360955829788231	0.000607668380370417	0.00183991403778246	0.00211688110801665	0.000766773926499906	0.00178105924450705	0.00213436719246633	0.00168785250361135	0.00024436348449476	0.0010106419282523	0.00137171339919042	0.000902277814313569	0.000494760677192432	0.00150895694356903	0.00273212658092442	0.00209067636740501	0.000101785287505102	0.00440761730719626	0.00209038004389022	0.00425716599906564	0.00506618395086559	0.00266693080467185	0	0.00316984128116382	0.00427549792174996	0.00231159052503713	0.00325118119212792	0.0014228967877643	0.00351565153189306	0.0023657522035868	0.00613511565220734	0.00373786861391822	0.00286191313959049	0.00312042351092463	0.00295582281811332	0.00248700419189401	0.000117280081474625	0.00132388993779503	0.00239843150193842	0.000248818596378752	0.000583213542597169	0.000227311205128731	7.31695485253556e-05	0.00153059240510607	0.00422275388704495	0.000957368728001209	0.000244338331797492	0.00449310221282366	0.000179143580846364	0.000616730517297739	0.0010951079253426	0.00256697381836148	0.000265204871193524	0.0025726994040617	0.000693160007323191	4.84179345563075e-05	9.55649753248441e-05	7.0347195385224e-05	0	0.00445159838604369	0.00472130956557629	0.00432835903296509	0.00142304144350789	0.00127556373290689	0.000756371323310922	0.000650052238978831	0.00104278499432393	0.00467547236098973	0.0106175700338224	0.00510885414762295	0.00532607789939874	0.00070394878700743	0.00450069618839463	0.00309619199134107	0.000543401648447715	0.00153227198623741	0.00893333162888173	0.00547060174009901	0.00463662596112774	0.000491408057193516	0.0250738852414626	0.0242271864963758	0.0277384032292732	0.000500810185135	0.000238033374443037	0	0.000100919825227833	0	0	0.000227951501985768	0.00285973794275501	0.056992075630823	0.000544983552909507	0.0164147860189948	0.000989719386276294	0.00329927137519824	0.0170179942432358	0.000225731814480696	0	0	0.000418511241375	0.000763988050697718	0.000184530143118703	0.0170139473446688	0	0.00497005100514844	0.00193732152635105	0.00197336514838153	3.56631415272319e-05	0.000925542350216468	0.00152920244949147	0.000691570604920876	0.000680824969422389	0.000223218588832374	0.000395421735254364	7.86504281111339e-05	0.000173728813439819	0.000395272489689227	0	0.0264551343178118	4.18818414259929e-05	0	0	6.21100326819765e-05	0	0.000386827691767227	6.51211390617524e-05	0	0	5.83288062225776e-05	0	0	0
"aac(6')-Ib-Suzhou_1_EU085533"	0.0246190608408848	0.0335903637439669	0.0226787585862902	0.0384419653876079	0.0164829540770348	0.000607668380370417	0.000613304679260818	0.000996179344949011	0.000340788411777736	0.000161914476773368	0.000869557004338135	0.000316472344427127	6.109087112369e-05	8.42201606876915e-05	0.000152412599910047	0.000208217957149285	0.000329840451461622	0.000317675146014533	0.00260793900906422	0.000522669091851253	0.000305355862515307	0.00104068741975467	0.000796335254815324	0.00425716599906564	0.00134670712617946	0.00126788513664727	0	0.000983743845878427	0.00186745886237355	0.00137355379023945	0.0013546588300533	0.000642598549312911	0.00142714567136253	0.00043013676428851	0.00354561878601593	0.00102346402523951	0.000756597726558404	0.00074148677487318	0.000693341154866088	0.00135403561558674	0	0.000305513062568083	0.000769866901856775	0	0.000291606771298585	0	7.31695485253556e-05	0.000669634177233904	0.00139350878272483	0.000119671091000151	0	0.00147046981510593	8.95717904231819e-05	0.00030836525864887	0.00119466319128284	0.00203587578697635	0	0.000922288465607025	0	0	4.77824876624221e-05	0	0	0.00203501640504854	0.00127868800734358	0.00149431442804747	0.000135527756524561	0.000779511170109768	0.000189092830827731	0.000487539179234123	0.000372423212258547	0.00138803085716883	0.00231877966255892	0.000999558420187099	0.00142441618239734	0.000201128224859266	0.00064295659834209	0.000637451292334926	9.05669414079525e-05	0.000348243633235775	0.00386008156803532	0.00179125897684658	0.000848959683023389	0.000245704028596758	0.00594593251810971	0.00622632528278361	0.00742602921098652	5.56455761261111e-05	0.000238033374443037	0	0	0	0	7.59838339952561e-05	0.000484701346229662	0.0105243582542052	8.17475329364261e-05	0.00291721661345531	0.000395887754510518	0.000787326123626854	0.00305685151286005	0	0	0	0	8.48875611886353e-05	0	0.005835108295103	0	0.00103542729273926	0.000430515894744678	0.00046432121138389	0	0.00013222033574521	0.000838594891656615	0.0001627224952755	0.000418969211952239	0	0	0	0	6.58787482815379e-05	0	0.0154042554255613	0	3.66163766887402e-05	0	0	0	5.52610988238895e-05	6.51211390617524e-05	0.000119449486789934	5.18667465145125e-05	0	0	0	0
"aac(6')-Iid_1_AJ584700"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.16706391725211e-05	0	0	0	0	0	0	0	0	0	0	0	6.41818577101134e-05	2.79922181633506e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.04144434106324e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46154817877161e-05	0	5.87160418250379e-05	0	0	0	0	0	0	0	0	0
"aac(6')-Iih_1_AJ584701"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.27601766346512e-05	3.82486300036162e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
