"AHMA1"	"AHMA2"	"AHMA3"	"AHMA4"	"AHMA5"	"ASMA1"	"ASMA2"	"ASMA3"	"BFH1_S123"	"BFH10_S128"	"BFH11_S129"	"BFH12_S130"	"BFH13_S131"	"BFH14_S132"	"BFH15_S133"	"BFH16_S134"	"BFH17_S135"	"BFH18_S136"	"BFH19_S137"	"BFH20_S138"	"BFH21_S139"	"BFH22_S140"	"BFH23_S141"	"BFH24_S142"	"BFH25_S143"	"BFH26_S144"	"BFH27_S145"	"BFH28_S146"	"BFH29_S147"	"BFH30_S148"	"BFH31_S149"	"BFH32_S150"	"BFH33_S151"	"BFH34_S152"	"BFH35_S153"	"BFH36_S154"	"BFH37_S155"	"BFH38A_S156"	"BFH38B_S157"	"BFH39_S158"	"BFH4_S124"	"BFH40_S159"	"BFH41_S160"	"BFH42_S161"	"BFH6_S125"	"BFH8_S126"	"BFH9_S127"	"BH01_S76"	"BH02_S77"	"BH03_S78"	"BH04_S79"	"BH05_S80"	"BH06_S81"	"BH07_S82"	"BH09_S83"	"BH10_S84"	"BH11_S85"	"BH13_S86"	"BH14_S87"	"BH20_S88"	"BH22_S89"	"BH24_S90"	"BH25_S91"	"BH27_S92"	"BH29_S93"	"BH30_S94"	"BH31_S95"	"BH32_S96"	"BH33_S97"	"BH34A_S98"	"BH34B_S99"	"BH35_S100"	"BH36_S101"	"BH37_S102"	"BH38_S103"	"BH39_S104"	"BH44_S105"	"BH45_S106"	"BH46_S107"	"BH47_S108"	"BH48_S109"	"BH49_S110"	"BH50_S111"	"BH52_S112"	"BH58_S113"	"BH59_S114"	"BH60_S115"	"BH61_S116"	"BH62_S117"	"BH63_S118"	"BSE100_S122"	"BSE74_S119"	"BSE79_S120"	"BSE93_S121"	"CP1"	"CP3"	"CP4"	"CP5"	"CP6"	"CP7"	"CP8"	"DEU27"	"DEU27_1"	"DEU27_2"	"ESP75"	"ESP75_1"	"ESP75_2"	"FH1_S162"	"FH10_S171"	"FH2_S163"	"FH3_S164"	"FH4_S165"	"FH5_S166"	"FH6_S167"	"FH7_S168"	"FH8_S169"	"FH9_S170"	"FIN25"	"FIN25_1"	"FIN25_2"	"IRL69"	"IRL69_1"	"IRL69_2"	"JTH"	"Seafield"	"SWE41"	"SWE41a"	"SWE41a_1"	"SWE41a_2"	"SWESTP30"	"SWESTP31"	"SWESTP33"	"SWESTP35"	"SWESTP37"	"SWESTP49"	"SWESTP53"	"SWESTP57"
"aac(6')-Ib_2_M23634"	NA	NA	NA	NA	NA	NA	NA	NA	0.00113921166552745	0.00308788598574822	0.00232630272952854	0.000469704086425552	0.000893655049151028	0.000168236877523553	0.00181086519114688	0.000252397778899546	0.00068259385665529	0.00159659393294305	0.0191593125870878	0.00369913686806412	0.000151929504709815	0.00668257756563246	0.00544747081712062	0.0142857142857143	0.0100987925356751	0.00771485881808363	0.000178635226866738	0.00435594275046671	0.00735183795948987	0.0100570399279496	0.0109923204336696	0.00215827338129496	0.0138728323699422	0.00349243306169965	0.030812324929972	0.00747295968534907	0.00768227279315843	0.0109356014580802	0.0121103831645821	0.0143504531722054	0.000197589409207666	0.00398104265402844	0.00768984299903877	0.000203873598369011	0.000919624793084422	0.000404776361060514	0.000335570469798658	0.00167384026781444	0.00809654750992973	0.000532623169107856	0.000572737686139748	0.00422352176738142	0.000850099178237461	0.000704970038773352	0.0052710843373494	0.010016694490818	0.000183049606443346	0.00519527051236116	0.00061633281972265	0.000236350744504845	0	0	0	0.00670437879740205	0.00772128060263653	0.00979370702229631	0.00101044122600202	0.00237454487889821	0.00150300601202405	0.000473596968979399	0.00042256496936404	0.0068649885583524	0.0193576770787506	0.00933184023889511	0.00893807193019791	0.00121102028458977	0.00338753387533875	0.004062288422478	0.000702247191011236	0.00146699266503667	0.0173102529960053	0.00998463901689708	0.0072661217075386	0.000777907429015947	0.0418899171943497	0.0306469920544835	0.0474777448071217	0.000398803589232303	0	0	0	0	0.000195121951219512	0.000304275064658451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0437805820242081	0	0.00956306677658697	0.00248138957816377	0.00629569455727051	0	0.0024614007607966	0.003690036900369	0.0029126213592233	0.0014058106841612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"aac(6')-Ib11_1_AY136758"	NA	NA	NA	NA	NA	NA	NA	NA	0.000227842333105491	0.00308788598574822	0.00170595533498759	0.00140911225927666	0.000446827524575514	0.000672947510094213	0.00120724346076459	0.000757193336698637	0.00068259385665529	0.00159659393294305	0.00975383186251742	0.00299453936938524	0.000303859009419629	0.00548926014319809	0.0046692607003891	0	0.00878155872667398	0.00432032093812683	0.000178635226866738	0.00217797137523335	0.00615153788447112	0.00465325728009607	0.00813130552627616	0.00215827338129496	0.00941370767960363	0.0027163368257664	0.0138305322128852	0.00648967551622419	0.00550804464415133	0.00781114389862871	0.00575739527496526	0.00709969788519637	0	0.00530805687203791	0.00608779237423903	0	0	0	0.000167785234899329	0.00239120038259206	0.00488848151542927	0	0	0.00406107862248213	0	0.000704970038773352	0.0017570281124498	0.00381588361554973	0.000366099212886692	0.00268720888570405	0	0	0	0	0	0.00544730777288917	0.00847457627118644	0.00541779537403626	0.00050522061300101	0.00142472692733893	0	0.00165758939142789	0.00063384745404606	0.0068649885583524	0.0140783106027277	0.00522583053378126	0.0091508831666312	0.00121102028458977	0.00248419150858175	0.00248250959151433	0.000234082397003745	0.0019559902200489	0.0141478029294274	0.011136712749616	0.00653950953678474	0.00058343057176196	0.0295502516642312	0.0266742338251986	0.0392738697853028	0.000797607178464606	0.000294377391816309	0.0158730158730159	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0306464074169457	0	0.00610057708161583	0.00209963733536935	0.00629569455727051	0	0.00179010964421571	0.002460024600246	0.000970873786407767	0.00117150890346767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"aac(6')-30-aac(6')-Ib'_1_AJ584652"	NA	NA	NA	NA	NA	NA	NA	NA	0.0025062656641604	0.00688836104513064	0.00558312655086849	0.00211366838891498	0.00178731009830206	0.00235531628532974	0.00503018108651911	0.002776375567895	0.00159271899886234	0.00612027674294838	0.0195076637250348	0.0125066056015501	0.00136736554238833	0.0257756563245823	0.0120622568093385	0	0.0289791437980241	0.0175898781052307	0	0.0118232731798382	0.0238559639909978	0.0144100870609427	0.0216834814034031	0.00989208633093525	0.0247729149463254	0.0153279006596818	0.0477941176470588	0.0247787610619469	0.0173938251920568	0.0244749175490366	0.0250148898153663	0.0258308157099698	0.000790357636830666	0.0111848341232227	0.0155398910605575	0.00122324159021407	0.00312672429648703	0.00121432908318154	0.000335570469798658	0.00980392156862745	0.0235258172930034	0.00319573901464714	0.000286368843069874	0.0154320987654321	0.000566732785491641	0.00211491011632006	0.00451807228915663	0.0119246362985929	0	0.00895736295234683	0	0	0	0.000533475593491598	0.00106837606837607	0.0263984915147706	0.027683615819209	0.0270889768701813	0.00437857864600876	0.00490739274972297	0.00400801603206413	0.00260478332938669	0.00380308472427636	0.0303203661327231	0.0510338759348878	0.0212765957446809	0.0289423281549266	0.00423857099606418	0.0121951219512195	0.0130895960279847	0.00140449438202247	0.00537897310513447	0.0399467376830892	0.0289938556067588	0.015622161671208	0.00155581485803189	0.125994479623315	0.116723420355656	0.152906266364112	0.00219341974077767	0.00323815130997939	0	0	0.000139353400222965	0	0.00106496272630458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.105588462528972	0.0175438596491228	0.0479802143446002	0.00935292994846345	0.0186839967506093	0.00016857720836143	0.00716043857686283	0.012710127101271	0.00951456310679612	0.00679475164011246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"aac(6')-Iaj_1_AB709942"	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"aac(6')-Ian_1_AP014611"	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000700280112044818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000209511837418814	0	0	0	0	0.000501002004008016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0.000223763705526964	0.0002050020500205	0.000194174757281553	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"aac(6')-Iak_1_AB894482"	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000194024058983314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0.000203086921202275	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"aac(6')-Ib-Hangzhou_1_FJ503047"	NA	NA	NA	NA	NA	NA	NA	NA	0.00205058099794942	0.00522565320665083	0.00418734491315136	0.00375763269140442	0.000595770032767352	0.00201884253028264	0.00362173038229376	0.00328117112569409	0.00068259385665529	0.00505588078765301	0.0102183000464468	0.0070459749867888	0.000151929504709815	0.0171837708830549	0.00817120622568093	0.0142857142857143	0.0173435784851811	0.00941212775806203	0	0.00902302426882389	0.013053263315829	0.0103572500750525	0.0144556542689354	0.00557553956834532	0.0166804293971924	0.00853705859526581	0.0269607843137255	0.0165191740412979	0.0126105232642412	0.0175316785280333	0.0160810005955926	0.013595166163142	0.000395178818415333	0.00739336492890995	0.0129766100608779	0.000611620795107034	0.00147139966893507	0.000607164541590771	0.000167785234899329	0.0038259206121473	0.0152765047357165	0.00213049267643142	0.000286368843069874	0.00893437296946069	0.000566732785491641	0.00281988015509341	0.00276104417670683	0.00691628905318388	0.000366099212886692	0.00949480472948764	0.0012326656394453	0.000236350744504845	0.000554631170271769	0.000266737796745799	0	0.014665828619317	0.0180790960451977	0.0175036465930402	0.00353654429100707	0.00284945385467785	0.00200400801603206	0.00189438787591759	0.00295795478554828	0.0183066361556064	0.0382754069511659	0.017170586039567	0.0183017663332624	0.00211928549803209	0.00948509485094851	0.00767321146468066	0.00140449438202247	0.00358598207008965	0.0269640479360852	0.0216973886328725	0.012897366030881	0.000777907429015947	0.0725767169995129	0.0743473325766175	0.0886716704485949	0.00179461615154536	0.000883132175448925	0	0.000140548137737175	0	0	0.000456412596987677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0713365954159155	0	0.0197856553998351	0.00858942546287459	0.010357432981316	0.00016857720836143	0.00469903781606623	0.00635506355063551	0.00330097087378641	0.00304592314901593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"aac(6')-Ib-Suzhou_1_EU085533"	NA	NA	NA	NA	NA	NA	NA	NA	0.000911369332421964	0.000475059382422803	0.00170595533498759	0.000704556129638328	0.000148942508191838	0.000168236877523553	0.000402414486921529	0.000757193336698637	0.000455062571103527	0.00106439595529537	0.00975383186251742	0.0017614937466972	0.000455788514129444	0.00405727923627685	0.00311284046692607	0.0142857142857143	0.00461031833150384	0.00447461811448851	0	0.00280024891101431	0.00570142535633908	0.00615430801561093	0.00602318927872308	0.00251798561151079	0.00677126341866226	0.00155219247186651	0.0155812324929972	0.00452310717797443	0.00333381649514422	0.00416594341260198	0.00377208655946	0.00740181268882175	0	0.00170616113744076	0.00416533162447933	0	0.000735699834467537	0	0.000167785234899329	0.00167384026781444	0.00504124656278643	0.000266311584553928	0	0.00292397660818713	0.00028336639274582	0.0014099400775467	0.00301204819277108	0.00548533269735273	0	0.0034037979218918	0	0	0.000277315585135885	0	0	0.00670437879740205	0.00489642184557439	0.00604292560950198	0.000336813742000674	0.00174133291119202	0.000501002004008016	0.0014207909069382	0.0010564124234101	0.00543478260869565	0.00835899692036956	0.00335946248600224	0.00489465843796552	0.000605510142294883	0.0013550135501355	0.00157977883096367	0.000234082397003745	0.000814995925020375	0.0116511318242344	0.00710445468509985	0.00236148955495005	0.000388953714507974	0.0172105861341127	0.0191070752932274	0.0237388724035608	0.000199401794616152	0.000883132175448925	0	0	0	0	0.000152137532329226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0244656193664692	0	0.00412201154163232	0.00190876121397213	0.00243704305442729	0	0.000671291116580891	0.0034850348503485	0.000776699029126214	0.00187441424554827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"aac(6')-Iid_1_AJ584700"	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000150105073551486	0	0	0	0	0	0	0	0	0	0	0	0.00037914691943128	0.000160205062479974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00021128248468202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"aac(6')-Iih_1_AJ584701"	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0.000410004100041	0.000194174757281553	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
