name	country	location	sample_type
BFH12_S130	Burkina_Faso	Clinique_SOUKA	waste_water
BH09_S83	Benin	Hopital_de_Zone_Calavi	waste_water
BFH35_S153	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
BSE93_S121	Benin	Savalou_area	tap_water
BH47_S108	Benin	Hospital_Saint_Jean	waste_water
BH52_S112	Benin	Hospital_Saint_Jean	clean_water
BH36_S101	Benin	Menontin_hospital	waste_water
BFH33_S151	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
BFH9_S127	Burkina_Faso	Clinique_SOUKA	waste_water
FH6_S167	Finland	Central_Finland_Health_Care_District	waste_water
BH10_S84	Benin	Hopital_de_Zone_Calavi	sludge
BFH15_S133	Burkina_Faso	Source_de_Vie,_Ouagadougou	waste_water
BFH22_S140	Burkina_Faso	Koudougou_Hospital	waste_water
BFH31_S149	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
BH50_S111	Benin	Hospital_Saint_Jean	waste_water
BH30_S94	Benin	Menontin_hospital	waste_water
BFH32_S150	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
BFH6_S125	Burkina_Faso	Clinique_SOUKA	waste_water
BFH8_S126	Burkina_Faso	Clinique_SOUKA	waste_water
BSE100_S122	Benin	Savalou_area	river_water
BFH20_S138	Burkina_Faso	Koudougou_Hospital	waste_water
BFH21_S139	Burkina_Faso	Koudougou_Hospital	waste_water
BFH14_S132	Burkina_Faso	Source_de_Vie,_Ouagadougou	waste_water
BFH24_S142	Burkina_Faso	Koudougou_Hospital	waste_water
FH1_S162	Finland	Helsinki_University_Hospital	waste_water
BH34.B_S99	Benin	Menontin_hospital	waste_water
BH34.A_S98	Benin	Menontin_hospital	waste_water
BH06_S81	Benin	Hopital_de_Zone_Calavi	waste_water
BSE79_S120	Benin	Savalou_area	river_water
BH20_S88	Benin	Menontin_hospital	human_feces
BFH17_S135	Burkina_Faso	Koudougou_Hospital	waste_water
BH31_S95	Benin	Menontin_hospital	waste_water
BH11_S85	Benin	Hopital_de_Zone_Calavi	well_water
BFH36_S154	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
BH22_S89	Benin	Menontin_hospital	human_feces
BFH38.B_S157	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
BH45_S106	Benin	Hospital_Saint_Jean	waste_water
BH61_S116	Benin	Central_clinic_of_Calavi	waste_water
FH5_S166	Finland	Central_Finland_Health_Care_District	waste_water
BFH25_S143	Burkina_Faso	Koudougou_Hospital	waste_water
BFH41_S160	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
BFH18_S136	Burkina_Faso	Koudougou_Hospital	waste_water
BH59_S114	Benin	Central_clinic_of_Calavi	waste_water
BH13_S86	Benin	Menontin_hospital	well_water
BH03_S78	Benin	Hopital_de_Zone_Calavi	waste_water
BH38_S103	Benin	Menontin_hospital	waste_water
BFH40_S159	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
BH33_S97	Benin	Menontin_hospital	waste_water
BH32_S96	Benin	Menontin_hospital	soil
BFH13_S131	Burkina_Faso	Source_de_Vie,_Ouagadougou	waste_water
BFH4_S124	Burkina_Faso	Nanoro_Hospital	waste_water
BFH10_S128	Burkina_Faso	Clinique_SOUKA	waste_water
BFH39_S158	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
BFH19_S137	Burkina_Faso	Koudougou_Hospital	waste_water
BH37_S102	Benin	Menontin_hospital	waste_water
FH8_S169	Finland	Turku_University_Hospital	waste_water
BH04_S79	Benin	Hopital_de_Zone_Calavi	sandy_sediment_sludge
BH25_S91	Benin	Menontin_hospital	human_feces
BH01_S76	Benin	Hopital_de_Zone_Calavi	waste_water
BFH23_S141	Burkina_Faso	Koudougou_Hospital	waste_water
BH58_S113	Benin	Central_clinic_of_Calavi	waste_water
BFH38.A_S156	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
BH14_S87	Benin	Menontin_hospital	sediment_sludge
BSE74_S119	Benin	Savalou_area	river_water
BH05_S80	Benin	Hopital_de_Zone_Calavi	waste_water
BFH1_S123	Burkina_Faso	Nanoro_Hospital	waste_water
FH3_S164	Finland	Helsinki_University_Hospital	waste_water
BH63_S118	Benin	Central_clinic_of_Calavi	waste_water
BH48_S109	Benin	Hospital_Saint_Jean	waste_water
BFH34_S152	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
BFH28_S146	Burkina_Faso	Koudougou_Hospital	waste_water
BH07_S82	Benin	Hopital_de_Zone_Calavi	waste_water
BFH11_S129	Burkina_Faso	Clinique_SOUKA	waste_water
BH44_S105	Benin	Hospital_Saint_Jean	waste_water
FH10_S171	Finland	Lapland_Central_Hospital	waste_water
FH9_S170	Finland	Lapland_Central_Hospital	waste_water
BFH27_S145	Burkina_Faso	Koudougou_Hospital	waste_water
BFH29_S147	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
FH7_S168	Finland	Turku_University_Hospital	waste_water
BFH16_S134	Burkina_Faso	Koudougou_Hospital	waste_water
FH4_S165	Finland	Central_Finland_Health_Care_District	waste_water
BH02_S77	Benin	Hopital_de_Zone_Calavi	waste_water
BH29_S93	Benin	Menontin_hospital	waste_water
BH39_S104	Benin	Menontin_hospital	waste_water
BH60_S115	Benin	Central_clinic_of_Calavi	waste_water
BH62_S117	Benin	Central_clinic_of_Calavi	waste_water
BH27_S92	Benin	Menontin_hospital	waste_water
BFH26_S144	Burkina_Faso	Koudougou_Hospital	waste_water
BH35_S100	Benin	Menontin_hospital	waste_water
BFH37_S155	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
FH2_S163	Finland	Helsinki_University_Hospital	waste_water
BFH42_S161	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
BH46_S107	Benin	Hospital_Saint_Jean	waste_water
BH24_S90	Benin	Menontin_hospital	human_feces
BH49_S110	Benin	Hospital_Saint_Jean	waste_water
BFH30_S148	Burkina_Faso	Yalgado_teaching_hospital_of_Ouagadougou	waste_water
