"AHMA1"	"AHMA2"	"AHMA3"	"AHMA4"	"AHMA5"	"ASMA1"	"ASMA2"	"ASMA3"	"BFH1_S123"	"BFH10_S128"	"BFH11_S129"	"BFH12_S130"	"BFH13_S131"	"BFH14_S132"	"BFH15_S133"	"BFH16_S134"	"BFH17_S135"	"BFH18_S136"	"BFH19_S137"	"BFH20_S138"	"BFH21_S139"	"BFH22_S140"	"BFH23_S141"	"BFH24_S142"	"BFH25_S143"	"BFH26_S144"	"BFH27_S145"	"BFH28_S146"	"BFH29_S147"	"BFH30_S148"	"BFH31_S149"	"BFH32_S150"	"BFH33_S151"	"BFH34_S152"	"BFH35_S153"	"BFH36_S154"	"BFH37_S155"	"BFH38A_S156"	"BFH38B_S157"	"BFH39_S158"	"BFH4_S124"	"BFH40_S159"	"BFH41_S160"	"BFH42_S161"	"BFH6_S125"	"BFH8_S126"	"BFH9_S127"	"BH01_S76"	"BH02_S77"	"BH03_S78"	"BH04_S79"	"BH05_S80"	"BH06_S81"	"BH07_S82"	"BH09_S83"	"BH10_S84"	"BH11_S85"	"BH13_S86"	"BH14_S87"	"BH20_S88"	"BH22_S89"	"BH24_S90"	"BH25_S91"	"BH27_S92"	"BH29_S93"	"BH30_S94"	"BH31_S95"	"BH32_S96"	"BH33_S97"	"BH34A_S98"	"BH34B_S99"	"BH35_S100"	"BH36_S101"	"BH37_S102"	"BH38_S103"	"BH39_S104"	"BH44_S105"	"BH45_S106"	"BH46_S107"	"BH47_S108"	"BH48_S109"	"BH49_S110"	"BH50_S111"	"BH52_S112"	"BH58_S113"	"BH59_S114"	"BH60_S115"	"BH61_S116"	"BH62_S117"	"BH63_S118"	"BSE100_S122"	"BSE74_S119"	"BSE79_S120"	"BSE93_S121"	"CP1"	"CP3"	"CP4"	"CP5"	"CP6"	"CP7"	"CP8"	"DEU27"	"DEU27_1"	"DEU27_2"	"ESP75"	"ESP75_1"	"ESP75_2"	"FH1_S162"	"FH10_S171"	"FH2_S163"	"FH3_S164"	"FH4_S165"	"FH5_S166"	"FH6_S167"	"FH7_S168"	"FH8_S169"	"FH9_S170"	"FIN25"	"FIN25_1"	"FIN25_2"	"IRL69"	"IRL69_1"	"IRL69_2"	"JTH"	"Seafield"	"SWE41"	"SWE41a"	"SWE41a_1"	"SWE41a_2"	"SWESTP30"	"SWESTP31"	"SWESTP33"	"SWESTP35"	"SWESTP37"	"SWESTP49"	"SWESTP53"	"SWESTP57"
"aac(6')-Ib_2_M23634"	3829.52695749924	4282.31679432215	3356.10235121665	5086.37112642218	1805.77914894116	105.08577208325	66.6569984604713	75.651806109731	37.4829178450175	91.1350639265607	102.552674449031	19.0692130646512	32.3922397160348	8.21291475196566	59.739212391075	6.94417600442679	43.3730678981638	41.8102477182036	439.729484993742	95.0028124106734	9.71725482098155	147.799355308434	120.351731878881	365.598870217007	253.642510847151	188.217590167274	24.2886191844991	132.057623471812	207.233048154515	193.234508363505	212.732504514148	48.1723687543707	251.413920505195	83.8865027224269	601.495053935994	145.818176967812	150.316499242661	167.696872098655	191.6417198359	225.829009316711	6.02214210275003	62.0521978168232	122.724576409342	8.10323715734722	32.2178041056034	13.9784945502543	13.5330018761253	58.3498577532007	192.675397971857	21.4981175673526	42.8520112880853	182.907954574985	24.0137421928868	14.2047499371917	180.051624337069	319.395899013563	12.3565452268514	121.56074080121	30.6823468482455	5.14668449417881	1	1	1	175.286058452177	173.691051715308	208.413291472414	35.8212404139839	92.0365205416224	49.583752079006	14.9181976910072	13.7582605387581	151.159044266935	460.889285862388	238.793738575864	223.768144238034	35.4506761392604	138.662737021264	141.383544860747	24.2694270251125	54.6846868265448	492.163985658355	216.602967028523	224.716717689332	43.0859375715239	1240.44868304366	856.303364254943	1272.98322128779	10.5313709602151	1	1	1	1	10.9676568951267	14.0150527536429	113.081187536572	2059.57701403312	26.6708836927424	634.924490924492	74.4613498262503	177.60085021946	575.396267352918	20.3324771807725	1	44.0283461803681	1	51.8905131680383	32.6076383757779	895.270635534025	1	206.732226838529	48.9321904594446	103.729152502137	1	42.5206763899561	77.0449764886051	53.2605043613766	27.9115125003976	7.37241185940606	1	1	12.1590661108003	12.2841816363426	1	2159.16237832343	1	1	8.23869974338809	1	1	10.4655149470623	1	1	9.88410608614918	5.99548686955739	1	1	1
"aac(6')-Ib11_1_AY136758"	3228.61051099364	3766.80799439998	2804.44185442203	4870.90206832488	1957.76055095725	1	105.705634386962	91.7047508821994	8.7574204259932	96.827804806133	80.1754535528933	58.631279564098	17.6874537437869	31.6738690504645	42.632704922797	19.9587929404349	46.049261660153	44.3877370477744	238.45970977269	81.9036736386597	19.5356365667187	129.201091120862	109.76263085504	1	234.564243437641	112.463441051169	25.7594793435201	70.667473529753	184.461020925423	95.5618610661642	167.516089346815	51.1516762546468	181.655756935891	69.5388975728138	287.563997329862	134.706089704631	114.818614517047	127.58935399973	97.35713501283	119.256322130352	1	87.5441681333214	103.451518477863	1	1	1	7.66227994467712	88.102791474786	124.037713256215	1	1	186.958536559448	1	15.0387341437512	64.4533826598033	129.95432902404	25.1476014297262	67.2974672645493	1	1	1	1	1	151.551049176124	202.509840833396	122.985958209756	19.5102383253283	59.0717173139191	1	52.7903461449582	21.3460681223354	160.642773378531	356.589036341445	142.574882672114	243.476704367364	37.6265083164768	108.328632161842	92.2082563393507	9.24635834925041	77.1003981681547	427.78571021022	256.668457662569	215.061575136424	34.5579975899256	930.561227731888	792.447382089321	1119.64623466583	21.2667045680362	8.22452171555181	416.016034710432	1	1	1	1	115.74666607058	1933.78290258093	23.3299839968448	556.027387100453	55.0699327870944	123.893912229274	628.29090393121	21.5534757395581	1	1	1	8.72923583454416	17.8019551365977	666.525620339532	1	140.53200212261	44.1195656683749	110.217309502272	1	33.1040253809421	54.898544739292	19.5203892649089	24.8426558117557	7.77487997684223	1	1	20.7730820559794	18.9953001884832	1	1860.96690510239	4.81345187720883	1	1	1	1	1	6.92945108299114	11.8761901129782	5.72260376158456	1	1	1	1
"aac(6')-30-aac(6')-Ib'_1_AJ584652"	5403.10509549913	5621.39502650398	4978.72838527556	7642.60164976511	3100.39276337919	32.9533829191739	113.874159055449	125.408871840707	50.2796616727228	124.453636773858	150.643576209392	50.9237528138842	39.5485253655868	63.000373612641	101.180014378564	41.1457722852168	61.7046788328304	97.0508667167042	275.269573597635	196.13508982398	49.1701193451199	348.652489731741	163.262384938244	1	446.120913785413	263.081864217142	1	219.410403336872	411.879786652609	170.115437380805	257.438151780302	133.746964757107	275.552822091019	224.354071334767	572.893137682273	295.825807085647	208.571941368475	230.06645009475	242.776523656551	249.47364069166	13.3340146474834	106.314820318555	152.030353987123	27.1675484337533	66.1683521572293	24.9056768919578	8.69503458655716	207.240348203217	342.953219023257	76.5128221630133	13.8481858361599	409.091378103105	10.4200120019517	25.3224269359823	95.2295131118226	233.725327835938	1	128.624303751412	1	1	1	8.39821568488982	8.80141843971631	422.345816843162	381.153316749527	353.239089055525	93.6449618309236	116.515844302257	80.5454340016958	48.0003575523068	71.5000536761772	408.194206667124	745.413218176809	333.882322913373	443.892347554441	75.0323040439425	305.280675871925	278.732794932204	29.5740076539376	121.858535084683	696.920914914574	385.40037995698	296.319667150385	52.6799962884366	2289.89587856624	2001.07278885794	2516.19728872382	33.186483698477	46.8943780714386	1	1	7.46991079757531	1	28.9685176195304	260.970819318195	4172.66834117506	85.5387100995036	1328.92049627594	143.250853229134	334.174900513509	1250.93511504158	12.8697884210214	1	1	1	36.7095394179548	34.9613986803571	1325.21766556281	274.254586329818	634.757035846474	111.926542241661	188.186838915552	2.87529589185748	75.1612744362189	161.82189894348	105.817522222676	80.8620264576134	12.7376340024318	1	5.13572159976479	39.8249574716191	32.1772678037552	19.0254585021172	2034.83196633972	1	2.92542041554773	1	1	8.54452728564026	12.6233071082467	7.84860611409311	10.4216236540996	3.72733955836191	1	1	1	1
"aac(6')-Iaj_1_AB709942"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"aac(6')-Ian_1_AP014611"	1	1	1	8.96777170864673	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15.4336031526738	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.76010860722182	1	1	1	1	18.1272564048154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.99199268480301	5.46802945046487	4.68468477521748	1	1	1	1	1	1	1	16.1658103154001	1	1	1	1	1	1	1	1	1	1	1	1	1
"aac(6')-Iak_1_AB894482"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.04006982320716	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.34672995505481	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"aac(6')-Ib-Hangzhou_1_FJ503047"	7618.10040302564	6345.04728526312	5531.43411139358	8507.49440041576	3610.55829788231	61.7668380370417	184.991403778246	212.688110801665	77.6773926499906	179.105924450705	214.436719246633	169.785250361135	25.436348449476	102.06419282523	138.171339919042	91.2277814313569	50.4760677192432	151.895694356903	274.212658092442	210.067636740501	11.1785287505102	441.761730719626	210.038004389022	426.716599906564	507.618395086559	267.693080467185	1	317.984128116382	428.549792174996	232.159052503713	326.118119212792	143.28967877643	352.565153189306	237.57522035868	614.511565220734	374.786861391822	287.191313959049	313.042351092463	296.582281811332	249.700419189401	12.7280081474625	133.388993779503	240.843150193842	25.8818596378752	59.3213542597169	23.7311205128731	8.31695485253556	154.059240510607	423.275388704495	96.7368728001209	25.4338331797492	450.310221282366	18.9143580846364	62.6730517297739	110.51079253426	257.697381836148	27.5204871193524	258.26994040617	70.3160007323191	5.84179345563075	10.5564975324844	8.0347195385224	1	446.159838604369	473.130956557629	433.835903296509	143.304144350789	128.556373290689	76.6371323310922	66.0052238978831	105.278499432393	468.547236098973	1062.75700338224	511.885414762295	533.607789939874	71.394878700743	451.069618839463	310.619199134107	55.3401648447715	154.227198623741	894.333162888173	548.060174009901	464.662596112774	50.1408057193516	2508.38852414626	2423.71864963758	2774.84032292732	51.0810185135	24.8033374443037	1	11.0919825227833	1	1	23.7951501985768	286.973794275501	5700.2075630823	55.4983552909507	1642.47860189948	99.9719386276294	330.927137519824	1702.79942432358	23.5731814480696	1	1	42.8511241375	77.3988050697718	19.4530143118703	1702.39473446688	1	498.005100514844	194.732152635105	198.336514838153	4.56631415272319	93.5542350216468	153.920244949147	70.1570604920876	69.0824969422389	23.3218588832374	40.5421735254364	8.86504281111339	18.3728813439819	40.5272489689227	1	2646.51343178118	5.18818414259929	1	1	7.21100326819765	1	39.6827691767227	7.51211390617524	1	1	6.83288062225776	1	1	1
"aac(6')-Ib-Suzhou_1_EU085533"	2462.90608408848	3360.03637439669	2268.87585862902	3845.19653876079	1649.29540770348	61.7668380370417	62.3304679260818	100.617934494901	35.0788411777736	17.1914476773368	87.9557004338135	32.6472344427127	7.109087112369	9.42201606876915	16.2412599910047	21.8217957149285	33.9840451461622	32.7675146014533	261.793900906422	53.2669091851253	31.5355862515307	105.068741975467	80.6335254815324	426.716599906564	135.670712617946	127.788513664727	1	99.3743845878427	187.745886237355	138.355379023945	136.46588300533	65.2598549312911	143.714567136253	44.013676428851	355.561878601593	103.346402523951	76.6597726558405	75.148677487318	70.3341154866088	136.403561558674	1	31.5513062568083	77.9866901856775	1	30.1606771298585	1	8.31695485253556	67.9634177233904	140.350878272483	12.9671091000151	1	148.046981510593	9.95717904231819	31.836525864887	120.466319128284	204.587578697635	1	93.2288465607025	1	1	5.77824876624221	1	1	204.501640504854	128.868800734358	150.431442804747	14.5527756524561	78.9511170109768	19.9092830827731	49.7539179234123	38.2423212258547	139.803085716883	232.877966255892	100.95584201871	143.441618239734	21.1128224859266	65.295659834209	64.7451292334926	10.0566941407952	35.8243633235775	387.008156803532	180.125897684658	85.8959683023389	25.5704028596758	595.593251810971	623.632528278361	743.602921098652	6.56455761261111	24.8033374443037	1	1	1	1	8.59838339952561	49.4701346229662	1053.43582542052	9.17475329364261	292.721661345531	40.5887754510518	79.7326123626854	306.685151286005	1	1	1	1	9.48875611886353	1	584.5108295103	1	104.542729273926	44.0515894744678	47.432121138389	1	14.222033574521	84.8594891656615	17.27224952755	42.8969211952239	1	1	1	1	7.58787482815379	1	1541.42554255613	1	4.66163766887402	1	1	1	6.52610988238895	7.51211390617524	12.9449486789934	6.18667465145125	1	1	1	1
"aac(6')-Iid_1_AJ584700"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.16706391725211	1	1	1	1	1	1	1	1	1	1	1	7.41818577101134	3.79922181633506	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.04144434106324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.46154817877161	1	6.87160418250379	1	1	1	1	1	1	1	1	1
"aac(6')-Iih_1_AJ584701"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10.2760176634651	4.82486300036162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
