ID	alias	count	coverage
AHMA1	AHMA1	57736	58.9583
AHMA2	AHMA2	15642	15.9805
AHMA3	AHMA3	16566	16.951
AHMA4	AHMA4	3456	3.52945
AHMA5	AHMA5	82	0.0844795
ASMA1	ASMA1	94	0.0956885
ASMA2	ASMA2	1158	1.18487
ASMA3	ASMA3	86	0.0877453
BFH10_S128	BFH10	1788	2.47767
BFH11_S129	BFH11	230	0.306846
BFH12_S130	BFH12	1608	2.26065
BFH13_S131	BFH13	164	0.223757
BFH14_S132	BFH14	186	0.257158
BFH15_S133	BFH15	820	1.15384
BFH16_S134	BFH16	614	0.841756
BFH17_S135	BFH17	38	0.0543965
BFH18_S136	BFH18	858	1.0609
BFH19_S137	BFH19	22	0.0295369
BFH1_S123	BFH1	552	0.775429
BFH20_S138	BFH20	28	0.0403853
BFH21_S139	BFH21	230	0.321712
BFH22_S140	BFH22	8912	11.857
BFH23_S141	BFH23	18	0.0266007
BFH24_S142	BFH24	58	0.0763303
BFH25_S143	BFH25	1424	2.02594
BFH26_S144	BFH26	550	0.759769
BFH27_S145	BFH27	18	0.024087
BFH28_S146	BFH28	48	0.0659043
BFH29_S147	BFH29	922	1.30342
BFH30_S148	BFH30	1888	2.68942
BFH31_S149	BFH31	780	1.05777
BFH32_S150	BFH32	5796	7.92503
BFH33_S151	BFH33	2194	3.07622
BFH34_S152	BFH34	260	0.336558
BFH35_S153	BFH35	1044	1.42273
BFH36_S154	BFH36	64	0.0845722
BFH37_S155	BFH37	120	0.171524
BFH38A_S156	BFH38A	68	0.0978932
BFH38B_S157	BFH38B	54	0.0761552
BFH39_S158	BFH39	3342	4.54549
BFH40_S159	BFH40	2276	3.07142
BFH41_S160	BFH41	1614	2.20389
BFH42_S161	BFH42	286	0.400639
BFH4_S124	BFH4	34	0.0466595
BFH6_S125	BFH6	526	0.72403
BFH8_S126	BFH8	68	0.0872302
BFH9_S127	BFH9	18	0.024736
BH01_S76	BH01	52	0.0713645
BH02_S77	BH02	40	0.049472
BH03_S78	BH03	37848	51.5866
BH04_S79	BH04	46	0.0629372
BH05_S80	BH05	9192	Dec.11
BH06_S81	BH06	58	0.0749601
BH07_S82	BH07	76	0.106671
BH09_S83	BH09	58	0.0782156
BH10_S84	BH10	16	0.0242209
BH11_S85	BH11	6	0.00543965
BH13_S86	BH13	186	0.254551
BH14_S87	BH14	140	0.194292
BH20_S88	BH20	42	0.053593
BH22_S89	BH22	12	0.0186679
BH24_S90	BH24	26	0.036285
BH25_S91	BH25	8	0.0124453
BH27_S92	BH27	8062	Nov.66
BH29_S93	BH29	800	1.17417
BH30_S94	BH30	1002	1.43512
BH31_S95	BH31	5182	7.09187
BH32_S96	BH32	1018	1.38283
BH33_S97	BH33	2836	3.76661
BH34A_S98	BH34A	3690	4.90965
BH34B_S99	BH34B	3982	5.21613
BH35_S100	BH35	3900	5.49934
BH36_S101	BH36	1790	Feb.32
BH37_S102	BH37	3716	5.21822
BH38_S103	BH38	2266	3.08394
BH39_S104	BH39	10348	14.2772
BH44_S105	BH44	46	0.0619997
BH45_S106	BH45	60	0.086952
BH46_S107	BH46	482	0.623242
BH47_S108	BH47	1258	Jan.63
BH48_S109	BH48	1392	1.99982
BH49_S110	BH49	462	0.650028
BH50_S111	BH50	13028	18.7974
BH52_S112	BH52	80	0.106269
BH58_S113	BH58	3448	4.54799
BH59_S114	BH59	3000	4.14683
BH60_S115	BH60	2494	3.27118
BH61_S116	BH61	11032	15.3161
BH62_S117	BH62	5380	7.65492
BH63_S118	BH63	64	0.0905476
BSE100_S122	BSE100	38	0.0514501
BSE74_S119	BSE74	40	0.0578684
BSE79_S120	BSE79	54	0.0763097
BSE93_S121	BSE93	30	0.041498
CP1	CP1	432920	666.823
CP3	CP3	31896	49.0784
CP4	CP4	14570	22.4263
CP5	CP5	23114	35.5744
CP6	CP6	64678	99.5727
CP7	CP7	166408	256.275
CP8	CP8	176692	272.069
DEU27_1	DEU27	12530	19.1603
DEU27_2	DEU27	5396	8.25908
DEU27	DEU27	46394	71.6296
ESP75_1	ESP75	16664	25.7331
ESP75_2	ESP75	18470	28.5106
ESP75	ESP75	47482	73.2225
FH10_S171	FH10	16	0.0193891
FH1_S162	FH1	24674	35.2515
FH2_S163	FH2	2940	4.17505
FH3_S164	FH3	4630	6.68818
FH4_S165	FH4	124	0.163561
FH5_S166	FH5	110	0.152867
FH6_S167	FH6	2394	3.36443
FH7_S168	FH7	13868	19.5577
FH8_S169	FH8	9970	14.2068
FH9_S170	FH9	182	0.255839
FIN25_1	FIN25	5858	8.96183
FIN25_2	FIN25	91228	137.452
FIN25	FIN25	90828	140.25
IRL69_1	IRL69	26422	40.5988
IRL69_2	IRL69	10032	15.3496
IRL69	IRL69	106756	164.898
JTH	JTH	13774	14.2523
Seafield	Seafield	33608	51.7593
SWE41a_1	SWE41a	12380	19.1042
SWE41a_2	SWE41a	5454	8.34499
SWE41a	SWE41a	55478	85.6751
SWE41	SWE41	246544	380.721
SWESTP30	SWESTP30	4798	4.65957
SWESTP31	SWESTP31	4766	3.93668
SWESTP33	SWESTP33	4012	3.33966
SWESTP35	SWESTP35	5892	5.14171
SWESTP37	SWESTP37	3598	3.19434
SWESTP49	SWESTP49	44	0.0457838
SWESTP53	SWESTP53	204	0.179169
SWESTP57	SWESTP57	200	0.190841
