"Cluster_name"	"AHMA1"	"AHMA2"	"AHMA3"	"AHMA4"	"AHMA5"	"ASMA1"	"ASMA2"	"ASMA3"	"BFH1_S123"	"BFH10_S128"	"BFH11_S129"	"BFH12_S130"	"BFH13_S131"	"BFH14_S132"	"BFH15_S133"	"BFH16_S134"	"BFH17_S135"	"BFH18_S136"	"BFH19_S137"	"BFH20_S138"	"BFH21_S139"	"BFH22_S140"	"BFH23_S141"	"BFH24_S142"	"BFH25_S143"	"BFH26_S144"	"BFH27_S145"	"BFH28_S146"	"BFH29_S147"	"BFH30_S148"	"BFH31_S149"	"BFH32_S150"	"BFH33_S151"	"BFH34_S152"	"BFH35_S153"	"BFH36_S154"	"BFH37_S155"	"BFH38A_S156"	"BFH38B_S157"	"BFH39_S158"	"BFH4_S124"	"BFH40_S159"	"BFH41_S160"	"BFH42_S161"	"BFH6_S125"	"BFH8_S126"	"BFH9_S127"	"BH01_S76"	"BH02_S77"	"BH03_S78"	"BH04_S79"	"BH05_S80"	"BH06_S81"	"BH07_S82"	"BH09_S83"	"BH10_S84"	"BH11_S85"	"BH13_S86"	"BH14_S87"	"BH20_S88"	"BH22_S89"	"BH24_S90"	"BH25_S91"	"BH27_S92"	"BH29_S93"	"BH30_S94"	"BH31_S95"	"BH32_S96"	"BH33_S97"	"BH34A_S98"	"BH34B_S99"	"BH35_S100"	"BH36_S101"	"BH37_S102"	"BH38_S103"	"BH39_S104"	"BH44_S105"	"BH45_S106"	"BH46_S107"	"BH47_S108"	"BH48_S109"	"BH49_S110"	"BH50_S111"	"BH52_S112"	"BH58_S113"	"BH59_S114"	"BH60_S115"	"BH61_S116"	"BH62_S117"	"BH63_S118"	"BSE100_S122"	"BSE74_S119"	"BSE79_S120"	"BSE93_S121"	"CP1"	"CP3"	"CP4"	"CP5"	"CP6"	"CP7"	"CP8"	"DEU27"	"DEU27_1"	"DEU27_2"	"ESP75"	"ESP75_1"	"ESP75_2"	"FH1_S162"	"FH10_S171"	"FH2_S163"	"FH3_S164"	"FH4_S165"	"FH5_S166"	"FH6_S167"	"FH7_S168"	"FH8_S169"	"FH9_S170"	"FIN25"	"FIN25_1"	"FIN25_2"	"IRL69"	"IRL69_1"	"IRL69_2"	"JTH"	"Seafield"	"SWE41"	"SWE41a"	"SWE41a_1"	"SWE41a_2"	"SWESTP30"	"SWESTP31"	"SWESTP33"	"SWESTP35"	"SWESTP37"	"SWESTP49"	"SWESTP53"	"SWESTP57"
"44"	"aac(6')-Ib_2_clust"	0.35429100209108	0.399317431927733	0.30505748548169	0.503967619644589	0.195677794881274	0.00530730099338265	0.00958930035164453	0.0106397099835318	0.00343234637030399	0.00805971249048052	0.0104012557100772	0.00504901138794617	0.0019001744948388	0.00354414221632822	0.00972455568017737	0.00281265074700973	0.00398270916384719	0.00832670521804293	0.0752981965616359	0.0172459899831492	0.00339054799904854	0.0207362907268661	0.0180044782777285	0.0161413462021303	0.0281154142918717	0.0229044281218138	0.00232280092554244	0.0185407710251347	0.0275523504998087	0.0280698930071694	0.0278312152744879	0.00810291123277659	0.0283210486435802	0.0130376547934123	0.0750408334097392	0.0256670982123299	0.0173881947241777	0.0179750252402754	0.0176341021100111	0.0234851578997838	0.000273061500159117	0.00860398944875243	0.0138989671012467	0.00196981179163379	0.00369879727090294	0.00463743391536799	0.000773510625702285	0.0107250638121633	0.0241769250201713	0.00449061914898022	0.000662858444678346	0.0189969773858992	0.00160466351811657	0.00278494691837848	0.0391173907287763	0.05521758522888	0.00154916833148885	0.0134447197483921	0.00203617513839931	0.000398032319943066	0.000454555112004364	0.000310855855735899	0.00151008490352763	0.0221627546697843	0.0210028345957584	0.0186825374875275	0.00536433472655984	0.0172144769357816	0.00454877149731427	0.0045293121814444	0.0050572060430725	0.0208510514038521	0.0457433703642049	0.020867654317891	0.0205205387495727	0.00440460353894068	0.0185026501742522	0.0136005803324043	0.00254607434949648	0.00666279967269062	0.0667901544209927	0.0285158387983674	0.018714086996653	0.0117629095070112	0.101148832882842	0.0909663514180314	0.118368838514003	0.0018824602935394	0.00145133028085916	0.00805377651517274	0.000436097859704874	0.000220435764645352	0.000199353137902533	0.00135264320094897	0.0150401902821084	0.201681835204051	0.00413755920665852	0.0647673148762112	0.00965260508896588	0.0166907480481357	0.0619639925284575	0.00528161498776152	0.00660752992425699	0.00745816568510743	0.00369074701854226	0.0125662855749172	0.0117182704598794	0.0788467296523495	0.00966639454907479	0.0264893320696753	0.00701991369999932	0.0113540636816228	0.000277745818247735	0.00298486619133509	0.0104066743865504	0.00584726045647738	0.00454939987568392	0.00323087113958004	0.00422757635991298	0.00373799715113609	0.00321580094144616	0.00347373333476906	0.00408498079520703	0.178737704386659	0.00150191743940921	0.00326168377032036	0.00158784426480376	0.00118955034465327	0.00123607219221809	0.00338566057493455	0.00455929308812739	0.00553539793606025	0.00370504997857861	0.00293653162697758	0	8.29174073081255e-05	0.00135725326217714
"31"	"aac(6')-30-aac(6')"	0.0540210509549913	0.0562039502650398	0.0497772838527556	0.0764160164976511	0.0309939276337919	0.000319533829191739	0.00112874159055449	0.00124408871840707	0.000492796616727228	0.00123453636773858	0.00149643576209392	0.000499237528138842	0.000385485253655868	0.00062000373612641	0.00100180014378564	0.000401457722852168	0.000607046788328304	0.000960508667167042	0.00274269573597635	0.0019513508982398	0.000481701193451199	0.00347652489731741	0.00162262384938244	0	0.00445120913785413	0.00262081864217142	0	0.00218410403336872	0.00410879786652609	0.00169115437380805	0.00256438151780302	0.00132746964757107	0.00274552822091019	0.00223354071334767	0.00571893137682273	0.00294825807085647	0.00207571941368475	0.0022906645009475	0.00241776523656551	0.0024847364069166	0.000123340146474834	0.00105314820318555	0.00151030353987123	0.000261675484337533	0.000651683521572293	0.000239056768919578	7.69503458655716e-05	0.00206240348203217	0.00341953219023257	0.000755128221630133	0.000128481858361599	0.00408091378103105	9.42001200195166e-05	0.000243224269359823	0.000942295131118226	0.00232725327835938	0	0.00127624303751412	0	0	0	7.39821568488982e-05	7.80141843971631e-05	0.00421345816843162	0.00380153316749527	0.00352239089055525	0.000926449618309236	0.00115515844302257	0.000795454340016958	0.000470003575523068	0.000705000536761772	0.00407194206667124	0.00744413218176809	0.00332882322913373	0.00442892347554441	0.000740323040439425	0.00304280675871925	0.00277732794932204	0.000285740076539376	0.00120858535084683	0.00695920914914574	0.0038440037995698	0.00295319667150385	0.000516799962884366	0.0228889587856624	0.0200007278885794	0.0251519728872382	0.00032186483698477	0.000458943780714386	0	0	6.46991079757531e-05	0	0.000279685176195304	0.00259970819318195	0.0417166834117506	0.000845387100995036	0.0132792049627594	0.00142250853229134	0.00333174900513509	0.0124993511504158	0.000118697884210214	0	0	0	0.000357095394179548	0.000339613986803571	0.0132421766556281	0.00273254586329818	0.00633757035846474	0.00110926542241661	0.00187186838915552	1.87529589185748e-05	0.000741612744362189	0.0016082189894348	0.00104817522222676	0.000798620264576134	0.000117376340024318	0	4.13572159976479e-05	0.000388249574716191	0.000311772678037552	0.000180254585021172	0.0203383196633972	0	1.92542041554773e-05	0	0	7.54452728564026e-05	0.000116233071082467	6.84860611409311e-05	9.42162365409965e-05	2.72733955836191e-05	0	0	0	0
"41"	"aac(6')-Iaj_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"43"	"aac(6')-Ian_1"	0	0	0	7.96777170864673e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000144336031526738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.76010860722182e-05	0	0	0	0	0.000171272564048154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.99199268480302e-05	4.46802945046487e-05	3.68468477521748e-05	0	0	0	0	0	0	0	0.000151658103154001	0	0	0	0	0	0	0	0	0	0	0	0	0
"42"	"aac(6')-Iak_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.04006982320716e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34672995505481e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"53"	"aac(6')-Iid_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.16706391725211e-05	0	0	0	0	0	0	0	0	0	0	0	6.41818577101134e-05	2.79922181633506e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.04144434106324e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46154817877161e-05	0	5.87160418250379e-05	0	0	0	0	0	0	0	0	0
"54"	"aac(6')-Iih_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.27601766346512e-05	3.82486300036162e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"65"	"aac(6')-Iz_2_clust"	0.000207943439384487	0	0.000446961179702461	9.88210646981511e-05	0.0036329969881283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000199954010577567	3.69540956224178e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000298311556589702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12536646370216e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"30"	"aac(6')-29b_1_clust"	0	0	0	0	0	0	0	0	0	0	0	0.000138256857540134	0	0	9.98764385774171e-05	0	0	0	0	0	0	8.02312493839386e-05	0	0	0	0	0	0.00014325562738802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000120923161967938	0.00201250744627755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"36"	"aac(6')-Iaa_1"	0	0	0	0	0	0.000720045409617001	0.000363362018877129	0.000442651609613473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
