ID	alias	date	lat	long	country	continent	hospital	category	no_of_beds	hospital_description	description	hospital_section	sample_material	DNA_ng_µl	A260_280	M_Seqs_trimmed	plot_name
BH01_S76	BH01	27_11_19	6,49245	2,40193	Benin	West Africa	A	WA hospital effluent	200	Secondary hospital	neonatology, septic tank	maternity	water	648,235	1,894	27,4	hospital effluent
BH02_S77	BH02	27_11_19	6,49245	2,40193	Benin	West Africa	A	WA hospital effluent	200	Secondary hospital	pediatry, septic tank	pediatry	water	44,115	1,863	30,8	hospital effluent
BH03_S78	BH03	27_11_19	6,49245	2,40193	Benin	West Africa	A	WA hospital effluent	200	Secondary hospital	surgery room, septic tank	surgery	water	98,572	1,844	31,6	hospital effluent
BH04_S79	BH04	27_11_19	6,49245	2,40193	Benin	West Africa	A	WA empty hospital septic tank	200	Secondary hospital	medicine ward (general medicine), empty sump, sandy sediment	other	sandy sediment	39,978	1,821	31	empty hospital septic tank
BH05_S80	BH05	27_11_19	6,49245	2,40193	Benin	West Africa	A	WA hospital effluent	200	Secondary hospital	maternity, septic tank	maternity	water	102,506	1,856	28,2	hospital effluent
BH06_S81	BH06	27_11_19	6,49245	2,40193	Benin	West Africa	A	WA hospital effluent	200	Secondary hospital	mortuary, septic tank	other	water	132,862	1,843	31,5	hospital effluent
BH07_S82	BH07	27_11_19	6,49245	2,40193	Benin	West Africa	A	WA hospital effluent	200	Secondary hospital	laundry, open sump	other	water	54,667	1,88	25,8	hospital effluent
BH09_S83	BH09	27_11_19	6,49245	2,40193	Benin	West Africa	A	WA hospital effluent	200	Secondary hospital	surgery for demanding operations, final sump	surgery	water	29,731	1,916	24,8	hospital effluent
BH10_S84	BH10	27_11_19	6,49245	2,40193	Benin	West Africa	A	WA empty hospital septic tank	200	Secondary hospital	surgery for demanding operations, septic tank, sediment sludge 	surgery	sediment	15,721	1,769	28,3	empty hospital septic tank
BH11_S85	BH11	27_11_19	6,49245	2,40193	Benin	West Africa	A	WA treated, drinking water	200	Secondary hospital	drinking water, well 100 m away from the hospital	treated, drinking water	water	30,892	1,913	30,3	well water, drinking
BH13_S86	BH13	27_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA street gutter	200	Secondary hospital	street gutter 100 m away from the hospital, water	street gutter	water	65,115	1,894	28,8	street gutter, water
BH14_S87	BH14	27_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA street gutter, sediment	200	Secondary hospital	street gutter 100 m away from the hospital, sediment sludge	street gutter, sediment	sediment	24,069	1,768	25,4	street gutter, sediment
BH20_S88	BH20	28_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA in-patient feces	200	Secondary hospital	human feces, patient 50 years old with fracture of thighbone, 1 month hospitalization	feces	feces	113979	1,825	28,6	in-patient feces
BH22_S89	BH22	28_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA in-patient feces	200	Secondary hospital	human feces, patient 33 years old with fracture of thighbone, 1 month hospitalization	feces	feces	191195	1,826	29,3	in-patient feces
BH24_S90	BH24	28_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA in-patient feces	200	Secondary hospital	human feces, patient 24 years old with polytrauma, 1 month hospitalization	feces	feces	90586	1,821	24,4	in-patient feces
BH25_S91	BH25	28_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA in-patient feces	200	Secondary hospital	human feces, patient 27 years old with osteosynthesis, 2 months hospitalization	feces	feces	168,61	1,727	25,7	in-patient feces
BH27_S92	BH27	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA hospital effluent	200	Secondary hospital	intensive care, laundry, laboratory, maternal, child health, central septic tank	other	water	11,398	1,99	32,8	hospital effluent
BH29_S93	BH29	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA hospital effluent	200	Secondary hospital	surgery unit, open septic tank next to wall	surgery	water	73,649	1,903	34,6	hospital effluent
BH30_S94	BH30	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA hospital effluent	200	Secondary hospital	surgery unit, 1st peripheral septic tank	surgery	water	71,191	1,887	33,9	hospital effluent
BH31_S95	BH31	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA hospital effluent	200	Secondary hospital	surgery unit, 2nd pheripheral septic tank	surgery	water	55,153	1,883	33,7	hospital effluent
BH32_S96	BH32	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA soil inbetween tanks	200	Secondary hospital	moist soil between septic tanks of samples BH31, BH34, soil	other	soil	244,958	1,862	32,8	soil inbetween tanks
BH33_S97	BH33	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA hospital effluent	200	Secondary hospital	surgery unit, 3rd peripheral septic tank	surgery	water	35,929	1,869	11,8	hospital effluent
BH34A_S98	BH34A	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA hospital effluent	200	Secondary hospital	surgery unit, 1.3 m water depth, central septic tank, sample from 10 cm below surface	surgery	water	57,981	1,906	27,1	hospital effluent
BH34B_S99	BH34B	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA hospital effluent	200	Secondary hospital	technical replicate of BH34.A	surgery	water	57,981	1,906	30,3	hospital effluent
BH35_S100	BH35	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA hospital effluent	200	Secondary hospital	surgery for minor operations, septic tank	surgery	water	95,977	1,862	32,5	hospital effluent
BH36_S101	BH36	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA hospital effluent	200	Secondary hospital	maternity, septic tank	maternity	water	67,368	1,92	28,9	hospital effluent
BH37_S102	BH37	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA hospital effluent	200	Secondary hospital	BH35, BH36, central septic tank, surface water	other	water	98,298	1,884	21,9	hospital effluent
BH38_S103	BH38	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA hospital effluent	200	Secondary hospital	BH35, BH36, central septic tank, water from 1,4 m depth	other	water	68,516	1,931	27,8	hospital effluent
BH39_S104	BH39	29_11_19	6,3880014	2,3735619	Benin	West Africa	B	WA hospital effluent	200	Secondary hospital	hospital area, septic tank for toilets	other	water	108,617	1,887	23,6	hospital effluent
BH44_S105	BH44	09_12_19	6,36536	2,41833	Benin	West Africa	C	WA hospital effluent	200	Health clinic	central septic tank, water from 10 cm depth	other	water	49,381	1,904	28,8	hospital effluent
BH45_S106	BH45	09_12_19	6,36536	2,41833	Benin	West Africa	C	WA hospital effluent	200	Health clinic	central septic tank, water from 1 m depth	other	water	53,163	1,925	26,1	hospital effluent
BH46_S107	BH46	09_12_19	6,36536	2,41833	Benin	West Africa	C	WA hospital effluent	200	Health clinic	pediatry, septic tank	pediatry	water	109,664	1,867	28,6	hospital effluent
BH47_S108	BH47	09_12_19	6,36536	2,41833	Benin	West Africa	C	WA hospital effluent	200	Health clinic	hospitalization ward, vaccination room, septic tank	other	water	35,135	1,954	36,8	hospital effluent
BH48_S109	BH48	09_12_19	6,36536	2,41833	Benin	West Africa	C	WA hospital effluent	200	Health clinic	water pool surrounding the surgery room septic tank	surgery	water	35,005	1,993	41	hospital effluent
BH49_S110	BH49	09_12_19	6,36536	2,41833	Benin	West Africa	C	WA hospital effluent	200	Health clinic	maternity clinic, septic tank	maternity	water	37,726	1,96	35,3	hospital effluent
BH50_S111	BH50	09_12_19	6,36536	2,41833	Benin	West Africa	C	WA hospital effluent	200	Health clinic	peripheral septic tank, mainly collecting toilet waters, sample from under floating matter	other	water	85,95	1,894	37,2	hospital effluent
BH52_S112	BH52	09_12_19	6,36536	2,41833	Benin	West Africa	C	WA treated, hand washing	200	Health clinic	water for washing hands	treated, hand washing	water	4,303	2,942	36,8	water used for handwashing
BH58_S113	BH58	11_12_19	6,3627373	2,4214123	Benin	West Africa	D	WA hospital effluent	200	Health clinic	sump next to septic tank BH60, water from 2 m depth	other	water	113,889	1,899	36,2	hospital effluent
