"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"n"
"23"	"sp1179"	895.363868024407	30	3.25661871931759	9.21200870769617	3.20078122705145e-20	8.76213860905335e-19	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Raoultella"	NA	6
"42"	"sp187"	155.474784059785	29.1159933442183	3.69060723458141	7.88921483472912	3.04093644119502e-15	3.02711400282595e-14	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Propionibacterium"	NA	3
"3"	"sp1004"	80.6719125462523	28.1220474166516	3.16209387277496	8.89348910820681	5.9219469320923e-19	1.29690637812821e-17	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Ottowia"	NA	5
"2"	"sp1003"	49.0722478265538	27.4967460041692	3.61988247753225	7.59603279245528	3.05347181429998e-14	2.15713008816676e-13	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Melaminivora"	NA	4
"41"	"sp179"	31.8041513272442	26.8933448183416	3.69073565817942	7.28671660858196	3.175999849044e-13	1.98726847697325e-12	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Nakamurellales"	"Nakamurellaceae"	"Nakamurella"	NA	3
"76"	"sp755"	24.6713215803171	26.5326249576643	3.69078232544421	7.18888913462835	6.5320585123416e-13	3.77895010229453e-12	"Bacteria"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Tissierellaceae"	"Tissierella"	NA	4
"81"	"sp795"	16.9798630286733	26.0109367841344	3.69087656531208	7.04736024731703	1.82343807944837e-12	9.7398277902242e-12	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bosea"	NA	3
"59"	"sp40"	11.879640754353	25.5140444524485	3.69100638632941	6.91248992332993	4.76219838745917e-12	2.17275301427825e-11	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Alloscardovia"	NA	2
"66"	"sp576"	11.1251761930219	25.4234435443364	3.69103560100051	6.88788900801851	5.66263628212702e-12	2.48023469157163e-11	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_unclassified"	"Intestinimonas"	NA	3
"73"	"sp716"	12.11422932547	25.2561898318711	3.69099794161939	6.84264533097794	7.77439666881618e-12	3.15294976013101e-11	"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Acidaminococcus"	NA	2
"8"	"sp1035"	9.46220461049175	25.1973264300054	3.69111656392935	6.826478111323	8.70245658235253e-12	3.40328212774144e-11	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Chromobacteriaceae"	"Microvirgula"	NA	2
"69"	"sp61"	9.17268730406294	25.1519603815603	3.69113376305051	6.81415575705761	9.4818930691998e-12	3.64304312658729e-11	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Gardnerella"	NA	3
"22"	"sp1135"	7.40353345589009	24.8536038748516	3.69126725859285	6.73308165833706	1.66106775375245e-11	6.06289730119644e-11	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacterales_unclassified"	"Phytobacter"	NA	3
"62"	"sp463"	4.31102892029331	24.097725574448	3.69176413436752	6.52742826935135	6.69085321615044e-11	2.06379838639007e-10	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Bavariicoccus"	NA	2
