"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"n"
"25"	"sp1200"	210.336479030943	28.780400699964	3.39109230057271	8.48705907978482	2.11932038399781e-17	2.00777720589267e-16	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Serratia"	NA	4
"88"	"sp960"	185.384517129174	28.6080639860193	3.38566049833317	8.44977338989058	2.91868774178234e-17	2.50173235009915e-16	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiales_unclassified"	"Sphaerotilus"	NA	4
"20"	"sp1173"	81.1182679446386	27.4500023217093	3.39114511290394	8.09461152731476	5.74473882781216e-16	4.13621195602476e-15	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Kluyvera"	NA	3
"49"	"sp258"	76.6468703676244	27.3696189319668	3.39115010855797	8.07089573029999	6.97842947909097e-16	4.65228631939398e-15	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Barnesiellaceae"	"Coprobacter"	NA	3
"78"	"sp779"	73.8581029690977	27.3171372280896	3.39115354543862	8.05541148817439	7.92118723350846e-16	5.09219179296972e-15	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	NA	4
"21"	"sp1179"	65.926630675713	27.1597087917432	3.31668961001744	8.18880027534454	2.63842955644559e-16	1.9788221673342e-15	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Raoultella"	NA	6
"1"	"sp1003"	52.7755300329149	26.8441274898376	3.32245695895675	8.07960127744337	6.49788773007343e-16	4.49853765928161e-15	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Melaminivora"	NA	4
"39"	"sp187"	50.7226407351998	26.790382858463	3.39119659290097	7.89997929183615	2.78949769528324e-15	1.61970833919672e-14	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Propionibacterium"	NA	3
"61"	"sp453"	54.3930494606216	26.769849827042	3.3911873179204	7.89394607769949	2.92778703792693e-15	1.6468802088339e-14	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Agitococcus"	NA	3
"51"	"sp339"	55.4198780225359	26.1355686288313	3.3911848552647	7.70691358457112	1.2889701680162e-14	6.10564816428726e-14	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	NA	6
