clade_name	NCBI_tax_id	BFH12_S130	BH09_S83	BFH35_S153	BSE93_S121	BH47_S108	BH52_S112	BH36_S101	BFH33_S151	BFH9_S127	FH6_S167	BH10_S84	BFH15_S133	BFH22_S140	BFH31_S149	BH50_S111	BH30_S94	BFH32_S150	BFH6_S125	BFH8_S126	BSE100_S122	BFH20_S138	BFH21_S139	BFH14_S132	BFH24_S142	FH1_S162	BH34.B_S99	BH34.A_S98	BH06_S81	BSE79_S120	BH20_S88	BFH17_S135	BH31_S95	BH11_S85	BFH36_S154	BH22_S89	BFH38.B_S157	BH45_S106	BH61_S116	FH5_S166	BFH25_S143	BFH41_S160	BFH18_S136	BH59_S114	BH13_S86	BH03_S78	BH38_S103	BFH40_S159	BH33_S97	BH32_S96	BFH13_S131	BFH4_S124	BFH10_S128	BFH39_S158	BFH19_S137	BH37_S102	FH8_S169	BH04_S79	BH25_S91	BH01_S76	BFH23_S141	BH58_S113	BFH38.A_S156	BH14_S87	BSE74_S119	BH05_S80	BFH1_S123	FH3_S164	BH63_S118	BH48_S109	BFH34_S152	BFH28_S146	BH07_S82	BFH11_S129	BH44_S105	FH10_S171	FH9_S170	BFH27_S145	BFH29_S147	FH7_S168	BFH16_S134	FH4_S165	BH02_S77	BH29_S93	BH39_S104	BH60_S115	BH62_S117	BH27_S92	BFH26_S144	BH35_S100	BFH37_S155	FH2_S163	BFH42_S161	BH46_S107	BH24_S90	BH49_S110	BFH30_S148
k__Archaea	2157	2.29238	0	0.059629999999999996	0.02343	0.06072	0.0248	16.82945	0.2622	10.580630000000001	0.78457	0	0.14063	0.18328	0.16464	10.436010000000001	2.02989	0.20379	1.63115	1.7595900000000002	0	5.42968	14.447920000000002	3.40785	0	0.03094	1.59774	1.65917	0.15606	0	0.6964600000000001	0.29557	1.53312	0	2.0364400000000002	0	0.32434	21.11018	0.3145	0	0.07166	1.1702299999999999	14.96845	0.28302	0	0.12188	2.90158	1.2126299999999999	0.9283799999999999	0.9714799999999999	3.27066	5.35299	27.04399	1.29369	0.56476	6.92167	0.03433	0	0	0	0.02306	0.35462	0.3464	18.87859	0	4.78	23.86233	0.02592	0	1.96078	0.12689	1.40763	0	1.33435	23.9447	0	0	0	2.07682	0.01269	2.84884	0	0	1.91648	5.19864	0.19127	0.43987	0.30077	0.00671	2.1505799999999997	0.00716	0.04025	4.95184	2.471	0.38236	0.05356	1.18311
k__Archaea;p__Euryarchaeota	2157;28890	2.29238	0	0.059629999999999996	0.02343	0.06072	0.0248	16.82945	0.2622	10.580630000000001	0.78457	0	0.14063	0.18328	0.16464	10.436010000000001	2.02989	0.20379	1.63115	1.7595900000000002	0	5.42968	14.447920000000002	3.40785	0	0.03094	1.59774	1.65917	0.15606	0	0.6964600000000001	0.29557	1.53312	0	2.0364400000000002	0	0.32434	21.11018	0.3145	0	0.07166	1.1702299999999999	14.96845	0.28302	0	0.12188	2.90158	1.2126299999999999	0.9283799999999999	0.9714799999999999	3.27066	5.35299	27.04399	1.29369	0.56476	6.92167	0.03433	0	0	0	0.02306	0.35462	0.3464	18.87859	0	4.78	23.86233	0.02592	0	1.96078	0.12689	1.40763	0	1.33435	23.9447	0	0	0	2.07682	0.01269	2.84884	0	0	1.91648	5.19864	0.19127	0.43987	0.30077	0.00671	2.1505799999999997	0.00716	0.04025	4.95184	2.471	0.38236	0.05356	1.18311
k__Archaea;p__Euryarchaeota;c__Methanobacteria	2157;28890;183925	2.29238	0	0.059629999999999996	0.02343	0.0278	0.0248	0.66685	0.25105	6.54809	0.78457	0	0.11162000000000001	0.18328	0.12725999999999998	5.27745	0.5708300000000001	0.20379	1.63115	0.23885	0	2.72922	11.16038	3.36675	0	0.03094	0.94657	1.088	0.14742	0	0.6964600000000001	0.29557	1.08827	0	2.0364400000000002	0	0.11602	18.35568	0.27166	0	0.07166	1.0148	0.9029799999999999	0.28302	0	0.12188	0.54904	1.00995	0.65117	0	3.0060000000000002	5.35299	9.87389	1.2912700000000001	0.26482	0.58838	0.03433	0	0	0	0.02306	0.29245	0.10903	12.665569999999999	0	3.1809	1.3582100000000001	0.02592	0	1.34134	0.10633	0.81191	0	0.76039	20.217	0	0	0	0.47608	0.01269	1.96147	0	0	0.90555	0.54405	0.15569000000000002	0.40499	0.17732	0	0.17694000000000001	0.00469	0.04025	0.25545999999999996	2.36983	0.38236	0.029439999999999997	1.11179
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	2157;28890;183925;2158	2.29238	0	0.059629999999999996	0.02343	0.0278	0.0248	0.66685	0.25105	6.54809	0.78457	0	0.11162000000000001	0.18328	0.12725999999999998	5.27745	0.5708300000000001	0.20379	1.63115	0.23885	0	2.72922	11.16038	3.36675	0	0.03094	0.94657	1.088	0.14742	0	0.6964600000000001	0.29557	1.08827	0	2.0364400000000002	0	0.11602	18.35568	0.27166	0	0.07166	1.0148	0.9029799999999999	0.28302	0	0.12188	0.54904	1.00995	0.65117	0	3.0060000000000002	5.35299	9.87389	1.2912700000000001	0.26482	0.58838	0.03433	0	0	0	0.02306	0.29245	0.10903	12.665569999999999	0	3.1809	1.3582100000000001	0.02592	0	1.34134	0.10633	0.81191	0	0.76039	20.217	0	0	0	0.47608	0.01269	1.96147	0	0	0.90555	0.54405	0.15569000000000002	0.40499	0.17732	0	0.17694000000000001	0.00469	0.04025	0.25545999999999996	2.36983	0.38236	0.029439999999999997	1.11179
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	2157;28890;183925;2158;2159	2.29238	0	0.059629999999999996	0.02343	0.0278	0.0248	0.66685	0.25105	6.54809	0.78457	0	0.11162000000000001	0.18328	0.12725999999999998	5.27745	0.5708300000000001	0.20379	1.63115	0.23885	0	2.72922	11.16038	3.36675	0	0.03094	0.94657	1.088	0.14742	0	0.6964600000000001	0.29557	1.08827	0	2.0364400000000002	0	0.11602	18.35568	0.27166	0	0.07166	1.0148	0.9029799999999999	0.28302	0	0.12188	0.54904	1.00995	0.65117	0	3.0060000000000002	5.35299	9.87389	1.2912700000000001	0.26482	0.58838	0.03433	0	0	0	0.02306	0.29245	0.10903	12.665569999999999	0	3.1809	1.3582100000000001	0.02592	0	1.34134	0.10633	0.81191	0	0.76039	20.217	0	0	0	0.47608	0.01269	1.96147	0	0	0.90555	0.54405	0.15569000000000002	0.40499	0.17732	0	0.17694000000000001	0.00469	0.04025	0.25545999999999996	2.36983	0.38236	0.029439999999999997	1.11179
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	2157;28890;183925;2158;2159;2160	0.19507	0	0	0.02343	0	0.0248	0.52537	0.0005200000000000001	0	0	0	0.00464	0	0.04268	4.0609	0.5708300000000001	0	0.4995	0.16714	0	2.72922	4.542269999999999	0	0	0	0.38067	0.42221000000000003	0.02021	0	0	0	0.026330000000000003	0	0	0	0	18.312079999999998	0.16951	0	0.03113	0	0.67711	0	0	0.007520000000000001	0.04918	0.00179	0	0	0	0	0	0	0.25429	0.28386999999999996	0	0	0	0	0.02306	0	0	12.665569999999999	0	0	0.14399	0	0	0.74408	0.00809	0.81191	0	0.02108	20.217	0	0	0	0.02323	0	0.0308	0	0	0.90555	0.03258	0	0.29644000000000004	0	0	0	0	0	0.013430000000000001	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_congolense	2157;28890;183925;2158;2159;2160;118062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43993000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67374	0	0	0	0	0	0	0	0	0	0	0	0.00864	0	0	0	0	0	0	0	0	1.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_formicicum	2157;28890;183925;2158;2159;2160;2162	0.19507	0	0	0.02343	0	0.0248	0.49873999999999996	0.0005200000000000001	0	0	0	0.00464	0	0.04268	3.62097	0.5708300000000001	0	0.4995	0.16714	0	2.62115	4.542269999999999	0	0	0	0.38067	0.42221000000000003	0.02021	0	0	0	0.026330000000000003	0	0	0	0	18.312079999999998	0.16951	0	0.03113	0	0.0033799999999999998	0	0	0.007520000000000001	0.04918	0.00179	0	0	0	0	0	0	0.23973000000000003	0.28386999999999996	0	0	0	0	0.02306	0	0	10.633469999999999	0	0	0.14399	0	0	0.74408	0.00809	0.81191	0	0.02108	20.217	0	0	0	0.02323	0	0.0308	0	0	0.90555	0.03258	0	0.29644000000000004	0	0	0	0	0	0.013430000000000001	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_sp_Maddingley_MBC34	2157;28890;183925;2158;2159;2160;1220534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00592	0	0	0	0	0	0	0	0	0.03853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_subterraneum	2157;28890;183925;2158;2159;2160;59277	0	0	0	0	0	0	0.02663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21466999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
