clade_name	NCBI_tax_id	SWESTP57	SWESTP53	SWESTP49	SWESTP37	SWESTP35	SWESTP33	SWESTP31	SWESTP30	SWE41	SWE41a	SWE41a_2	SWE41a_1	Seafield	JTH	IRL69	IRL69_2	IRL69_1	FIN25	FIN25_2	FIN25_1	FH9_S170	FH8_S169	FH7_S168	FH6_S167	FH5_S166	FH4_S165	FH3_S164	FH2_S163	FH1_S162	FH10_S171	ESP75	ESP75_2	ESP75_1	DEU27	DEU27_2	DEU27_1	CP8	CP7	CP6	CP5	CP4	CP3	CP1	BSE93_S121	BSE79_S120	BSE74_S119	BSE100_S122	BH63_S118	BH62_S117	BH61_S116	BH60_S115	BH59_S114	BH58_S113	BH52_S112	BH50_S111	BH49_S110	BH48_S109	BH47_S108	BH46_S107	BH45_S106	BH44_S105	BH39_S104	BH38_S103	BH37_S102	BH36_S101	BH35_S100	BH34B_S99	BH34A_S98	BH33_S97	BH32_S96	BH31_S95	BH30_S94	BH29_S93	BH27_S92	BH25_S91	BH24_S90	BH22_S89	BH20_S88	BH14_S87	BH13_S86	BH11_S85	BH10_S84	BH09_S83	BH07_S82	BH06_S81	BH05_S80	BH04_S79	BH03_S78	BH02_S77	BH01_S76	BFH9_S127	BFH8_S126	BFH6_S125	BFH4_S124	BFH42_S161	BFH41_S160	BFH40_S159	BFH39_S158	BFH38B_S157	BFH38A_S156	BFH37_S155	BFH36_S154	BFH35_S153	BFH34_S152	BFH33_S151	BFH32_S150	BFH31_S149	BFH30_S148	BFH29_S147	BFH28_S146	BFH27_S145	BFH26_S144	BFH25_S143	BFH24_S142	BFH23_S141	BFH22_S140	BFH21_S139	BFH20_S138	BFH1_S123	BFH19_S137	BFH18_S136	BFH17_S135	BFH16_S134	BFH15_S133	BFH14_S132	BFH13_S131	BFH12_S130	BFH11_S129	BFH10_S128	ASMA3	ASMA2	ASMA1	AHMA5	AHMA4	AHMA3	AHMA2	AHMA1
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_congolense	2157;28890;183925;2158;2159;2160;118062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43993000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00864	0.67374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_formicicum	2157;28890;183925;2158;2159;2160;2162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02343	0	0	0	0	0.29644000000000004	0.16951	0	0	0	0.0248	3.62097	0	0.74408	0	0	18.312079999999998	20.217	0.03258	0.04918	0.28386999999999996	0.49873999999999996	0	0.38067	0.42221000000000003	0	0	0.026330000000000003	0.5708300000000001	0.90555	0	0	0	0	0	10.633469999999999	0	0	0	0	0	0.02021	0	0	0.007520000000000001	0	0	0	0.16714	0.4995	0	0.013430000000000001	0	0.00179	0	0	0	0	0	0	0.00809	0.0005200000000000001	0	0.04268	0	0.02323	0.81191	0	0	0.03113	0	0.02306	0	4.542269999999999	2.62115	0.14399	0.23974	0.0033799999999999998	0	0.0308	0.00464	0	0	0.19507	0.02108	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_sp_Maddingley_MBC34	2157;28890;183925;2158;2159;2160;1220534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10807	0	0.00592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_subterraneum	2157;28890;183925;2158;2159;2160;59277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02663	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21466999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_arboriphilus	2157;28890;183925;2158;2159;2172;39441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40549	0	0	0.04359	0	0	0.49986	0.30451	0.14148	0.17694000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	2157;28890;183925;2158;2159;2172;2173	0	0	0	0.04071	0.11470999999999999	0.09824	0.04732	0.19343	1.48114	0.49987	0.23315	0.22799	0.09872	0.05442	0.17534	0.00868	0.07244	0.29711	0.27931999999999996	0.04462	0	0.03433	0.01269	0.78457	0	0	0.02592	0.04025	0.03094	0	0.43275	0.80416	0.5061	0.81234	0	0.21141	0.60249	0.27848	0.13853	0.0333	0.03125	0.0442	0.01879	0	0	0	0	0	0.10855	0.10215	0.15569000000000002	0.28302	0.29245	0	1.13231	0.029439999999999997	0.19177	0.0278	2.3363099999999997	0	0	0.51147	0	0	0	0	0.5659	0.66579	0.65117	0	1.0619399999999999	0	0	0.15927	0	0.38236	0	0.6272399999999999	0	0	0	0	0	0	0.12721	2.8526700000000003	0	0.11435999999999999	0	0	5.33217	0.07171	1.04682	4.0252099999999995	0.24203000000000002	0.91445	0.8857700000000001	1.1036	0.09873	0.09709	0.00469	1.76378	0.05284	0.09824	0.23726	0.09871	0.08457999999999999	0.9565100000000001	0.39843	0	0	0	0.040530000000000004	0	0	0.18328	6.38978	0	1.15334	0.01054	0.22587	0.29557	1.83275	0.10697999999999999	3.31532	2.99625	2.09731	0.73931	8.792530000000001	0	0	0	0.9757899999999999	2.1956700000000002	0.02599	0.07139	1.1360299999999999
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_cuniculi	2157;28890;183925;2158;2159;2316;1077256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32823	0	0	0	0	0	0	0	0	0	0	0	0.00561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_stadtmanae	2157;28890;183925;2158;2159;2316;2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08424	0	0	0	0.033510000000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01805	0	0	0	0.06923	0	0	0	0	0	0	0	0	0	0	0	0	1.21591	0	0.08482999999999999	1.32778	0	0.10035	0.12239000000000001	0.18205	0.01729	0.011940000000000001	0	0.27266	0.006790000000000001	0	0.013269999999999999	0.10507999999999999	0	0.15529	0.05442	0	0	0	0	0	0	0	0.22834000000000002	0	0.06088	0	0	0	0.09792000000000001	0	0.05143	0.00975	0	0	1.08136	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__Methanocorpusculum_labreanum	2157;28890;224756;2191;88404;2192;83984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009179999999999999	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiales_unclassified;g__Methanomicrobiales_unclassified;s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_3	2157;28890;224756;2191;;;2013819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014369999999999999	0	0	0
