"r"	"p"	"p.ad"	"Gene"
-0.269526057633643	0.245007714030076	0.0274092019586136	"cepA_1_L13472"
-0.247525560488922	0.360311960651992	0.0434352899799269	"blaOXA-309_1_HF947514"
-0.280554860093814	0.198595755144241	0.021469811366945	"cfxA6_1_GQ342996"
-0.302623405014055	0.138837211138151	0.0128056629749903	"erm(B)_1_JN899585"
-0.258623512394579	0.295803438513918	0.0345851225953656	"erm(B)_2_K00551"
-0.26970227231168	0.245007714030076	0.0273044100251955	"erm(B)_6_AF242872"
-0.293195938828765	0.163307071779176	0.0160434660821241	"erm(B)_9_AF299292"
-0.300101786602965	0.146207459771295	0.0136109046633938	"erm(B)_10_U86375"
-0.298950685547374	0.148431150960647	0.0139927797815784	"erm(B)_11_M19270"
-0.282587639082509	0.191948551201004	0.0205041566919991	"erm(B)_12_U18931"
-0.251298279328741	0.339834176785981	0.0402377661059333	"erm(B)_15_U48430"
-0.297462468922854	0.152251623617907	0.0145001546302768	"erm(B)_18_X66468"
-0.292315361168691	0.165997362191701	0.0163789761064312	"erm(B)_21_U35228"
-0.251708469747048	0.338225403424775	0.0399021818712197	"mef(A)_3_AF227520"
-0.266221830868933	0.258941603992518	0.0294378056876951	"msr(C)_2_AF313494"
-0.261522908630361	0.2809179888711	0.0325387631897028	"erm(B)_22_X52632"
-0.289505120249992	0.171301771299502	0.0174902709434927	"erm(B)_26_AF080450"
-0.265299907313698	0.261157374147805	0.0300258156463371	"erm(B)_23_X72021"
-0.25974573363682	0.290563769545154	0.0337806870642371	"catS_1_X74948"
-0.241320710645263	0.39779393427173	0.0491482853154261	"cfr(C)_1_KX686749"
-0.336327032247944	0.0682919810624134	0.00539070120784387	"tet(O/32/O)_4_AIOQ01000025"
-0.341228525583658	0.0607263965082228	0.00471534867781567	"tet(40)_1_FJ158002"
-0.288016477472765	0.17511198817078	0.0181046714496602	"tet(40)_2_AM419751"
-0.297058462243977	0.15235370338983	0.0146405961215452	"tet(O)_1_M18896"
-0.26948562188701	0.245007714030076	0.0274332961655298	"tet(O)_2_M20925"
-0.402830657595181	0.0136424789234448	0.000725726034537602	"tet(O)_3_Y07780"
-0.307037532404338	0.128204307664725	0.0114949379244648	"tet(W)_1_DQ060146"
-0.319623410167753	0.0990684441293141	0.00837551181537436	"tet(W)_2_AY049983"
-0.326421779272745	0.0854293853470677	0.00702049249468665	"tet(W)_3_AJ427421"
-0.308923656306021	0.124146714094105	0.0109713526827051	"tet(W)_4_FN396364"
-0.31269824126655	0.114097635631966	0.00998537866534583	"tet(W)_5_AJ427422"
-0.272305046062061	0.233966056884745	0.0257954854651993	"tet(O/W)_1_AM889118"
-0.306646299581342	0.128218424061242	0.0116062151338147	"tet(O/W)_2_AM889119"
-0.291004162702538	0.16936194000051	0.0168897059742931	"tet(O/W)_3_AM889120"
-0.264292187104463	0.265853531009244	0.0306797940117918	"tet(O/W)_4_AM889121"
-0.28675756892973	0.178059460872071	0.0186385707648157	"tet(O/W)_5_AM889122"
-0.297257985291027	0.152310382176477	0.0145710919027689	"tet(O/W/O)-3_1_EF065524"
-0.319850907900621	0.0990284526464022	0.00832671673903682	"tet(O/W/O)-1_1_AY196921"
-0.295283781075542	0.156827041256773	0.0152714703221819	"tet(O/W/32/O)_1_EF065523"
-0.30450050355394	0.133876939256691	0.012233285311744	"tet(O/W/32/O)_2_FM164392"
-0.352255021979225	0.0471973622629121	0.00346235476059973	"tet(O/W/32/O)_5_JQ740053"
-0.371150358256112	0.0300851929576528	0.00198761034555064	"tet(O/W/32/O/W/O)_1_DQ525023"
-0.272307388557939	0.233966056884745	0.0257941598265337	"tet(O/W/32/O/W/O)_2_DQ679926"
-0.350768623811189	0.0483863183059178	0.00361184872811227	"tet(O/32/O)_3_NZ_AUJS01000017"
-0.351517451964731	0.0479187718356733	0.00353583387204454	"tet(O/32/O)_5_FP929050"
-0.341523703580697	0.0605694496671057	0.00467717758047148	"tet(W/32/O)_1_AM710601"
-0.384213369904445	0.0213453599847008	0.00132778944563776	"tet(W/32/O)_2_AM710602"
-0.29528148063017	0.156827041256773	0.0152723030310114	"tet(W/32/O)_3_AM710603"
-0.273488987960155	0.229743139878826	0.02513277591982	"tet(W/32/O)_4_AM710605"
