"r"	"p"	"p.ad"	"Gene"
0.359861478852756	0.0405027963114328	0.00278011471893147	"aac(6')-Ib_2_M23634"
0.389737287664311	0.0189533698199696	0.00111394751837659	"aac(6')-Ib11_1_AY136758"
0.380806006379167	0.0232702803014268	0.00147747811437631	"aac(6')-30-aac(6')-Ib'_1_AJ584652"
0.394860712992258	0.0165439055795941	0.000943946564601466	"aac(6')-Ib-Hangzhou_1_FJ503047"
0.359256110620936	0.0409683596546474	0.0028296464626333	"aac(6')-Ib-Suzhou_1_EU085533"
0.247687629429877	0.360311960651992	0.04329374660256	"aadA13_2_NC010643"
0.324334535107642	0.0895495586107165	0.00741444221873372	"aadA2_1_NC_010870"
0.584357401229616	6.65660944778271e-06	2.08465246541458e-07	"aph(6)-Id_1_M28829"
0.530788589126428	0.000100240367372335	3.82728129392441e-06	"aph(6)-Id_3_AB109805"
0.603227339793519	2.35622432330124e-06	6.57033809586361e-08	"aph(6)-Id_4_CP000971"
0.58672419347976	5.86259870192108e-06	1.81084129789068e-07	"aph(6)-Id_5_18676889"
0.517979295967426	0.00018106231123689	7.14617444607204e-06	"aph(3'')-Ib_1_M28829"
0.575652329604882	1.03581625751339e-05	3.46605182694312e-07	"aph(3'')-Ib_3_AF321550"
0.583568639730249	6.88044609368303e-06	2.18426860116922e-07	"aph(3'')-Ib_4_AF313472"
0.705029516115475	1.48742432317358e-09	2.7438543928127e-11	"ant(2'')-Ia_2_JF826500"
0.65324677268187	9.30239638781125e-08	2.07518066137359e-09	"ant(2'')-Ia_3_X74412"
0.749306993928869	2.00894505414642e-11	3.01643401523486e-13	"ant(2'')-Ia_4_AF458082"
0.630122837658366	4.29986408722002e-07	1.10678612283656e-08	"ant(2'')-Ia_5_AY139594"
0.688945417778678	5.86410192623676e-09	1.15722303134659e-10	"ant(2'')-Ia_6_AJ871915"
0.646879245625692	1.46782073933579e-07	3.33738735241513e-09	"ant(2'')-Ia_7_DQ018384"
0.612283109674999	1.38152359417811e-06	3.67458013037507e-08	"ant(2'')-Ia_8_AY920928"
0.71739029518202	4.94816938356831e-10	8.49106715327037e-12	"ant(2'')-Ia_9_HM367610"
0.712000496480208	8.11151325507128e-10	1.42673549316998e-11	"ant(2'')-Ia_10_HM367617"
0.726553751716834	2.15256887632574e-10	3.41677599416785e-12	"ant(2'')-Ia_11_HM367620"
0.628982885533811	4.57687409938902e-07	1.19772338079249e-08	"ant(2'')-Ia_12_HQ880250"
0.73137079286071	1.35083928329513e-10	2.08623827535928e-12	"ant(2'')-Ia_13_DQ176450"
0.636003742131176	3.04975635952349e-07	7.32674200486124e-09	"ant(2'')-Ia_14_DQ266447"
0.575794114915323	1.03581625751339e-05	3.43787264381999e-07	"ant(2'')-Ia_15_EF205594"
0.640801475281934	2.20342567082935e-07	5.19898806930992e-09	"ant(2'')-Ia_16_HQ386848"
0.660323030857276	5.63004508233319e-08	1.20764587780635e-09	"ant(2'')-Ia_17_JTTZ01000034"
0.723584268981685	2.75379730436464e-10	4.60738287731536e-12	"ant(2'')-Ia_19_GQ466184"
0.564071494312747	1.84981025898558e-05	6.66598291526333e-07	"ant(2'')-Ia_1_X04555"
0.299117961305913	0.148431150960647	0.0139367192685821	"aph(3')-XV_2_GQ626879"
0.341600628099994	0.0605694496671057	0.00466727503039967	"aph(3')-XV_3_EU165039"
0.394861597654174	0.0165439055795941	0.000943919358698441	"aac(3)-Ib-aac(6')-Ib'_1_AF355189"
0.372072132414074	0.0296415290594313	0.00193286675977415	"aac(6')-Ib_1_M21682"
0.525472692215573	0.000127430960265611	4.97478223259142e-06	"aac(6')-IIc_1_NC_012555"
0.349262527232943	0.0502049990787361	0.00376914407498019	"aac(6')-Ib3_1_X60321"
0.847942427218828	1.05139218254926e-17	1.39824786182012e-19	"ant(3'')-Ia_1_X02340"
0.396121805625265	0.0162430660949396	0.000905876701991485	"aadA1_2_FJ591054"
0.392967039388491	0.0173328887932105	0.00100383525829405	"aadA1_3_JQ414041"
0.395539522257572	0.0164287196609186	0.000923278539502503	"aadA1_4_JQ480156"
0.326334151883633	0.0854293853470677	0.00703665464892192	"aadA1_5_JX185132"
0.314476217213218	0.110183485590245	0.00954829004256953	"aadA2_2_JQ364967"
0.318726980878276	0.100387887399544	0.00857022290540937	"aadA3_1_AF047479"
0.266250124219556	0.258941603992518	0.0294199140825263	"aadA5_1_AF137361"
0.311626579752341	0.116631327238403	0.0102571523311337	"aadA8_1_AF326210"
0.31305735244083	0.113630164105496	0.00989571999717535	"aadA8b_2_AM040708"
0.460753087003934	0.00193682804270679	8.72445064282338e-05	"aadA12_1_AY665771"
0.537042270334686	7.48930519618814e-05	2.79523617360947e-06	"aadA15_1_DQ393783"
0.417143654831287	0.00864714581747151	0.000445155511838945	"aadA17_1_FJ460181"
0.406301967955272	0.0123406165564972	0.000645883835217785	"aadA21_1_AY171244"
0.451004747221044	0.00278925342621335	0.000128035228058699	"aadA22_1_AM261837"
0.448408344775097	0.00299922660693844	0.00014153364511507	"aadA23_1_AJ809407"
0.370406769022373	0.0305703879210505	0.00203277997759023	"ant(3'')-Ii-aac(6')-IId_1_AF453998"
0.379720772113795	0.0239083368466243	0.0015282463278194	"aph(2'')-Id_1_AF016483"
0.303999281857945	0.134892050469854	0.0123839119693474	"aph(3')-Vc_1_S81599"
0.298234307640722	0.15014456056997	0.0142350698781482	"aph(3')-XV_1_Y18050"
0.248542726192958	0.355525401396775	0.0425532333718147	"rmtB_1_AB103506"
0.580130699033476	8.19922182804388e-06	2.67327695809239e-07	"aph(3'')-Ib_2_AF024602"
0.533793910260231	8.72381830720566e-05	3.29341918075546e-06	"aph(3'')-Ib_5_AF321551"
0.571873507939287	1.25361156339322e-05	4.30239918796472e-07	"aph(6)-Id_2_AF024602"
0.386372846355768	0.0202397334057892	0.00124014137318127	"aadA24_1_DQ677333"
0.308416155140339	0.125110039550697	0.0111101579523785	"aadA8b_1_AY139603"
0.315902086635689	0.107341319837216	0.00920989445192761	"aadA2b_1_D43625"
0.689892216373197	5.52163194502388e-09	1.06595211293897e-10	"blaOXA-368_1_KT736121"
0.289988459680596	0.170241359252462	0.0172946630752792	"blaOXA-392_1_AB901044"
0.331884075085901	0.076135097406316	0.00607513003756962	"blaOXA-415_1_KJ865754"
0.707116635594967	1.25453795321423e-09	2.26042874453015e-11	"blaOXA-454_1_LC037981"
0.634389095602405	3.30057832090735e-07	8.21250719058886e-09	"blaOXA-520_1_KX388630"
0.400445462274278	0.0145348515452192	0.000785667651092931	"blaOXA-539_1_KY094077"
0.390021626137178	0.0189193766999655	0.001103833218016	"blaOXA-540_1_KJ138219"
0.358510645046936	0.0413533882566149	0.00289172127234158	"blaOXA-541_1_FM179467"
0.243552563210194	0.384625523973352	0.0470262867148885	"blaSGM-2_1_AP010803"
0.320083684879029	0.0990284526464022	0.00827704659267177	"blaCMY-41_1_AB429270"
0.330215312211067	0.0791704339618626	0.00635129607501858	"blaCMY-48_1_HM569226"
0.393874966026607	0.0169555138640036	0.000974705644691756	"blaCMY-68_1_JN714480"
0.289952956928315	0.170241359252462	0.0173089670282426	"blaCMY-76_1_JQ733573"
0.246838006258641	0.364032928352955	0.0440400196463034	"blaCMY-80_1_JQ733577"
0.348670957593603	0.0507597920983005	0.00383257117516126	"blaCMY-110_1_AB872957"
0.27161622281474	0.236603735226911	0.0261878008101858	"blaCTX-M-32_2_AJ557142"
0.286549683478174	0.178183694918672	0.018728015982443	"blaCTX-M-36_1_AB177384"
0.463503567585159	0.00175116671350342	7.8130132219801e-05	"blaCTX-M-58_1_EF210159"
0.469418092031678	0.00141775750319275	6.14300762859151e-05	"blaCTX-M-61_1_EF219142"
0.361521133391474	0.0388575935938	0.00264826311964514	"blaOXA-2_2_GQ466184"
0.375510127561075	0.0270460016817984	0.00174041194863567	"blaOXA-2_1_DQ112222"
0.327936094873326	0.0832042021529258	0.00674628666104804	"blaOXA-3_1_L07945"
0.574230975411485	1.1096816142931e-05	3.76082571982648e-07	"blaOXA-10_1_J03427"
0.662508195550116	4.84631513876341e-08	1.01874492406438e-09	"blaOXA-11_1_Z22590"
0.65364282564238	9.2051735717379e-08	2.01400193976247e-09	"blaOXA-14_1_KJ420612"
0.339057376728445	0.0640983511563401	0.00500467606626079	"blaOXA-15_1_U63835"
0.632511381259598	3.70208005272167e-07	9.370344191788e-09	"blaOXA-16_1_AF043100"
0.635578634726443	3.08784719858999e-07	7.5507203054324e-09	"blaOXA-17_1_DQ902344"
0.287397491554034	0.176900976979513	0.0183655239935831	"blaOXA-21_1_AB626885"
0.347620595606052	0.0519869103058481	0.00394752600777997	"blaOXA-32_1_AF315351"
0.388534084440338	0.0195547207258578	0.00115767973409197	"blaOXA-34_1_AF350424"
0.396127348576142	0.0162430660949396	0.000905712484061306	"blaOXA-36_1_AF300985"
0.265438043068062	0.261157374147805	0.0299370886607711	"blaOXA-47_1_AY237830"
0.591362837180869	4.69502451144289e-06	1.36963392011204e-07	"blaOXA-74_1_EU161636"
0.68391038543603	8.83816138540263e-09	1.782040262179e-10	"blaOXA-129_1_FJWZ01000025"
0.375233820389088	0.0270954470735056	0.00175521772119234	"blaOXA-141_1_EF552405"
0.691886677684579	4.74486478058699e-09	8.95641571625172e-11	"blaOXA-142_1_LC169567"
0.425419587474362	0.00661879306216129	0.000332217412386474	"blaOXA-161_1_GQ202693"
0.387214311986604	0.0199610595964246	0.00120742574135387	"blaOXA-210_1_JF795487"
0.3878446290815	0.0198458934217308	0.00118343165406288	"blaOXA-226_1_FJ617207"
0.645108839415152	1.64087053025603e-07	3.8012444716356e-09	"blaOXA-233_1_KJ657570"
0.600458433227408	2.76182757273381e-06	7.81984640928492e-08	"blaOXA-240_1_JX089628"
0.682676233807336	9.60749490838478e-09	1.97837732991192e-10	"blaOXA-251_1_JN118546"
0.724558880724897	2.56321032101269e-10	4.17854964386453e-12	"blaOXA-256_1_HE616889"
0.329679994586313	0.0798763514251155	0.00644219393733235	"blaOXA-372_1_KJ746496"
0.283986605411318	0.186680134556454	0.019861292737023	"blaSHV-2a_1_X98102"
0.333795442439812	0.0727251980201665	0.00577184111271162	"blaSHV-104_1_EU274581"
0.285321644926943	0.181798278742672	0.0192639102743201	"blaSHV-147_1_JX121114"
0.246445404204805	0.36561636245789	0.0443884301053551	"blaSHV-152_1_JX121119"
0.290383231194404	0.169977430668654	0.0171362918091521	"blaVEB-1_1_HM370393"
0.434290762198852	0.00483747334144233	0.0002407322640958	"blaVEB-1_3_DQ393569"
0.356423085647739	0.0430174145099196	0.00307206067451302	"blaVEB-1_4_AF324834"
0.355859720573988	0.0430715513986074	0.00312241387167602	"blaVEB-2_1_AY027870"
0.29580563404739	0.156265862704585	0.0150835774811376	"blaVEB-3_1_AY536519"
0.356371881896542	0.0430174145099196	0.00307660716801991	"blaVEB-4_1_EF136375"
0.371849915200301	0.0296469522515657	0.00194593895087497	"blaVEB-5_1_EF420108"
0.363668478738339	0.0369094105384573	0.00248596201395873	"blaVEB-6_1_EU259884"
