"Class"	"Cluster_name"	"Gene"
"Betalactam"	"blaOXA-370_1_clust"	"blaOXA-162_1_GU197550"
"Betalactam"	"blaOXA-370_1_clust"	"blaOXA-163_1_HQ700343"
"Betalactam"	"blaOXA-49_1_clust"	"blaOXA-165_1_HM488986"
"Betalactam"	"blaOXA-49_1_clust"	"blaOXA-166_1_HM488987"
"Betalactam"	"blaOXA-49_1_clust"	"blaOXA-167_1_HM488988"
"Betalactam"	"blaOXA-49_1_clust"	"blaOXA-168_1_HM488989"
"Betalactam"	"blaOXA-49_1_clust"	"blaOXA-169_1_HM488990"
"Betalactam"	"blaOXA-49_1_clust"	"blaOXA-170_1_HM488991"
"Betalactam"	"blaOXA-49_1_clust"	"blaOXA-171_1_HM488992"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-174_1_HM113560"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-179_1_HM570035"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-180_1_HM570036"
"Betalactam"	"blaOXA-370_1_clust"	"blaOXA-199_1_JN704570"
"Betalactam"	"blaOXA-370_1_clust"	"blaOXA-204_1_KP027885"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-206_1_AB634250"
"Betalactam"	"blaOXA-437_1_clust"	"blaOXA-207_1_LLFS01000355"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-208_1_KF305665"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-217_1_JN603240"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-219_1_JN215211"
"Betalactam"	"blaOXA-49_1_clust"	"blaOXA-225_1_JN638887"
"Betalactam"	"blaOXA-370_1_clust"	"blaOXA-232_1_JX423831"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-234_1_NG_050607"
"Betalactam"	"blaOXA-537_1_clust"	"blaOXA-235_1_JQ820240"
"Betalactam"	"blaOXA-537_1_clust"	"blaOXA-237_1_JQ820241"
"Betalactam"	"blaOXA-49_1_clust"	"blaOXA-239_1_JQ837239"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-241_1_JX025021"
"Betalactam"	"blaOXA-370_1_clust"	"blaOXA-244_1_KP659189"
"Betalactam"	"blaOXA-370_1_clust"	"blaOXA-245_1_JX438001"
"Betalactam"	"blaOXA-370_1_clust"	"blaOXA-247_1_JX893517"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-248_1_HE963769"
"Betalactam"	"blaOXA-418_1_clust"	"blaOXA-355_1_KF297584"
"Betalactam"	"blaOXY-1-1_1_clust"	"blaOXY-1-5_5_AY077486"
"Betalactam"	"blaRAHN-1_1_clust"	"blaRAHN-1_1_GU645205"
"Betalactam"	"blaSHV-100_1_clust"	"blaSHV-16_1_AF072684"
"Betalactam"	"blaSHV-100_1_clust"	"blaSHV-43_1_AY065991"
"Betalactam"	"blaSHV-100_1_clust"	"blaSHV-63_1_EU342351"
"Aminoglycoside"	"aac(3)-VIa_1_clust"	"aac(3)-VIa_1_M88012"
"Betalactam"	"blaSHV-100_1_clust"	"blaSHV-92_1_DQ836922"
"Betalactam"	"blaSHV-100_1_clust"	"blaSHV-96_1_EF373971"
"Betalactam"	"blaSHV-100_1_clust"	"blaSHV-99_1_AM941845"
"Betalactam"	"blaSHV-100_1_clust"	"blaSHV-150_1_JX121117"
"Betalactam"	"blaSHV-100_1_clust"	"blaSHV-158_1_JX121125"
"Aminoglycoside"	"aac(6')-Ip_1"	"aac(6')-Ip_1_Z54241"
"Betalactam"	"blaTEM-1A_1_clust"	"blaTEM-194_1_JN935136"
"Betalactam"	"blaTEM-1A_1_clust"	"blaTEM-195_1_JN935137"
"Aminoglycoside"	"aac(6')-Iw_1"	"aac(6')-Iw_1_AF031331"
"Aminoglycoside"	"aac(6')-Iz_2_clust"	"aac(6')-Iz_1_AF140221"
"Betalactam"	"hugA_1"	"hugA_1_AF324468"
"Betalactam"	"blaDIM-1_1"	"blaDIM-1_1_GU323019"
"Betalactam"	"blaTUS-1_1"	"blaTUS-1_1_AF441287"
"Aminoglycoside"	"aac(6')-Iq_1_clust"	"aac(6')-Iaf_1_AB462903"
"Aminoglycoside"	"aac(6')-Iai_1"	"aac(6')-Iai_1_EU886977"
"Betalactam"	"blaTRU_1"	"blaTRU_1_EU046614"
"Betalactam"	"blaB-2_1_clust"	"blaB-3_2_AF189299"
"Aminoglycoside"	"aac(6')-31_1"	"aac(6')-31_1_AM283489"
"Betalactam"	"blaZ_29_clust"	"blaZ_7_AP004832"
"Betalactam"	"blaZ_29_clust"	"blaZ_9_DQ269019"
"Betalactam"	"blaZ_29_clust"	"blaZ_11_AJ400722"
"Betalactam"	"cfiA1_1_clust"	"cfiA1_1_AB087225"
"Betalactam"	"cfiA1_1_clust"	"cfiA3_1_AB087228"
"Betalactam"	"cfiA1_1_clust"	"cfiA8_1_AB087233"
"Betalactam"	"cfiA1_1_clust"	"cfiA9_1_AB087234"
"Betalactam"	"cfiA1_1_clust"	"cfiA10_1_AB087227"
"Betalactam"	"blaIMP-37_1_clust"	"blaIMP-19_1_EF118171"
"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-1_1_Y18050"
"Betalactam"	"blaVIM-7_1"	"blaVIM-7_1_AJ536835"
"Betalactam"	"blaVIM-13_1_clust"	"blaVIM-13_1_DQ365886"
"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-19_1_FJ499397"
"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-29_1_JX311308"
"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-34_1_JX013656"
"Betalactam"	"blaOXA-266_1"	"blaOXA-266_1_APPO01000008"
"Betalactam"	"mecB_1"	"mecB_1_NC_011996"
"Betalactam"	"mecA1_1_clust"	"mecA1_5_AB547234"
"Betalactam"	"mecD_1"	"mecD_1_KY013611"
"Betalactam"	"blaOXA-370_1_clust"	"blaOXA-546_1_KY682756"
"Betalactam"	"blaOXA-370_1_clust"	"blaOXA-547_1_KY684124"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-555_1_KY126224"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-556_1_KY126231"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-557_1_KY126232"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-560_1_KY126238"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-561_1_KY126240"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-562_1_KY126241"
"Betalactam"	"blaOXA-49_1_clust"	"blaOXA-565_1_KY883665"
"Betalactam"	"blaOXA-370_1_clust"	"blaOXA-566_1_MF099636"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-314_1_KF057031"
"Betalactam"	"blaOXA-370_1_clust"	"blaOXA-252_1_NG_050608"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-259_1_KF057028"
"Betalactam"	"blaOXA-409_1_clust"	"blaOXA-262_1_APRA01000005"
"Betalactam"	"blaOXA-214_1_clust"	"blaOXA-265_1_APQR01000003"
"Betalactam"	"blaOXA-49_1_clust"	"blaOXA-102_1_NZ_LWGP01000001"
"Betalactam"	"blaOXA-49_1_clust"	"blaOXA-103_1_APQF01000011"
"Betalactam"	"blaZ_29_clust"	"blaZ_14_JBAG01000015"
"Betalactam"	"blaZ_29_clust"	"blaZ_26_JBJP01000007"
"Betalactam"	"blaZ_29_clust"	"blaZ_30_JGUQ01000012"
"Betalactam"	"blaZ_29_clust"	"blaZ_31_JIFU01000008"
"Betalactam"	"blaZ_29_clust"	"blaZ_33_JIXQ01000012"
"Betalactam"	"blaZ_29_clust"	"blaZ_43_NZ_CAVU010000015"
"Betalactam"	"blaZ_29_clust"	"blaZ_45_CP010941"
"Betalactam"	"blaZ_29_clust"	"blaZ_47_NZ_JYGF01000020"
"Betalactam"	"blaZ_29_clust"	"blaZ_64_CSJB01000017"
"Betalactam"	"blaZ_29_clust"	"blaZ_68_NZ_CUHK01000055"
"Betalactam"	"blaZ_29_clust"	"blaZ_72_NZ_CUHG01000035"
"Betalactam"	"blaZ_29_clust"	"blaZ_73_CYNA01000004"
"Betalactam"	"blaZ_29_clust"	"blaZ_81_FGJZ01000020"
"Betalactam"	"blaZ_29_clust"	"blaZ_82_FGSJ01000003"
"Betalactam"	"blaZ_29_clust"	"blaZ_92_FKWG01000001"
"Betalactam"	"blaZ_29_clust"	"blaZ_97_FMOK01000003"
"Betalactam"	"blaZ_29_clust"	"blaZ_104_FQHI01000006"
"Betalactam"	"blaZ_29_clust"	"blaZ_107_FQDM01000011"
"Betalactam"	"blaZ_29_clust"	"blaZ_41_AENR01000015"
"Betalactam"	"blaZ_29_clust"	"blaZ_115_FN433596"
"Betalactam"	"blaZ_29_clust"	"blaZ_118_NC_004461"
"Betalactam"	"blaZ_29_clust"	"blaZ_125_CP003194"
"Betalactam"	"blaZ_29_clust"	"blaZ_132_AHVO01000010"
"Betalactam"	"blaZ_29_clust"	"blaZ_135_AB811795"
"Aminoglycoside"	"aadK_1"	"aadK_1_M26879"
"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-42_1_KP071470"
"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-39_1_KF131539"
"Aminoglycoside"	"ant(4')-Ib_1"	"ant(4')-Ib_1_AJ506108"
"Betalactam"	"blaIMP-1_1_clust"	"blaIMP-60_1_LC159227"
"Betalactam"	"blaIMP-1_1_clust"	"blaIMP-59_1_KX196782"
"Aminoglycoside"	"ant(4')-IIb_1"	"ant(4')-IIb_1_AY114142"
"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-57_1_MH450217"
"Betalactam"	"blaCTX-M-25_1_clust"	"blaCTX-M-160_1_KP050493"
