"Class"	"Cluster_name"	"Gene"
"Aminoglycoside"	"aac(6')-Iih_1"	"aac(6')-Iih_1_AJ584701"
"Betalactam"	"blaOXA-418_1_clust"	"blaOXA-230_1_JQ422054"
"Betalactam"	"blaOXA-418_1_clust"	"blaOXA-257_1_KC567681"
"Betalactam"	"blaOXA-496_1_clust"	"blaOXA-335_1_KF203109"
"Betalactam"	"blaOXY-1-1_1_clust"	"blaOXY-1-2_2_AJ871864"
"Betalactam"	"blaOXY-1-1_1_clust"	"blaOXY-1-3_3_AY077482"
"Betalactam"	"blaOXY-1-1_1_clust"	"blaOXY-1-7_7_M27459"
"Betalactam"	"blaOXY-2-1_1_clust"	"blaOXY-2-2_2_AJ871867"
"Betalactam"	"blaOXY-2-1_1_clust"	"blaOXY-2-4_4_Y17714"
"Betalactam"	"blaOXY-2-1_1_clust"	"blaOXY-2-5_5_AY077487"
"Betalactam"	"blaOXY-2-1_1_clust"	"blaOXY-2-8_8_AY055205"
"Betalactam"	"blaOXY-2-1_1_clust"	"blaOXY-2-9_9_FJ785625"
"Betalactam"	"blaOXY-2-1_1_clust"	"blaOXY-2-10_10_FJ785626"
"Betalactam"	"blaOXY-3-1_1"	"blaOXY-3-1_1_AF491278"
"Betalactam"	"blaOXY-1-1_1_clust"	"blaOXY-5-1_1_AJ871868"
"Betalactam"	"blaOXY-1-1_1_clust"	"blaOXY-5-2_2_AJ871871"
"Betalactam"	"blaOXY-1-1_1_clust"	"blaOXY-6-1_1_AJ871873"
"Betalactam"	"blaOXY-1-1_1_clust"	"blaOXY-6-2_2_AJ871875"
"Betalactam"	"blaPER-2_1"	"blaPER-2_1_X93314"
"Aminoglycoside"	"aac(6')-Ij_1"	"aac(6')-Ij_1_L29045"
"Aminoglycoside"	"aac(6')-Ir_1"	"aac(6')-Ir_1_AF031326"
"Aminoglycoside"	"aac(6')-Ih_2_clust"	"aac(6')-Iv_1_AF031330"
"Betalactam"	"blaKHM-1_1"	"blaKHM-1_1_AB364006"
"Betalactam"	"blaFONA-6_1_clust"	"blaSFO-1_1_AB003148"
"Betalactam"	"blaERP-1_1"	"blaERP-1_1_AY077733"
"Betalactam"	"blaJOHN-1_1"	"blaJOHN-1_1_AY028464"
"Betalactam"	"blaCGB-1_1"	"blaCGB-1_1_EF672680"
"Betalactam"	"blaIMP-1_1_clust"	"blaIMP-3_1_AB010417"
"Betalactam"	"blaIMP-14_1_clust"	"blaIMP-14_1_AY553332"
"Betalactam"	"blaIMP-37_1_clust"	"blaIMP-20_1_AB196988"
"Betalactam"	"blaIMP-58_1_clust"	"blaIMP-29_1_HQ438058"
"Betalactam"	"blaIMP-37_1_clust"	"blaIMP-33_1_JN848782"
"Betalactam"	"blaIMP-1_1_clust"	"blaIMP-34_1_AB715422"
"Aminoglycoside"	"aac(6')-Ix_1_clust"	"aac(6')-Ix_1_AF031332"
"Betalactam"	"blaNMC-A_1_clust"	"blaIMI-1_1_U50278"
"Betalactam"	"blaNMC-A_1_clust"	"blaIMI-2_1_DQ173429"
"Betalactam"	"blaNMC-A_1_clust"	"blaIMI-3_1_GU015024"
"Betalactam"	"blaOXA-275_1_clust"	"blaOXA-275_1_APPJ01000001"
"Betalactam"	"blaOXA-551_1_clust"	"blaOXA-548_1_KY682750"
"Betalactam"	"blaOXA-551_1_clust"	"blaOXA-549_1_KY682751"
"Betalactam"	"blaOXA-551_1_clust"	"blaOXA-550_1_KY682752"
"Betalactam"	"blaOXA-551_1_clust"	"blaOXA-551_1_KY682753"
"Betalactam"	"blaOXA-551_1_clust"	"blaOXA-552_1_KY682754"
"Betalactam"	"blaOXA-551_1_clust"	"blaOXA-553_1_KY682755"
"Betalactam"	"blaOXA-418_1_clust"	"blaOXA-300_1_APPK01000054"
"Betalactam"	"blaOXA-418_1_clust"	"blaOXA-301_1_APQG01000050"
"Betalactam"	"blaOXA-496_1_clust"	"blaOXA-282_1_APQS01000019"
"Betalactam"	"blaOXA-496_1_clust"	"blaOXA-283_1_AYHO01000005"
"Betalactam"	"blaIMP-37_1_clust"	"blaIMP-23_1_DQ417222"
"Betalactam"	"blaIMP-58_1_clust"	"blaIMP-21_1_AB204557"
"Betalactam"	"blaIMP-14_1_clust"	"blaIMP-54_1_KU052795"
"Betalactam"	"blaIMP-1_1_clust"	"blaIMP-52_1_LC055762"
"Betalactam"	"blaIMP-1_1_clust"	"blaIMP-61_1_KX462700"
"Betalactam"	"blaIMP-58_1_clust"	"blaIMP-68_1_MF669572"
"Betalactam"	"blaIMP-1_1_clust"	"blaIMP-6_1_AB753460"
"Betalactam"	"blaIMP-1_1_clust"	"blaIMP-10_1_AB074435"
"Betalactam"	"blaIMP-1_1_clust"	"blaIMP-25_1_EU541448"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-13_1_HQ342889"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-12_1_HQ641422"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-22_1_KM379100"
