"Accession"	"Gene"	"Description"	"Class"	"Reference"
"VFG006089(gi:116628183)"	"STER_1444"	"dTDP-4-dehydrorhamnose_reductase_"	"Capsule_(CVF186)_"	"Streptococcus_thermophilus_LMD-9"
"VFG038556(gb|YP_855988)"	"flp1"	"Flp_pilus_pilin_subunit_"	"Flp_type_IV_pili_(CVF784)_"	"Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966"
"VFG021095(gi:197247791)"	"misL"	"outer_membrane_autotransporter_barrel_domain_"	"MisL_(CVF008)_"	"Salmonella_enterica_subsp._enterica_serovar_Agona_str._SL483"
"VFG014751(gi:71733957)"	"algD"	"alginate_biosynthesis_protein_AlgD_"	"Alginate_biosynthesis_(CVF522)_"	"Pseudomonas_syringae_pv._phaseolicola_1448A"
"VFG009268(gi:120401816)"	"icl"	"isocitrate_lyase_"	"Isocitrate_lyase_(CVF302)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG000478(gi:16764063)"	"fur"	"transcriptional_repressor_of_iron-responsive_genes_(Fur_family)(ferric_uptake_regulator"	"ND"	"ND"
"VFG015477(gi:26989816)"	"PP_3097"	"hypothetical_protein_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_putida_KT2440"
"VFG031310(gi:120401215)"	"mmpL11"	"MmpL11_"	"Heme_uptake_(CVF668)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG014474(gi:152987058)"	"fliK"	"hypothetical_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_aeruginosa_PA7"
"VFG038149(gi:384141341)"	"ABZJ_00095"	"glucose-6-phosphate_isomerase_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_MDR-ZJ06"
"VFG040932(gi:75994479)"	"etpD"	"type_II_secretion_protein_"	"etp_(SS207)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG044087(gi:15597584)"	"fpvR"	"FpvR_"	"pyoverdine_(IA001)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG001295(gb|NP_645748)"	"sspB"	"staphopain_cysteine_proteinase_SspB_"	"Staphopain_(VF0006)_"	"Staphylococcus_aureus_subsp._aureus_MW2"
"VFG038857(gb|YP_001140278)"	"fliP"	"flagellar_biosynthesis_protein_FliP_"	"Lateral_flagella_(VF0474)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG033086(gi:386641958)"	"papG"	"p_pilus_adhesin_PapG_protein_"	"P_fimbriae_(CVF425)_"	"Escherichia_coli_ABU_83972"
"VFG000760(gb|YP_002332168)"	"bfpJ"	"prepilin_BfpJ_"	"BFP_(VF0174)_"	"Escherichia_coli_O127:H6_str._E2348/69"
"VFG010314(gi:118464806)"	"mce5E"	"mce_related_protein_"	"Mce5_(CVF340)_"	"Mycobacterium_avium_104"
"VFG048613"	"A79E_3122"	"Aerobactin_siderophore_receptor_IutA_"	"Aerobactin_(CVF852)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_1084"
"VFG043045(gi:39546332)"	"flhC"	"transcriptional_activator_FlhC_"	"peritrichous_flagella_(AI139)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG012223(gi:117625203)"	"papE"	"PapE_protein_"	"P_fimbriae_(CVF425)_"	"Escherichia_coli_APEC_O1"
"VFG043077(gi:15801193)"	"flgE"	"flagellar_hook_protein_FlgE_"	"peritrichous_flagella_(AI140)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG049917(gb|YP_309276.1)"	"rhs/PAAR"	"Type_VI_secretion_system_protein,_PAAR_family_"	"T6SS_(VF0579)_"	"Shigella_sonnei_Ss046"
"VFG041032(gi:15597556)"	"hsiA3"	"hypothetical_protein_"	"HSI-3_(SS180)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG034542(gi:26246313)"	"eaeH"	"adhesin_"	"EaeH_(CVF679)_"	"Escherichia_coli_CFT073"
"VFG038328(gb|YP_001144278)"	"ascD"	"Type_III_secretion_system_OM_ring_protein_AscD_"	"T3SS_(VF0479)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG045717(gi:289165300)"	"ccmC"	"heme_exporter_protein_CcmC_"	"Cytochrome_c_maturation_(ccm"	"ND"
"VFG006562(gb|NP_207150)"	"fliG"	"flagellar_motor_switch_protein_G_"	"Pse5Ac7Ac_(AI150)_"	"Helicobacter_pylori_26695"
"VFG005961(gi:24379285)"	"rgpF"	"RgpFc_protein_"	"Capsule_(CVF186)_"	"Streptococcus_mutans_UA159"
"VFG015830(gi:170722727)"	"pvdY"	"siderophore_biosynthesis_protein_"	"Pyoverdine_(CVF551)_"	"Pseudomonas_putida_W619"
"VFG035517(gi:260842448)"	"aec29"	"hypothetical_protein_"	"ACE_T6SS_(CVF736)_"	"Escherichia_coli_O103:H2_str._12009"
"VFG015981(gi:70731442)"	"pvdP"	"hypothetical_protein_"	"Pyoverdine_(CVF551)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG007941(gi:145223973)"	"drrC"	"ABC_drug_efflux_pump,_inner_membrane_subunit,_DrrB_family_"	"PDIM_(phthiocerol_dimycocerosate"	"ND"
"VFG042724(gi:283787682)"	"kfcC"	"fimbrial_subunit_"	"Kfc_fimbriae_(AI092)_"	"Citrobacter_rodentium_ICC168"
"VFG001220(gb|NP_253729)"	"pilO"	"type_IV_pilus_inner_membrane_platform_protein_PilO_"	"Type_IV_pili_(VF0082)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG048363"	"A79E_0829"	"fimbrial-like_protein_"	"Type_3_fimbriae_(CVF848)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_1084"
"VFG023137(gi:183984676)"	"mce7C"	"MCE-family_protein_"	"Mce7_(CVF342)_"	"Mycobacterium_marinum_M"
