	BFH12_S130	BH09_S83	BFH35_S153	BSE93_S121	BH47_S108	BH52_S112	BH36_S101	BFH33_S151	BFH9_S127	FH6_S167	BH10_S84	BFH15_S133	BFH22_S140	BFH31_S149	BH50_S111	BH30_S94	BFH32_S150	BFH6_S125	BFH8_S126	BSE100_S122	BFH20_S138	BFH21_S139	BFH14_S132	BFH24_S142	FH1_S162	BH34.B_S99	BH34.A_S98	BH06_S81	BSE79_S120	BH20_S88	BFH17_S135	BH31_S95	BH11_S85	BFH36_S154	BH22_S89	BFH38.B_S157	BH45_S106	BH61_S116	FH5_S166	BFH25_S143	BFH41_S160	BFH18_S136	BH59_S114	BH13_S86	BH03_S78	BH38_S103	BFH40_S159	BH33_S97	BH32_S96	BFH13_S131	BFH4_S124	BFH10_S128	BFH39_S158	BFH19_S137	BH37_S102	FH8_S169	BH04_S79	BH25_S91	BH01_S76	BFH23_S141	BH58_S113	BFH38.A_S156	BH14_S87	BSE74_S119	BH05_S80	BFH1_S123	FH3_S164	BH63_S118	BH48_S109	BFH34_S152	BFH28_S146	BH07_S82	BFH11_S129	BH44_S105	FH10_S171	FH9_S170	BFH27_S145	BFH29_S147	FH7_S168	BFH16_S134	FH4_S165	BH02_S77	BH29_S93	BH39_S104	BH60_S115	BH62_S117	BH27_S92	BFH26_S144	BH35_S100	BFH37_S155	FH2_S163	BFH42_S161	BH46_S107	BH24_S90	BH49_S110	BFH30_S148
CGB-1_ARO:3000841_ABS29619.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUS-1_ARO:3000844_AAN63648.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
farA_ARO:3003961_AAF40763.1	3	1	1	1	0	0	2	3	0	1	6	0	0	7	1	2	1	0	0	3	4	4	1	1	1	0	0	0	0	0	0	0	1	2	0	2	0	1	0	2	1	0	1	3	1	0	1	0	0	0	0	0	0	0	0	3	0	0	6	2	6	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	2	1	0	0	4	2	0	2	0	0	4	0	3	1	0	0	0	1	2
lmrD_ARO:3002882_AYV52072.1	0	0	0	0	0	0	0	17	0	12	0	0	1	59	1	0	2	0	1	0	1	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	426	0	12	0	1	2	0	0	1	0	0	0	0	0	4	0	0	19	0	0	0	0	0	0	0	0	0	1	47	0	0	0	0	0	0	0	0	156	0	0	13	2	34	0	0	0	0	0	0	0	1	0	2	0	0	1	1	7
tet(43)_ARO:3000573_ACS83748.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
cphA5_ARO:3003101_AAP69913.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	2	0	4	0	0	0	0	1	0
CMY-104_ARO:3002116_AGR82311.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMY-29_ARO:3002040_ABS12248.1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OXA-246_ARO:3001807_AHC31001.1	1	0	0	0	0	76	9	1	0	0	0	3	25	0	2	4	1	2	25	4	25	1	1	0	1	1	0	0	0	0	3	1	0	1	0	3	0	0	0	120	1	1	0	3	0	2	2	0	6	6	0	0	0	1	17	0	1	0	0	6	1	1	0	0	1	0	1	0	4	6	8	0	0	1	0	0	0	1	0	2	1	1	8	0	0	0	13	12	4	0	0	0	56	0	0	1
vanRI_ARO:3003728_BAE85478.1	0	0	0	0	3	0	3	2	1	1	0	3	0	18	16	0	4	0	1	0	2	0	0	0	5	3	0	0	1	1	0	0	0	1	2	0	6	16	0	0	7	1	0	1	2	2	5	0	1	13	3	3	3	1	0	1	0	3	0	0	0	1	3	0	6	1	3	0	1	0	5	0	11	7	0	2	0	1	0	3	0	0	2	1	1	2	1	0	1	0	0	0	1	0	1	3
