"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Class"	"Cluster_name"	"Gene"	"n"
"6"	"sp1041"	112.959611904065	8.09755027755116	0.655355843606915	12.3559595241942	4.52326636909006e-35	4.23377732146829e-32	"Betalactam"	"blaOXA-280_1_clust"	"blaOXA-211_1_JN861779"	10
"465"	"sp480"	51.7288687583736	7.66215468933615	0.665316457090347	11.516556681681	1.08875431481686e-30	2.54768509667145e-28	"Betalactam"	"blaOXA-299_1"	"blaOXA-299_1_APQD01000016"	9
"7"	"sp1042"	105.263328479521	7.39956175927143	0.6909061656691	10.7099373648018	9.14236471530146e-27	1.22246476764602e-24	"Betalactam"	"blaOXA-280_1_clust"	"blaOXA-212_1_JN861780"	14
"16"	"sp1096"	73.0988708355491	7.36162392246907	0.709594177190118	10.37441422028	3.24194503983807e-25	3.79307569661054e-23	"Betalactam"	"blaOXA-280_1_clust"	"blaOXA-334_1_KF203108"	11
"25"	"sp130"	59.7504391847222	7.29699760814675	0.775291948781236	9.41193523242139	4.8708481978055e-21	3.50701070241996e-19	"Aminoglycoside"	"aac(6')-Ig_1"	"aac(6')-Ig_1_L09246"	7
"362"	"sp285"	42.5973372880454	7.23051507166525	0.588721663237507	12.2817207573152	1.1355695376085e-34	5.31446543600778e-32	"Betalactam"	"blaOXA-280_1_clust"	"blaOXA-373_1_HG931732"	9
"101"	"sp1648"	58.3876280390751	7.15282764536006	0.822815832901522	8.69310890644485	3.52654036098487e-18	1.32033671115274e-16	"Betalactam"	"blaOXA-296_1"	"blaOXA-296_1_APOH01000009"	9
"15"	"sp1095"	39.42301427457	7.01277888413778	0.642749897871957	10.9105873176425	1.02591383600371e-27	1.60042558416579e-25	"Betalactam"	"blaOXA-280_1_clust"	"blaOXA-333_1_KF203107"	8
"13"	"sp1082"	27.4888822715768	7.00264217923408	0.583549016936244	12.0000924960845	3.54899578513257e-33	1.10728668496136e-30	"Betalactam"	"blaOXA-280_1_clust"	"blaOXA-309_1_HF947514"	8
"459"	"sp428"	262.635117968003	6.73705431803946	0.794763376608208	8.47680519300099	2.31462030881774e-17	7.47063658294278e-16	"Betalactam"	"blaOXA-427_1"	"blaOXA-427_1_KX827604"	21
"421"	"sp3022"	30.940935852713	6.63660515834574	0.746470566766659	8.89064546388242	6.07549410733924e-19	3.30886176262678e-17	"Trimethoprim"	"dfrA3_1"	"dfrA3_1_J03306"	6
"222"	"sp2408"	22.1273005007728	6.48059766516632	0.722164409751472	8.9738535680491	2.86317840677184e-19	1.78662332582563e-17	"Glycopeptide"	"VanHOX_1"	"VanHOX_1_KF478993"	4
"111"	"sp1726"	28.9064805484998	6.25206693048495	0.623019420361683	10.0351076164775	1.0684283321538e-23	1.00004891889596e-21	"Betalactam"	"blaOXA-280_1_clust"	"blaOXA-281_1_APON01000041"	11
"110"	"sp1725"	29.9797404348301	6.24587697983864	0.545674348847416	11.4461619701042	2.45788874129716e-30	4.60116772370829e-28	"Betalactam"	"blaOXA-280_1_clust"	"blaOXA-280_1_APPZ01000001"	12
"74"	"sp1520"	22.8528223692404	6.23518583069838	0.702200825253741	8.879490889868	6.7167065694347e-19	3.30886176262678e-17	"Betalactam"	"imiS_1_clust"	"cphA1_1_AY261379"	8
"218"	"sp2369"	16.7157833684682	6.12036061524155	0.700348831331213	8.73901738881759	2.35146678561706e-18	9.85617589695682e-17	"Glycopeptide"	"VanHAX_1_clust"	"VanHAX_2_M97297"	5
"76"	"sp1524"	43.0929212042158	6.03647703746424	0.809087356645095	7.46084707403497	8.59679839868498e-14	1.46301878203075e-12	"Betalactam"	"imiS_1_clust"	"cphA2_6_AHU60294"	10
"526"	"sp809"	33.4639483348857	5.93669179197844	0.636833236605151	9.32220784145301	1.1394413780364e-20	7.61797949887195e-19	"Betalactam"	"blaCMY-1_1_clust"	"blaMOX-3_1_EU515248"	15
"219"	"sp2377"	13.7735079320318	5.76693280785966	0.649122236949444	8.8842015873026	6.43814556051709e-19	3.30886176262678e-17	"Glycopeptide"	"VanHBX_1_clust"	"VanHBX_1_AF192329"	7
"365"	"sp2863"	1779.34060410458	5.70005369996653	0.748021930265769	7.62016923479947	2.53343344124081e-14	4.47413905849321e-13	"Tetracycline"	"tet(39)_1"	"tet(39)_1_KT346360"	32
"103"	"sp1656"	11.741286051816	5.6917984785619	0.669357176680938	8.50338007397656	1.84148760227752e-17	6.15582998475627e-16	"Betalactam"	"blaOXA-275_1_clust"	"blaOXA-275_1_APPJ01000001"	5
"235"	"sp2428"	101.682217639234	5.63566245753562	0.692729214938632	8.13544792972948	4.10418011869675e-16	1.01092436607899e-14	"Macrolide"	"erm(B)_18_clust"	"erm(B)_21_U35228"	20
"229"	"sp2422"	113.471588265955	5.60539141928415	0.735523016479498	7.62095990702474	2.51796151039703e-14	4.47413905849321e-13	"Macrolide"	"erm(B)_18_clust"	"erm(B)_10_U86375"	20
"217"	"sp2368"	12.6947213313392	5.41118306727153	0.703766151734353	7.68889361037936	1.4841280651454e-14	3.01987797603498e-13	"Glycopeptide"	"VanHAX_1_clust"	"VanHAX_1_FJ866609"	6
"528"	"sp811"	48.6704004060479	5.32127535537894	0.642618843982153	8.28060895694296	1.22546984445249e-16	3.27725649830723e-15	"Betalactam"	"blaMOX-5_1_clust"	"blaMOX-5_1_GQ152600"	23
"80"	"sp1565"	9.01795293034292	5.29738138110029	0.666460467814617	7.9485305384592	1.88736816949726e-15	4.1083176898824e-14	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-2_1_AF302086"	3
"244"	"sp2482"	10.7119319292932	5.17775010323354	0.639996492658441	8.09027887282008	5.95282792043828e-16	1.39296173338256e-14	"Macrolide"	"msr(C)_1"	"msr(C)_1_AY004350"	7
"550"	"sp906"	87.6403515384169	5.15424719866188	0.746805336732585	6.90172786018467	5.13737835288232e-12	5.8641294369486e-11	"Betalactam"	"blaOXA-397_1_clust"	"blaOXA-58_1_AY665723"	22
"233"	"sp2426"	206.526686415355	5.1223552522165	0.660747409058784	7.75236524879174	9.01965092559587e-15	1.91872574235403e-13	"Macrolide"	"erm(B)_18_clust"	"erm(B)_18_X66468"	29
"62"	"sp1431"	102.552571558748	5.12081795516726	0.89206310746675	5.74042117906791	9.44413704577602e-09	6.40558860496113e-08	"Betalactam"	"ampH_1_clust"	"ampH_2_HQ586946"	18
"555"	"sp944"	60.7821784389137	5.08288868741421	0.711527456452402	7.14362972408252	9.08980555640744e-13	1.25118500011726e-11	"Betalactam"	"blaOXA-397_1_clust"	"blaOXA-97_1_EF102240"	20
"525"	"sp808"	24.8983291921872	5.06209487276384	0.599045897067579	8.45026215444187	2.90649450594539e-17	8.50149642989026e-16	"Betalactam"	"blaCMY-1_1_clust"	"blaMOX-2_1_AJ276453"	19
"1"	"sp1003"	56.9998233758593	5.04247980660905	0.729078859158975	6.91623374243189	4.63808897163171e-12	5.35956947832998e-11	"Betalactam"	"blaOXA-397_1_clust"	"blaOXA-164_1_GU831575"	19
"68"	"sp1467"	27.1563123231668	4.97976674566243	0.799692835796335	6.22709935959795	4.75149809092135e-10	3.73731278411965e-09	"Betalactam"	"imiS_1_clust"	"imiH_1_AJ548797"	10
"231"	"sp2424"	58.1013701831735	4.96440696365708	0.67674054297581	7.33576112024743	2.20464944788417e-13	3.62026646178874e-12	"Macrolide"	"erm(B)_18_clust"	"erm(B)_12_U18931"	20
"527"	"sp810"	45.5768931151021	4.9456314298603	0.748058538887296	6.61128932130994	3.80987043065255e-11	3.67632858050597e-10	"Betalactam"	"blaCMY-1_1_clust"	"blaMOX-4_1_FJ262599"	20
"230"	"sp2423"	34.4924319290787	4.92401278612971	0.704053428828967	6.99380556148939	2.6752826815522e-12	3.25203193497774e-11	"Macrolide"	"erm(B)_18_clust"	"erm(B)_11_M19270"	16
"19"	"sp119"	11.1734031741986	4.91748006031807	0.673763658855197	7.29852374150521	2.90942174569596e-13	4.5386979232857e-12	"Aminoglycoside"	"aac(3)-IIIc_1"	"aac(3)-IIIc_1_L06161"	7
"529"	"sp812"	49.143583968199	4.88369670262483	0.724911161749934	6.73695889967482	1.61735904870449e-11	1.64548703216022e-10	"Betalactam"	"blaMOX-5_1_clust"	"blaMOX-6_1_GQ152601"	23
"69"	"sp1468"	16.9553930061989	4.85100377851646	0.741512826597682	6.54203623256869	6.06867943623343e-11	5.25952217806897e-10	"Betalactam"	"imiS_1_clust"	"imiS_1_Y10415"	10
"71"	"sp1473"	43.7195171777021	4.81297072191421	0.828413770687358	5.80986324976316	6.25238925913970e-09	4.27170536244873e-08	"Betalactam"	"ampH_1_clust"	"ampS_1_X80276"	13
"75"	"sp1523"	11.7949389253871	4.8014185326583	0.671816932614286	7.14691502932833	8.87497743634775e-13	1.23984759409276e-11	"Betalactam"	"imiS_1_clust"	"cphA1_7_X57102"	8
"220"	"sp2385"	8.51943925398647	4.78443605436363	0.706051130290295	6.77633084787571	1.23266225828504e-11	1.29637289185933e-10	"Glycopeptide"	"VanC3XY_1_clust"	"VanC4XY_1_EU151752"	5
"265"	"sp256"	8.2516082398198	4.77158161456777	0.65963382856324	7.23368239764301	4.70070381826927e-13	6.98390281571435e-12	"Aminoglycoside"	"aac(6')-Ii_1"	"aac(6')-Ii_1_L12710"	5
"226"	"sp2419"	48.4826587724111	4.73225245579506	0.646749385167629	7.31698021571141	2.53613225366743e-13	4.02342337191986e-12	"Macrolide"	"erm(B)_18_clust"	"erm(B)_6_AF242872"	22
"554"	"sp943"	54.8202245369499	4.7281305664418	0.719797162412339	6.56869853528718	5.07569254300111e-11	4.52461735261814e-10	"Betalactam"	"blaOXA-397_1_clust"	"blaOXA-96_1_DQ519090"	21
"530"	"sp813"	21.6129381723682	4.7252418884872	0.715994134090206	6.59955391183677	4.12396767907127e-11	3.93880994654154e-10	"Betalactam"	"blaMOX-5_1_clust"	"blaMOX-7_1_GQ152602"	17
"273"	"sp2625"	6.59068080971065	4.72268819180945	0.66610487305562	7.09000696864006	1.34105247320703e-12	1.76792269707293e-11	"Phenicol"	"catB1_1"	"catB1_1_M58472"	4
"86"	"sp1578"	6.14575988118663	4.70820301050745	0.645516929972546	7.29369407973187	3.01569774130265e-13	4.62736571452341e-12	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-15_1_EU419745"	3
"84"	"sp1573"	5.99703840376912	4.65966962093423	0.63952839730719	7.28610276033765	3.19049660777669e-13	4.81662068528869e-12	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-10_1_AY524989"	3
"436"	"sp307"	46.3109436576398	4.63427075635971	0.754106394944078	6.14538052910076	7.97720372261782e-10	6.02150216481475e-09	"Betalactam"	"blaOXA-397_1_clust"	"blaOXA-397_1_KM087865"	19
"540"	"sp874"	6.06653915743001	4.63313053051252	0.645020692237587	7.18291767422239	6.82391953602943e-13	9.82644413188238e-12	"Betalactam"	"blaOXA-18_1"	"blaOXA-18_1_U85514"	4
"455"	"sp398"	16.1969065525502	4.62367822711249	0.641477452760651	7.20785774654138	5.68389614996136e-13	8.3126981193185e-12	"Betalactam"	"blaOXA-397_1_clust"	"blaOXA-512_1_KU726870"	12
"94"	"sp1591"	5.75211943162384	4.59616979661047	0.640263682350206	7.17855771506417	7.04506499595852e-13	9.99118308517754e-12	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-30_1_JN129451"	3
"85"	"sp1574"	5.61185462305139	4.54918385546378	0.642966741006399	7.0753019796066	1.49123663801157e-12	1.90801215904515e-11	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-11_1_AY605049"	3
"124"	"sp1877"	5.61185462305139	4.54918385546378	0.642966741006399	7.0753019796066	1.49123663801157e-12	1.90801215904515e-11	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-46_1_KP749829"	3
"125"	"sp1878"	5.53767531685182	4.54571099447008	0.636625098066979	7.14032639974842	9.3109556461039e-13	1.26305137460192e-11	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-45_1_KP681695"	3
"225"	"sp2418"	24.031203607354	4.53404753067267	0.613703289629751	7.38801242764737	1.49039816513924e-13	2.49109407601844e-12	"Macrolide"	"erm(B)_18_clust"	"erm(B)_2_K00551"	18
"82"	"sp1569"	5.44814664815847	4.50994334949007	0.63208214184448	7.13505895978898	9.67456812088173e-13	1.2936279658779e-11	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-6_1_AY165025"	3
"87"	"sp1579"	6.67614661328675	4.50245475780751	0.660459533758103	6.81715461383069	9.28613097201333e-12	1.01067658020982e-10	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-16_1_EU419746"	4
"446"	"sp32"	34.6529188328444	4.47201187458582	0.795280478220184	5.62318829275687	1.87464872820804e-08	1.24444766638491e-07	"Aminoglycoside"	"aadA2_1_clust"	"aadA11_2_AJ567827"	15
"292"	"sp2710"	5.52256605915335	4.46488677468315	0.678292229719147	6.58254153454166	4.62473548721763e-11	4.24387491768206e-10	"Quinolone"	"qnrB8_1_clust"	"qnrB35_1_JN173057"	3
"427"	"sp3058"	6.68627871008239	4.44051754793037	0.644618819616168	6.88859433327502	5.63463646878901e-12	6.3542406443211e-11	"Trimethoprim"	"dfrA12_1_clust"	"dfrA12_5_FR875302"	5
"224"	"sp2417"	64.6493711872397	4.43971960532488	0.683422627153727	6.49630174496143	8.23184712984098e-11	7.06881551700107e-10	"Macrolide"	"erm(B)_18_clust"	"erm(B)_1_JN899585"	23
"426"	"sp3057"	5.83419879426511	4.42131719271363	0.643279750228142	6.87308622904045	6.28275616515651e-12	6.91842325951352e-11	"Trimethoprim"	"dfrA12_1_clust"	"dfrA12_4_EU650399"	4
"469"	"sp511"	6.76015510595364	4.41852075327245	0.624639935854806	7.07370838725802	1.50847115138185e-12	1.90801215904515e-11	"Betalactam"	"blaCMY-1_1_clust"	"blaCMY-1_1_X92508"	8
