"Class"	"Cluster_name"	"Gene"
"Aminoglycoside"	"aac(6')-Ib_2_clust"	"aac(6')-Ib_2_M23634"
"Aminoglycoside"	"aac(6')-Ib_2_clust"	"aac(6')-Ib11_1_AY136758"
"Aminoglycoside"	"aac(6')-30-aac(6')"	"aac(6')-30-aac(6')-Ib'_1_AJ584652"
"Aminoglycoside"	"aac(6')-Iaj_1"	"aac(6')-Iaj_1_AB709942"
"Aminoglycoside"	"aac(6')-Ian_1"	"aac(6')-Ian_1_AP014611"
"Aminoglycoside"	"aac(6')-Iak_1"	"aac(6')-Iak_1_AB894482"
"Aminoglycoside"	"aac(6')-Ib_2_clust"	"aac(6')-Ib-Hangzhou_1_FJ503047"
"Aminoglycoside"	"aac(6')-Ib_2_clust"	"aac(6')-Ib-Suzhou_1_EU085533"
"Aminoglycoside"	"aac(6')-Iid_1"	"aac(6')-Iid_1_AJ584700"
"Aminoglycoside"	"aac(6')-Iih_1"	"aac(6')-Iih_1_AJ584701"
"Aminoglycoside"	"aac(6')-Iz_2_clust"	"aac(6')-Iz_2_AB971834"
"Aminoglycoside"	"aac(6')-29b_1_clust"	"aac(6')-29b_1_AF263519"
"Aminoglycoside"	"aac(6')-29b_1_clust"	"aac(6')-29a_1_AF263519"
"Aminoglycoside"	"aac(6')-Iaa_1"	"aac(6')-Iaa_1_NC_003197"
"Aminoglycoside"	"aac(6')-Ih_2_clust"	"aac(6')-Ih_2_KT778788"
"Aminoglycoside"	"aac(6')-Ix_1_clust"	"aac(6')-Ix_1_AF031332"
"Aminoglycoside"	"aac(6')-Il_1"	"aac(6')-Il_1_U13880"
"Aminoglycoside"	"aac(6')-Ia_2_clust"	"aac(6')-Ia_2_M86913"
"Aminoglycoside"	"aac(6')-Iag_1"	"aac(6')-Iag_1_AB472901"
"Aminoglycoside"	"aac(2')-IIa_1"	"aac(2')-IIa_1_AB669090"
"Aminoglycoside"	"kamB_1"	"kamB_1_AJ629123"
"Aminoglycoside"	"grmO_1"	"grmO_1_AY524043"
"Aminoglycoside"	"fmrO_1"	"fmrO_1_Q08325"
"Aminoglycoside"	"grmB_1_clust"	"grmB_1_M55521"
"Aminoglycoside"	"grmB_1_clust"	"grmA_1_M55520"
"Aminoglycoside"	"kgmB_1"	"kgmB_1_S60108"
"Aminoglycoside"	"sgm_1"	"sgm_1_M87057"
"Aminoglycoside"	"aph(3')-VI_2_clust"	"aph(3')-VI_2_APPJ01000012"
"Aminoglycoside"	"aph(3')-IX_1"	"aph(3')-IX_1_APPN01000061"
"Aminoglycoside"	"ant(6)-Ia_5_clust"	"ant(6)-Ia_5_AB247327"
"Aminoglycoside"	"aadA13_2_clust"	"aadA13_2_NC010643"
"Aminoglycoside"	"aadA2_1_clust"	"aadA11_2_AJ567827"
"Aminoglycoside"	"aac(6')-Ib_2_clust"	"aadA10_2_AM087405"
"Aminoglycoside"	"aadA7_2_clust"	"aadA7_2_AB114632"
"Aminoglycoside"	"aadA2_1_clust"	"aadA2_1_NC_010870"
"Aminoglycoside"	"aadD_1_clust"	"aadD_2_M19465"
"Aminoglycoside"	"aph(2'')-Ib_2_clust"	"aph(2'')-Ib_2_AF207840"
"Aminoglycoside"	"aph(7'')-Ia_1"	"aph(7'')-Ia_1_X03615"
"Aminoglycoside"	"aph(9)-Ia_2"	"aph(9)-Ia_2_CR628337"
"Aminoglycoside"	"aph(6)-Ia_2_clust"	"aph(6)-Ia_2_Y00459"
"Aminoglycoside"	"aph(6)-Id_1_clust"	"aph(6)-Id_1_M28829"
"Aminoglycoside"	"aph(6)-Id_1_clust"	"aph(6)-Id_3_AB109805"
"Aminoglycoside"	"aph(6)-Id_1_clust"	"aph(6)-Id_4_CP000971"
